Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,1,0,24,0.7990084284325601,0.05260715241846395
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,2,24,48,0.8523970551469835,0.05706068298411506
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,3,48,72,0.9625905554431321,0.06518892239411637
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,4,72,96,0.9282414835272732,0.05994269990505822
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,5,96,120,0.9797595919685073,0.06276537657916417
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,6,120,144,0.9417675851123231,0.06059100388241869
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,7,144,168,1.0726457769146995,0.06472987027624354
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,8,168,192,1.0676414241206074,0.080498072391865
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,9,192,216,1.0916917991744404,0.06361829293887741
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,10,216,240,0.9800764003961508,0.06197583105354542
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,11,240,264,0.9854950625060334,0.06353473221392399
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,12,264,288,1.0176967999931223,0.0639316165135849
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,13,288,312,0.8951948211845667,0.06703239480752968
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,14,312,336,1.0394506837253343,0.06477902468721658
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,15,336,360,0.8920101925573551,0.05851498197218973
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,1,0,24,0.5531974995020315,0.05649724306975945
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,2,24,48,0.7132367079454871,0.05092194981452463
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,3,48,72,0.8097074470577379,0.057525777402841684
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,4,72,96,0.7726913498246166,0.06749193138700549
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,5,96,120,0.9326726534863211,0.067841249561213
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,6,120,144,0.9167099317420827,0.06339145899003945
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,7,144,168,0.9924176968370015,0.06851824385562323
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,8,168,192,0.8636795235655351,0.06470650054301204
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,9,192,216,0.8602278656071302,0.06294963681663934
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,10,216,240,0.8482131195263986,0.06186126701837691
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,11,240,264,0.9374109107001078,0.06368630843433043
Q3p85_W2p62_t0p21_higheps,2,0.236,0.27,12,264,288,0.8819261868206744,0.08191267138734777
