Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,1,0,24,0.9100097760664997,0.044116796794147047
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,2,24,48,0.8703342138624117,0.04414965033245575
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,3,48,72,0.9074929777582427,0.05229482459699757
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,4,72,96,0.8696730950768062,0.053952036428450215
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,5,96,120,0.9526936617588313,0.05757679080705849
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,6,120,144,0.8298045912949249,0.07259404931468594
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,7,144,168,0.8974655149939695,0.08378324668872449
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,8,168,192,1.0607994873146254,0.09354566517923682
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,9,192,216,1.1453634378275908,0.11271420051057995
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,10,216,240,0.9961693632133649,0.07227053805182992
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,11,240,264,0.9583520729631603,0.06278763024030823
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,12,264,288,0.8482901404474876,0.05039818547992874
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,13,288,312,0.7986784705170353,0.05075483699997359
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,14,312,336,0.9386186918473515,0.05043869384679153
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,15,336,360,0.9229160198062514,0.044938091644379806
Q3p85_W2p62_t0p21_loweps,2,0.236,0.27,1,0,24,1.0094762896064957,0.04894603940780429
Q3p85_W2p62_t0p21_loweps,2,0.236,0.27,2,24,48,0.9576508570821249,0.04474647307979774
Q3p85_W2p62_t0p21_loweps,2,0.236,0.27,3,48,72,1.0488677841163112,0.05000737087031844
Q3p85_W2p62_t0p21_loweps,2,0.236,0.27,4,72,96,0.96032970353691,0.05531280844104788
Q3p85_W2p62_t0p21_loweps,2,0.236,0.27,5,96,120,0.8611023416322064,0.06498619435838564
Q3p85_W2p62_t0p21_loweps,2,0.236,0.27,6,120,144,1.1047908976998482,0.08170797262267415
Q3p85_W2p62_t0p21_loweps,2,0.236,0.27,7,144,168,0.764311924657439,0.09136396871911563
Q3p85_W2p62_t0p21_loweps,2,0.236,0.27,8,168,192,1.0467494280410454,0.11571508343134687
Q3p85_W2p62_t0p21_loweps,2,0.236,0.27,9,192,216,1.0861881187767164,0.09542380907380801
Q3p85_W2p62_t0p21_loweps,2,0.236,0.27,10,216,240,1.017939093114575,0.07895876963242845
Q3p85_W2p62_t0p21_loweps,2,0.236,0.27,11,240,264,0.9668992935691255,0.06512239484008532
Q3p85_W2p62_t0p21_loweps,2,0.236,0.27,12,264,288,0.8029016870812603,0.051280822852746516
Q3p85_W2p62_t0p21_loweps,2,0.236,0.27,13,288,312,0.8906133680473404,0.0446474843772085
Q3p85_W2p62_t0p21_loweps,2,0.236,0.27,14,312,336,0.9876911813926144,0.050954114182810074
