rate_SHMS,yieldRel_COIN_track,uncern_yieldRel_COIN_track
655810.164631886,0.940124442286745,0.006540124606666
654436.559007975,0.930668148888839,0.006526831703657
655389.825951227,0.935748691955879,0.006087432851116
533758.010247685,0.954306113601285,0.005299855425684
533587.235881186,0.949383496753203,0.005272964318084
533398.719407261,0.923011267879575,0.004947353151445
522949.844876286,0.951206989722226,0.004846869852045
384419.808098526,0.964018274645722,0.003664717264363
383621.845648553,0.96942578286987,0.004246216800624
383493.68894048,0.971447663204811,0.00401516326416
242315.759596947,0.974937632613746,0.002532313561322
241970.185627844,0.977510441551938,0.002529974885055
242797.029290384,0.992630676393449,0.002535620218352
242925.682199737,0.980825921346024,0.002536634222833
242761.654481632,0.996641204870073,0.002545226716829
243083.757054667,0.996203379171846,0.002537435134421
175789.714551829,1,0.002067962371097
176054.19883035,0.985790827505877,0.00206963317283
175952.433914278,0.995412688838161,0.00247065797149
175746.183967479,0.988489164118922,0.002510172371753
176195.155933142,1.00244433481852,0.002071437763526
176481.023673001,0.988849349593585,0.002503090558946
176349.885790654,1.00635856355805,0.002601205379761
176547.787149856,0.995818495761828,0.002538494685613
176772.971251396,0.99672439425236,0.00248128740685
