COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events,c_int_Track_events,c_int_noTrack_events,c_int_Track_Rand_events,c_int_noTrack_Rand_events,HMS_3-4Trig_scaler,SHMS_3-4Trig_scaler,SHMS3of4ELT,HMS3of4ELT,HMS3of4ELT_err,SHMS3of4ELT_err
7037,707680,1,0.987504118186469,0.000109639273015,2243,18554484,129,0.969158971301364,0.001976712779985,0.9967,0.0003,1025,,,129,1,,,179396775,1025,0.969158971301364,0.001976712779985,0.9949,0.0004,3074,13730.9955455118,1.00063267996819,453102.316820518,449396.775880226,439,92504.5045185588,88819.3173701879,546,12200,3463,3463,347.493033,1013707,3365647.03872002,3362288.16186352,5516200.05783531,5511038.39948409,42964362,179396775,0.990040236009367,0.998974513584515,1.37533871535527E-37,4.80106893373058E-38
17688,2089238,1,0.988890594804151,0.006875663662804,5471,54571283,129,0.969084198767303,0.001511236308257,0.9964,0.0002,1025,,,129,1,,,527691517,1025,0.969084198767303,0.001511236308257,0.9947,0.0002,9066,40407.4863517335,1.00063160587318,1334340.00110413,1323137.82913136,1242,273405.769479669,262747.799430217,1560,12201,10173,10173,1020.864228,2993464,9885625.22149757,9875681.51433507,16269757.2961002,16253605.6890684,126394759,527691517,0.990015204756779,0.998969753165771,1.84223952432611E-39,6.43811987417597E-40
24804,2240349,1,0.993595348129164,0.005044386120022,9553,74663793,129,0.976880435627717,0.001204500662625,0.9969,0.0001,1025,,,129,1,,,724750920,1025,0.976880435627717,0.001204500662625,0.9961,0.0002,17007,55130.9496604265,1.00084298632232,1527359.96799407,1517888.35770242,2706,311406.245905787,301256.520468892,3392,12202,18526,18526,1858.98546,3503830,13165254.8271511,13151766.091734,17518543.7853496,17494022.9043668,172733093,724750920,0.99431086949299,0.999418004050068,2.21728388438632E-40,7.56081695425843E-41
23835,821640,1,0.989244607173809,0.001781186219415,40778,37840952,33,0.984573527620331,0.001162250293307,0.9972,0.0001,257,,,33,1,,,368903255,257,0.984573527620331,0.001162250293307,0.9965,0.0001,13235,27841.8641543589,1.00126581199465,1052438.29425756,1049475.89746059,4394,241286.495767266,236799.062448436,5582,12203,14049,14049,1409.702624,3364488,6381983.12067737,6376152.55894327,6167629.89407466,6157552.57799408,87492837,368903255,0.997433653296566,0.99973906349459,9.85090492398891E-40,3.31730297738773E-40
25267,868855,1,0.991154433657048,0.001734078255883,43567,40052376,33,0.984592672333503,0.001145161428368,0.9972,0.0001,257,,,33,1,,,390435508,257,0.984592672333503,0.001145161428368,0.9967,0.0001,14133,29453.250982201,1.00126747762149,1124465.57613216,1120895.43796479,4713,256278.446597322,251837.194766134,5960,12204,14881,14881,1493.25346,3587362,6827725.20601759,6819437.78553089,6551886.5872242,6544886.20874864,92565272,390435508,0.997438578648106,0.999739549773538,7.69975400605421E-40,2.63742868248956E-40
19541,505435,1,0.988220199855484,0.001622797794943,89294,27393213,17,0.987667133292603,0.001125264073913,0.9973,0.0001,257,,,17,1,,,267369724,257,0.987667133292603,0.001125264073913,0.997,0.0001,12152,20103.4305658521,1.00158307849602,1127038.81688631,1125088.4956362,6182,172734.806008508,169850.163770098,4035,12205,12686,12686,1273.012345,3133732,4574774.73364482,4570181.14996594,3672864.7813629,3664691.40446987,63274088,267369724,0.998346257381161,0.999832145034517,1.83375934305811E-39,6.1487631419069E-40
19555,503427,1,0.988481926547647,0.001625778003456,88905,27287159,17,0.987647741536358,0.001126976314611,0.9974,0.0001,257,,,17,1,,,266592646,257,0.987647741536358,0.001126976314611,0.9967,0.0001,12096,20038.1475400303,1.00158341294581,1120536.44961687,1118296.35150454,6130,171232.861704472,168519.479094077,4028,12206,12647,12647,1269.146489,3114127,4536670.93791567,4532575.98588948,3646177.46643945,3643741.9150891,63036962,266592646,0.998346477749581,0.999832361912382,1.85895921320417E-39,6.22524519159393E-40
18335,470381,1,0.988646526133338,0.001678445251286,84006,25611092,17,0.987693465104319,0.001143420397474,0.9972,0.0001,257,,,17,1,,,249712917,257,0.987693465104319,0.001143420397474,0.9969,0.0001,11353,18785.6702590128,1.00158456150164,1054112.37924006,1053152.9850465,5777,160865.793821646,158315.31149823,3762,12207,11866,11866,1190.681995,2925700,4244689.97451952,4241538.27917765,3413442.64933257,3403226.04392456,59129414,249712917,0.998351426069065,0.999832566782548,2.38725565767837E-39,8.0461822999269E-40
22551,436028,1,0.991099888925702,0.001545726212284,98189,28735011,17,0.990758473474707,0.000960899503842,0.9975,0.0001,257,,,17,1,,,281325115,257,0.990758473474707,0.000960899503842,0.9972,0.0001,17134,21056.2759103087,1.0021149752069,1134257.61839162,1133099.527002,8937,166641.967846266,164196.023235824,5861,12208,17752,17752,1781.34006,3192307,4686601.62004683,4680852.09656418,2923359.96248529,2918017.23701981,66347390,281325115,0.999065378925823,0.999905445666279,6.4342476007083E-40,2.1108593525914E-40
17929,331222,1,0.99225419922499,0.001436742012511,55717,21799471,17,0.990742256430364,0.00103063574344,0.9974,0.0001,129,,,17,1,,1,213317887,129,0.990742256430364,0.00103063574344,0.9973,0.0001,12986,15977.0856337341,1.00211284883857,862666.82097748,861529.622279509,5055,208332.435688055,205773.435492963,6618,12209,13456,13456,1350.286673,3241865,3564342.82826923,3564017.17643788,2211953.30023846,2208405.98311066,50332291,213317887,0.999064596736036,0.999905298923555,1.96766121452553E-39,6.3904491839532E-40
