rate_HMS3-4,yieldRel_COIN_track,uncern_yieldRel_COIN_track
123640.930665796,1.00476032094914,0.003756279302859
123811.52707018,1.00282547908111,0.003703775735978
92917.9365394283,1.0066986194565,0.002928962486697
62064.747210118,1.01145919273753,0.002255574828773
61988.9887949766,1.01744821449887,0.002250026912734
49704.2218392627,1.02281989353894,0.002045568681105
49668.7833487754,1.01275179235298,0.002044750766231
49660.1227265556,1.01046330317283,0.002050952093644
37245.7743975061,1.00829715815656,0.001844205029414
37275.263102593,1.01197344653846,0.001880997543815
37224.1276808552,0.996283771020193,0.001884790770592
37390.4219809097,1.01705945047459,0.002047966246254
24873.73026417,0.99665763564991,0.001776961389683
24908.522687182,1.01013771691302,0.001794542702962
24898.3339756217,0.986752981146142,0.001811615042817
24847.1398978043,1,0.001798415177114
24915.558195272,0.996978602094741,0.001857536438602
