rate_Det,yieldRel_COIN_track,uncern_yieldRel_COIN_track
639900.993353153,0.915740468061394,0.00370501746752903
640718.185690017,0.908457743573309,0.00368596496759467
482781.620572761,0.933173946256424,0.00290997064531443
323753.452841697,0.958035785843456,0.00219443578557176
323455.32284921,0.962563910279629,0.00219254256013668
259733.390095286,0.982071999028867,0.00194273537939286
259725.422444911,0.971785544607722,0.00194251715832663
259382.717045285,0.971296400645869,0.00194187812716131
195174.696177888,0.984244576147359,0.00172069246808764
195254.965683869,0.984918648299999,0.00172118357116078
195092.255308346,0.973200452397139,0.00172042118627708
195773.657016308,0.995696121930228,0.00172391253025268
130515.573143328,0.996609308671335,0.00154411096262843
130676.575324141,1.00746117931374,0.00154450672065434
130686.261729693,0.987809354556981,0.00154440216992808
130385.35061039,1,0.00154369295803394
130652.34012894,0.994858186843038,0.00154468339219779
