COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events
1931117,1054527,1,0.976036195647368,8.77727111134795E-05,0.999633159517034,1.84270614578417E-39,48188,21072617,39617739,17,0.960512556956435,0.00156264882068,0.9972,0.0001,1025,,,17,1,,0.985375774220543,3.28661237857331E-40,,760461393,760461393,1025,0.960512556956435,0.00156264882068,0.9939,0.0003,10381,4111,801,9237,1708,79650.8953982863,1.00036395557269,1436072,1433700,4093,256071,258104,2576,12218,11556,11556,1159.57549,2979462
1942926,1064160,1,0.978123093885914,8.35098758153164E-05,0.999635398990634,1.78146596023508E-39,47714,21321008,40086066,17,0.960603398414967,0.00155658915316,0.9974,0.0001,1025,,,17,1,,0.985428841812724,3.12556812348798E-40,,768755007,768755007,1025,0.960603398414967,0.00155658915316,0.9932,0.0004,10457,4131,824,9089,1836,80492.6321724021,1.00036484154335,1448376,1446008,4138,257666,259634,2603,12219,11706,11706,1174.682246,3006316
1164141,640770,1,0.977012671560313,0.0001103021469,0.999632603535678,1.38344534950203E-38,28407,12818982,24111196,17,0.960521298954279,0.001769396865585,0.9974,0.0001,1025,,,17,1,,0.985377764198374,2.39784692353365E-39,,462403920,462403920,1025,0.960521298954279,0.001769396865585,0.9935,0.0005,6305,2453,460,5457,1040,48434.952271833,1.00036416897556,869814,868414,2461,155153,156238,1558,12220,7032,7032,705.540278,1803522
2246595,746737,1,0.982755981358761,7.46242723805972E-05,0.999759054428896,1.95641578951445E-39,35231,17713352,33228955,17,0.96804702657173,0.001462437544232,0.9976,0.0001,513,,,17,1,,0.990312267904652,3.37530641887838E-40,,643535582,643535582,513,0.96804702657173,0.001462437544232,0.9939,0.0003,10952,2630,504,5999,1154,66343.9977575275,1.00045432488987,1120132,1118749,3613,263776,265810,4549,12221,12014,12014,1205.669179,2990678
2433399,806323,1,0.983507750114986,7.0224325789565E-05,0.999759051195382,1.41596943422034E-39,37948,19152477,35939469,17,0.96802607911789,0.001434667631217,0.9974,0.0001,513,,,17,1,,0.990317149672333,2.46794458930159E-40,,695731650,695731650,513,0.96802607911789,0.001434667631217,0.9939,0.0003,11863,2836,550,6390,1217,71738.0630279915,1.00045438782982,1214753,1213250,3964,286502,288708,4966,12222,12993,12993,1303.876111,3239447
848270,276828,1,0.984694612686888,0.000114905178676,0.999763483236313,8.99238207869108E-38,13133,6541620,12288542,17,0.968043807457818,0.001859668770933,0.9975,0.0001,513,,,17,1,,0.990323468084752,1.57308133441716E-38,,246161281,246161281,513,0.968043807457818,0.001859668770933,0.9936,0.0004,4232,1028,187,2167,412,25380.8116857633,1.00045457157627,417414,416639,1394,100149,100937,1767,12223,4599,4599,461.495823,1128517
1567438,512688,1,0.981555924550372,9.24091037484575E-05,0.999769216659597,7.88445781671468E-39,24725,12385700,23262907,17,0.968781144617872,0.001579753348178,0.9973,0.0001,513,,,17,1,,0.990708478620304,1.31644775333067E-39,,450810776,450810776,513,0.968781144617872,0.001579753348178,0.9943,0.0003,7813,1769,383,4058,814,46438.125779468,1.00046408718404,776757,775695,2591,183293,184630,3261,12233,8592,8592,862.053561,2076534
1634039,414972,1,0.986867688642321,7.91329797964897E-05,0.999876432090433,2.66103464805244E-39,28954,12697915,23777865,17,0.977195726681232,0.00133603202835,0.9975,0.0001,513,,,17,1,,0.994985922390659,4.47583269508625E-40,,465642595,465642595,513,0.977195726681232,0.00133603202835,0.9946,0.0003,11275,1387,235,3082,554,47572.742348677,1.00063654449229,734922,734237,4025,172553,173847,5027,12234,12071,12071,1211.286685,2049864
1602316,406787,1,0.987128081247245,7.90432087801881E-05,0.999877521297502,2.81795849716565E-39,28186,12486420,23382503,17,0.977268145887215,0.00133955552229,0.9974,0.0001,513,,,17,1,,0.995006152513837,4.75866442707874E-40,,457812165,457812165,513,0.977268145887215,0.00133955552229,0.9952,0.0003,11126,1343,245,3004,539,46767.2529017006,1.0006379433968,722006,721067,3947,168962,170338,4955,12238,11894,11894,1193.394407,2011248
2653369,674263,1,0.986977199795477,6.17269411255042E-05,0.999877106902522,3.76256921900996E-40,46722,20713558,38797141,17,0.977283154066032,0.001179898865871,0.9974,0.0001,513,,,17,1,,0.995007818685317,6.27244264223399E-41,,759571877,759571877,513,0.977283154066032,0.001179898865871,0.9952,0.0002,18432,2117,428,4835,955,77592.8150173355,1.0006381593784,1191908,1190551,6505,280491,282682,8225,12239,19739,19739,1980.663304,3326214
2015413,191066,1,0.98975648726223,6.74902336431939E-05,0.999951234835883,4.11833279638479E-39,40390,7990637,14921115,9,0.985765934049721,0.001180424964817,0.9975,0.0001,257,,,9,1,,0.99800986692049,6.79327277630085E-40,,294761766,294761766,257,0.985765934049721,0.001180424964817,0.9958,0.0002,11627,846,148,1910,359,29833.2636631234,1.001019362685,679687,679192,4575,168166,169434,6079,12243,12123,12123,1216.43663,2206694
2426955,230062,1,0.989756692316744,6.14603740334051E-05,0.999951490315033,2.00828000414418E-39,48616,9640263,17990579,9,0.985746924705534,0.001127264730234,0.9978,0.0001,257,,,9,1,,0.998015532865231,3.20119663405128E-40,1,355372259,355372259,257,0.985746924705534,0.001127264730234,0.9954,0.0002,14008,1001,189,2276,434,35974.3050675955,1.0010206321882,820151,819587,5506,202438,203988,7271,12244,14637,14637,1468.661348,2658863
1924113,183094,1,0.989610055740247,6.94907998461443E-05,0.999951122962146,5.02162640283392E-39,38543,7642222,14265936,9,0.985754898395898,0.001194106903302,0.9976,0.0001,257,,,9,1,,0.998002563560504,8.16761547941972E-40,,281929208,281929208,257,0.985754898395898,0.001194106903302,0.9957,0.0002,11073,845,149,1862,335,28530.5180261426,1.00101748274772,650574,650083,4389,160249,161431,5799,12245,11571,11571,1161.172395,2107109
1879349,178856,1,0.989674417530519,7.01757639926099E-05,0.999951036982818,5.49710122106678E-39,37691,7444375,13905382,9,0.985704745197728,0.001203956139998,0.9976,0.0001,257,,,9,1,,0.998000287899802,9.06953915845386E-40,,274748554,274748554,257,0.985704745197728,0.001203956139998,0.9958,0.0002,10792,736,166,1785,340,27804.8370802829,1.0010169079401,635132,634580,4253,156478,157736,5623,12246,11271,11271,1130.998384,2058550
1623800,154713,1,0.989251206224773,7.69628015922978E-05,0.999951369786322,9.90068213345856E-39,32539,6443136,12027604,9,0.985751695234837,0.001246411406772,0.9978,0.0001,257,,,9,1,,0.998002757938702,1.61796140202192E-39,,237609059,237609059,257,0.985751695234837,0.001246411406772,0.9959,0.0003,9306,674,129,1494,271,24041.6540749637,1.00101779091608,549335,548947,3508,135733,136721,4629,12247,9754,9754,978.775085,1779818
2218314,209611,1,0.98976017824465,6.43970748389725E-05,0.999951023388815,2.87057175951982E-39,44641,8776034,16380827,9,0.985704933638972,0.001155670750638,0.9976,0.0001,257,,,9,1,,0.997997602224257,4.72135493795594E-40,,323617380,323617380,257,0.985704933638972,0.001155670750638,0.9959,0.0002,12748,954,183,2141,381,32746.9124461304,1.00101635527944,748878,748444,4991,185475,186910,6626,12248,13267,13267,1331.299894,2429400
2702124,113642,1,0.989593320170113,6.02113994130235E-05,0.999974389601746,6.43001051883056E-39,52026,5603614,10439778,5,0.989692753715622,0.001095755237856,0.9978,0.0001,129,,,5,1,,0.998953649971331,1.04894353458572E-39,,207205542,207205542,129,0.989692753715622,0.001095755237856,0.9958,0.0002,11332,773,143,1743,328,20857.5827592162,1.00141281058262,776967,776598,4398,209100,210656,6450,12250,11747,11747,1178.712546,2815742
2585628,107700,1,0.9901742399152,5.98496801610526E-05,0.999974356051732,7.8863774923742E-39,49687,5360197,9988492,5,0.989691984137871,0.001108039344414,0.9976,0.0001,129,,,5,1,,0.998950384710232,1.25872592911827E-39,,198197259,198197259,129,0.989691984137871,0.001108039344414,0.9963,0.0002,10869,695,137,1579,296,19950.8584654522,1.00141068379582,742261,741901,4092,200570,202008,5966,12251,11219,11219,1125.77411,2693877
3002280,125781,1,0.990087059059858,5.57758645447156E-05,0.999974394739158,4.32174841586278E-39,57779,6226250,11597071,5,0.989691408240194,0.001067469354321,0.9977,0.0001,129,,,5,1,,0.998951671496802,6.91498801908463E-40,,230116930,230116930,129,0.989691408240194,0.001067469354321,0.9964,0.0002,12627,852,167,1902,376,23166.9635459329,1.00141131574322,863012,862364,4917,231974,233783,7234,12252,13032,13032,1307.836015,3128261
2701985,113078,1,0.990123385590656,5.86462861128587E-05,0.999974397942378,6.53941928154398E-39,52018,5614348,10457900,5,0.989705856282539,0.001094873395413,0.9978,0.0001,129,,,5,1,,0.998954031490757,1.0452268591032E-39,,207343141,207343141,129,0.989705856282539,0.001094873395413,0.9959,0.0002,11384,720,154,1625,289,20887.0447671212,1.00141210431652,776400,775941,4470,209637,211168,6475,12253,11756,11756,1179.787443,2815178
2756950,116192,1,0.990833540838517,5.59654416045121E-05,0.999974289161825,6.22880657507713E-39,53377,5725232,10661837,5,0.989680981810342,0.001090941972417,0.9977,0.0001,129,,,5,1,,0.998948433211362,9.75250628771855E-40,1,211369616,211369616,129,0.989680981810342,0.001090941972417,0.9962,0.0002,11559,788,139,1727,329,21296.0003931544,1.00140828500992,792746,792323,4499,213202,214750,6575,12254,11955,11955,1199.633525,2873183
2778416,116662,1,0.989564650106778,5.94132380967515E-05,0.999974260013947,5.92578877709027E-39,53539,5775639,10757183,5,0.989667756714575,0.00108915045833,0.9977,0.0001,129,,,5,1,,0.99894533330418,9.44953199370637E-40,,213315269,213315269,129,0.989667756714575,0.00108915045833,0.9959,0.0002,11652,757,144,1691,331,21493.5549429446,1.00140590406195,798481,798002,4542,215250,216906,6621,12255,12045,12045,1208.715048,2894870
2217480,92769,1,0.990889417863685,6.22506307545236E-05,0.999974419646329,1.48451741758185E-38,43017,4600925,8570509,5,0.989678389427984,0.001152398778866,0.9977,0.0001,129,,,5,1,,0.998946740621667,2.34534151093086E-39,,169849028,169849028,129,0.989678389427984,0.001152398778866,0.996,0.0002,9302,608,116,1367,239,17120.2195222953,1.00140643142856,638279,637889,3616,171700,173019,5317,12256,9598,9598,963.136592,2313232
2556886,106874,1,0.989021041586919,6.36114768365986E-05,0.999974252963079,8.13705884802984E-39,49408,5299215,9871254,5,0.989663211223726,0.001113176698987,0.9977,0.0001,129,,,5,1,,0.998944716314712,1.33661838472102E-39,,195660316,195660316,129,0.989663211223726,0.001113176698987,0.9956,0.0002,10718,702,128,1622,298,19711.6826433697,1.00140558392712,735001,734414,4169,198549,200046,6112,12257,11045,11045,1108.256972,2664093
2965451,124038,1,0.989341998945735,5.82431355253106E-05,0.99997414027698,4.50525989308246E-39,57114,6131273,11432996,5,0.989634500707943,0.001074329010214,0.9977,0.0001,129,,,5,1,,0.998942409752336,7.4349269359624E-40,,226791986,226791986,129,0.989634500707943,0.001074329010214,0.9959,0.0002,12388,831,156,1863,310,22846.1426827826,1.00140390902615,851535,851118,4812,230078,231776,7080,12258,12786,12786,1282.956237,3089772
