COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events
,915215,,0.996905575251652,0.001453111352912,-1,,,66808388,66808388,,0.989218564137984,0.001418716766342,,,,65,,,,,0.995682592768819,2.82038005656236E-38,,61281180,80720915,65,0.989218564137984,0.001418716766342,0.9959,0.0022,4301,,,,,34815.4829681511,0.999584038265181,-1,-1,-1,591095,587559,4301,16759,284347,4374.56923076923,438.845718,939871
,323069,,0.998548700115153,0.001414060978691,-1,,,35798049,35798049,,0.994615860638502,0.001174130377838,,,,33,,,,,0.998880029528358,4.32885077918035E-38,,32935302,42641756,33,0.994615860638502,0.001174130377838,0.9973,0.0021,4392,,,,,18339.7459955132,0.999167251722803,-1,-1,-1,646082,643539,4392,16760,153305,4645.60606060606,462.799754,992883
,92732,,0.984226545370894,0.001001646775448,-1,,,19024560,19024560,,0.998021943656061,0.000834336392269,,,,9,,,,,0.999841102561491,2.80976645334392E-38,,17518610,22482206,9,0.998021943656061,0.000834336392269,0.9984,0.0015,6458,,,,,9731.74119552527,0.997780607797818,-1,-1,-1,1276566,1276159,6458,16762,59015,6557.22222222222,654.501531,1915810
,592895,,0.998999853123874,0.001542398900313,-1,,,59369542,59369542,,0.991931355673696,0.001265243341102,,,,65,,,,,0.99750924908097,1.93206879259282E-38,,54562986,71244382,65,0.991931355673696,0.001265243341102,0.9967,0.0023,2542,,,,,30526.1294202834,0.999443699234934,-1,-1,-1,537938,536184,2542,16764,169489,2607.52307692308,514.597247,838592
