COINTRIG_cut,COINTRIG_scaler,COIN_PS,COIN_scaler_accp,CPULT_phys,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_scaler_accp,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_scaler_accp,SHMS_track,SHMS_track_uncern,TLT,TLT_ELT,accp_edtm,avg_yield_HMS_CPULT_notrack,avg_yield_HMS_CPULT_track,avg_yield_HMS_notrack,avg_yield_HMS_scaler,avg_yield_HMS_track,avg_yield_SHMS_CPULT_notrack,avg_yield_SHMS_CPULT_track,avg_yield_SHMS_notrack,avg_yield_SHMS_scaler,avg_yield_SHMS_track,charge,curr_corr,current,hTLT,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,min_yield_HMS_CPULT_notrack,min_yield_HMS_CPULT_track,min_yield_HMS_notrack,min_yield_HMS_scaler,min_yield_HMS_track,min_yield_SHMS_CPULT_notrack,min_yield_SHMS_CPULT_track,min_yield_SHMS_notrack,min_yield_SHMS_scaler,min_yield_SHMS_track,pTLT,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,rate_COIN,rate_HMS,rate_SHMS,run number,sent_edtm,sent_edtm_HMS,sent_edtm_PS,sent_edtm_SHMS,time,tot_events,uncern_COIN_evts_scaler,uncern_CPULT_phys,uncern_HMS_evts_notrack,uncern_HMS_evts_scaler,uncern_HMS_evts_track,uncern_SHMS_evts_notrack,uncern_SHMS_evts_scaler,uncern_SHMS_evts_track,uncern_TLT,uncern_TLT_ELT,uncern_charge,uncern_yieldRel_HMS_CPULT_notrack,uncern_yieldRel_HMS_CPULT_track,uncern_yieldRel_HMS_notrack,uncern_yieldRel_HMS_scaler,uncern_yieldRel_HMS_track,uncern_yieldRel_SHMS_CPULT_notrack,uncern_yieldRel_SHMS_CPULT_track,uncern_yieldRel_SHMS_notrack,uncern_yieldRel_SHMS_scaler,uncern_yieldRel_SHMS_track,yieldRel_HMS_CPULT_notrack,yieldRel_HMS_CPULT_track,yieldRel_HMS_notrack,yieldRel_HMS_scaler,yieldRel_HMS_track,yieldRel_SHMS_CPULT_notrack,yieldRel_SHMS_CPULT_track,yieldRel_SHMS_notrack,yieldRel_SHMS_scaler,yieldRel_SHMS_track,yield_HMS_CPULT_notrack,yield_HMS_CPULT_track,yield_HMS_notrack,yield_HMS_scaler,yield_HMS_track,yield_SHMS_CPULT_notrack,yield_SHMS_CPULT_track,yield_SHMS_notrack,yield_SHMS_scaler,yield_SHMS_track
,915215,,910840.4307692308,0.996905575251652,0.996905575251652,0.001453111352912,,66808388,,0.989218564137984,0.001418716766342,66524041,,,,65,,,,,,61281180,65,0.989218564137984,0.001418716766342,60996833,0.9959,0.0022,0.9831825199492172,0.9892490456053948,4301,0.1,0.1,0.1,0.1,0.1,1155.1923100440918,1162.532195420384,1164.1513970187866,1783.6358055930682,1171.5847130658187,34815.4829681511,0.999584038265181,79.33422052474282,-1.0,-1,-1,-1,1,1,1,1,1,1186.3654243675294,1198.3342531246913,1185.5924268321553,1798.0781166985546,1197.5534570856346,0.983182519949217,590459.039649149,587395.836133271,4301,2085.505138733062,152236.61815472017,139641.74079055275,16759,284347,1,4374.56923076923,4374.569230769231,438.845718,939871,0.001045293946433169,0.001453111352912,-1.0,0.00012234451496844284,-1.0,0.0013013829486042613,0.00012774280268312016,0.0013047718193857452,0.014993334341789578,0.01243002006364169,47.98843867060515,,,,,,0.0041328591719534905,0.006332859171953491,0.01511269539095062,0.002006923153400379,0.015271986183193727,,,,,,0.9324786347194775,0.9221567573420546,0.9461104309442194,0.9747808629487877,0.9356376592472628,1,1,1.0,1,1.0,1106.2604111926273,1105.0520290733782,1121.7013618743733,1752.732138244748,1120.4761134110706
,323069,,318423.3939393939,0.998548700115153,0.998548700115153,0.001414060978691,,35798049,,0.994615860638502,0.001174130377838,35644744,,,,33,,,,,,32935302,33,0.994615860638502,0.001174130377838,32781997,0.9973,0.0021,0.9454094778382963,0.9946402869205341,4392,0.1,0.1,0.1,0.1,0.1,1155.1923100440918,1162.532195420384,1164.1513970187866,1783.6358055930682,1171.5847130658187,18339.7459955132,0.999167251722803,39.62782140008052,-1.0,-1,-1,-1,1,1,1,1,1,1186.3654243675294,1198.3342531246913,1185.5924268321553,1798.0781166985546,1197.5534570856346,0.9454094778382961,637103.902918869,638350.634400724,4392,698.0751333761513,77351.05451244471,71165.34033421289,16760,153305,1,4645.60606060606,4645.606060606061,462.799754,992883,0.001759350449492411,0.001414060978691,-1.0,0.0001671361219041603,-1.0,0.0012528378547383265,0.00017424855086077578,0.0012516138285528309,0.014267010222697833,0.008942003011819119,25.27900071401341,,,,,,0.0040452712885439114,0.006145271288543911,0.01438808861558228,0.0019823828172056573,0.014540532796629166,,,,,,0.9685119106479068,0.9633157997520044,0.9729515970187977,0.9949364526309695,0.967731667001548,1,1,,1,,1149.0090438808106,1154.3743194190329,1153.5240450997376,1788.9734629814343,1158.910403348948
,158753,,153690.64705882352,0.99091124011663,0.99091124011663,0.001219891483942,,24488377,,0.99666288077224,0.001017100206423,24402317,,,,17,,,,,,22536848,17,0.99666288077224,0.001017100206423,22450788,0.9979,0.0019,0.991633743899605,0.9884799200106826,5020,0.1,0.1,0.1,0.1,0.1,1155.1923100440918,1162.532195420384,1164.1513970187866,1783.6358055930682,1171.5847130658187,12537.9437389769,0.998670353785512,24.81863193413112,-1.0,-1,-1,-1,1,1,1,1,1,1186.3654243675294,1198.3342531246913,1185.5924268321553,1798.0781166985546,1197.5534570856346,0.991633743899605,859026.047173283,868345.318082217,5020,314.24868044276496,48474.297546723246,44611.28133225304,16761,86060,1,5062.35294117647,5062.35294117647,505.18271,1312773,0.002509799506023669,0.001219891483942,-1.0,0.00020207844842961894,-1.0,0.0010789388560087636,0.0002106460948553671,0.0010731335347069254,0.013997225835565175,0.007101608687497423,17.282141123570316,,,,,,0.003677217536716136,0.005577217536716136,0.014106253627771813,0.0018526894704938362,0.0142336359167651,,,,,,0.992095646192183,0.9949314591810365,0.9920191736395786,0.997182294830975,0.9948547680387642,1,1,1.0,1,1.0,1176.9879723079675,1192.2604470479666,1176.1304195393773,1793.0116626948222,1191.3917667629491
,92732,,86174.77777777778,0.984226545370894,0.984226545370894,0.001001646775448,,19024560,,0.998021943656061,0.000834336392269,18965545,,,,9,,,,,,17518610,9,0.998021943656061,0.000834336392269,17459595,0.9984,0.0015,0.9848682538337714,0.9827776175837412,6458,0.1,0.1,0.1,0.1,0.1,1155.1923100440918,1162.532195420384,1164.1513970187866,1783.6358055930682,1171.5847130658187,9731.74119552527,0.997780607797818,14.868935723735182,-1.0,-1,-1,-1,1,1,1,1,1,1186.3654243675294,1198.3342531246913,1185.5924268321553,1798.0781166985546,1197.5534570856346,0.984868253833771,1259785.64577537,1270459.19335139,6458,141.6833966122533,29067.250569960852,26766.339221901682,16762,59015,1,6557.22222222222,6557.222222222223,654.501531,1915810,0.0032838641818708544,0.001001646775448,-1.0,0.0002292676024534587,-1.0,0.000890946594584897,0.00023891871912640856,0.000887196132350507,0.012256366257089884,0.0055136170655343915,13.414479952173597,,,,,,0.0032710188421716012,0.004771018842171601,0.012365773588602321,0.0017205915260035398,0.012456418283141216,,,,,,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,1.0,1186.3654243675294,1198.3342531246913,1185.5924268321553,1798.0781166985546,1197.5534570856346
,592895,,590287.4769230769,0.998999853123874,0.998999853123874,0.001542398900313,,59369542,,0.991931355673696,0.001265243341102,59200053,,,,65,,,,,,54562986,65,0.991931355673696,0.001265243341102,54393497,0.9967,0.0023,0.97487152558573,0.9931740100155451,2542,0.1,0.1,0.1,0.1,0.1,1155.1923100440918,1162.532195420384,1164.1513970187866,1783.6358055930682,1171.5847130658187,30526.1294202834,0.999443699234934,59.320428933976395,-1.0,-1,-1,-1,1,1,1,1,1,1186.3654243675294,1198.3342531246913,1185.5924268321553,1798.0781166985546,1197.5534570856346,0.9748715255857312,541097.028920311,541810.377291139,2542,1152.1534626476537,115370.88926556188,106030.4661909705,16764,169489,1,2607.52307692308,2607.523076923077,514.597247,838592,0.0012987067747913343,0.001542398900313,-1.0,0.00012978310214630296,-1.0,0.0013594474529296794,0.00013537888576130297,0.0013585522328734712,0.019339301398638986,0.010876795126374137,42.076196697260364,,,,,,0.004280212936111924,0.006580212936111924,0.019435960753239022,0.00207297280425175,0.019571575572790444,,,,,,0.9726901655636678,0.9674371131144409,0.997414386985106,0.9915356868610324,0.9920278103814348,1,1,1.0,1,1.0,1153.9659810470632,1159.313030389101,1182.5269436229783,1782.858620470493,1188.0063338473797
