Physics Setting,Run Type,Run Number,Charge,Charge Error,HMS Tracking Eff,HMS Tracking Eff Error,SHMS Tracking Eff,SHMS Tracking Eff Error,HMS Cer Detector Eff,HMS Cer Detector Eff Error,HMS Cal Detector Eff,HMS Cal Detector Eff Error,HMS Hodo 3/4 Eff,HMS Hodo 3/4 Eff Error,SHMS Hodo 3/4 Eff,SHMS Hodo 3/4 Eff Error,EDTM Live Time,EDTM Live Time Error,Boiling Factor,Boiling Factor Error,Dummy Target Correction,Dummy Target Correction Error,Effective Charge,Effective Charge Error
Q3p85_W2p62_t0p21_loweps_left,data,16319.0,217.591,0.475741255015465,0.9962,0.0006,0.9857,0.0019,0.9981,0.0001,0.9981,0.0001,0.997032,0.0006,0.97583,0.0019,0.9952,0.0003,0.98019588,0.059546640561488826,NA,NA,202.01649703331356,12.294248536020135
Q3p85_W2p62_t0p21_loweps_left,data,16320.0,40.891,0.08980209236438794,0.9949,0.0017,0.983,0.0047,0.9981,0.0001,0.9981,0.0001,0.997115,0.0017,0.973098,0.0047,0.9943,0.0007,0.98103028,0.0595973301412309,NA,NA,37.7060008161578,2.3083601595162277
Q3p85_W2p62_t0p21_loweps_left,data,16321.0,211.632,0.4637209915330345,0.9965,0.0004,0.985,0.002,0.9981,0.0001,0.9981,0.0001,0.997051,0.0004,0.974413,0.002,0.9946,0.0004,0.98061756,0.05957225751017164,NA,NA,196.0882382158043,11.934303057377582
Q3p85_W2p62_t0p21_loweps_left,data,16323.0,248.132,0.5404424088478379,0.9963,0.0004,0.9872,0.0017,0.9981,0.0001,0.9981,0.0001,0.997262,0.0004,0.975189,0.0017,0.9945,0.0004,0.9793878,0.059497549914838584,NA,NA,230.29457433002722,14.011646017312083
Q3p85_W2p62_t0p21_loweps_left,data,16325.0,237.726,0.5177946091340723,0.9959,0.0004,0.9883,0.0017,0.9981,0.0001,0.9981,0.0001,0.997182,0.0004,0.974796,0.0017,0.9932,0.0004,0.97939508,0.059497992172916354,NA,NA,220.4002687150206,13.409648045824575
Q3p85_W2p62_t0p21_loweps_left,data,16326.0,257.213,0.5587202690169519,0.9963,0.0004,0.9834,0.0019,0.9981,0.0001,0.9981,0.0001,0.997261,0.0004,0.974814,0.0019,0.9942,0.0004,0.97876312,0.05945960076978991,NA,NA,237.48889614820405,14.452296462389352
Q3p85_W2p62_t0p21_loweps_left,data,16327.0,257.757,0.5614038478295855,0.9964,0.0004,0.9863,0.0017,0.9981,0.0001,0.9981,0.0001,0.997126,0.0004,0.974868,0.0017,0.9943,0.0004,0.97938696,0.059497498885060375,NA,NA,238.87403403099435,14.53365450538772
Q3p85_W2p62_t0p21_loweps_left,data,16328.0,235.564,0.5144914073736043,0.9961,0.0004,0.989,0.0016,0.9981,0.0001,0.9981,0.0001,0.997204,0.0004,0.975251,0.0016,0.9959,0.0003,0.97998112,0.05953359394818635,NA,NA,219.4270277849533,13.349105072174993
Q3p85_W2p62_t0p21_loweps_left,data,16330.0,235.411,0.5133225867367239,0.9959,0.0004,0.9876,0.0017,0.9981,0.0001,0.9981,0.0001,0.997191,0.0004,0.975215,0.0017,0.9949,0.0004,0.97963896,0.059512807818523375,NA,NA,218.62301497464432,13.301536746309898
Q3p85_W2p62_t0p21_loweps_left,data,16331.0,235.152,0.5129172685123198,0.9969,0.0004,0.9887,0.0017,0.9981,0.0001,0.9981,0.0001,0.996967,0.0004,0.975305,0.0017,0.9939,0.0004,0.9797056,0.05951685618092859,NA,NA,218.6112125731738,13.300811261295323
Q3p85_W2p62_t0p21_loweps_left,data,16332.0,274.274,0.5969646046509729,0.9961,0.0004,0.9892,0.0015,0.9981,0.0001,0.9981,0.0001,0.997385,0.0004,0.975325,0.0015,0.9942,0.0003,0.97923044,0.05948799033638887,NA,NA,254.9709207215028,15.510041757484007
Q3p85_W2p62_t0p21_loweps_left,data,16394.0,246.561,0.5361119931229237,0.9964,0.0004,0.9909,0.0014,0.9981,0.0001,0.9981,0.0001,0.997013,0.0004,0.975137,0.0014,0.9937,0.0004,0.97899972,0.05947397415731177,NA,NA,229.37197553778267,13.951812879482022
Q3p85_W2p62_t0p21_loweps_left,data,16395.0,240.352,0.522098803154234,0.997,0.0004,0.9884,0.0016,0.9981,0.0001,0.9981,0.0001,0.99716,0.0004,0.976011,0.0016,0.9943,0.0004,0.97876508,0.059459719839272326,NA,NA,223.48028347751406,13.595723061861188
Q3p85_W2p62_t0p21_loweps_left,data,16396.0,71.837,0.15607102519820973,0.9967,0.0007,0.9864,0.0032,0.9981,0.0001,0.9981,0.0001,0.997243,0.0007,0.977094,0.0032,0.9943,0.0006,0.97880372,0.059462067209068624,NA,NA,66.72125613899253,4.0682848523049495
Q3p85_W2p62_t0p21_loweps_left,data,16397.0,130.987,0.2842377761871397,0.9968,0.0005,0.9892,0.0022,0.9981,0.0001,0.9981,0.0001,0.99594,0.0005,0.975181,0.0022,0.9945,0.0005,0.9785086,0.05944413874700291,NA,NA,121.60635874780893,7.403072524390889
Q3p85_W2p62_t0p21_loweps_left,data,16398.0,187.087,0.4073104863719127,0.9967,0.0004,0.9881,0.0019,0.9981,0.0001,0.9981,0.0001,0.997161,0.0004,0.975227,0.0019,0.9946,0.0004,0.97929232,0.05949174953004955,NA,NA,173.85568011726153,10.579896275145535
