Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,1,0,24,0.781266999141742,0.05199403716512927
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,2,24,48,0.8429627356360584,0.05647081459935666
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,3,48,72,0.9801043422290362,0.06589648334302971
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,4,72,96,0.9232092126777258,0.059432154253901984
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,5,96,120,0.989412061893268,0.06357194657877087
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,6,120,144,0.9428587115381072,0.06078675208619999
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,7,144,168,1.07322293359785,0.06481771751119082
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,8,168,192,1.076588478585192,0.08125981578252285
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,9,192,216,1.0791205525685221,0.06293685280505364
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,10,216,240,0.9948811963506217,0.06315692102718977
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,11,240,264,0.9598281957593385,0.06191267258456073
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,12,264,288,1.015447241834719,0.06382131587314921
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,13,288,312,0.9034212229467433,0.06764150157198005
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,14,312,336,0.9827020676394869,0.062044849636139196
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,15,336,360,0.9056522638772858,0.05946542590407663
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,1,0,24,0.5598386315433899,0.05595615849037908
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,2,24,48,0.7342273820516403,0.05120380273777328
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,3,48,72,0.8184717387944122,0.05597810257900106
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,4,72,96,0.7485312546519257,0.06408682397615328
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,5,96,120,0.9255503323283218,0.06472917005136736
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,6,120,144,0.9133041926955949,0.06169358096986967
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,7,144,168,0.9825298889201098,0.06573161475501574
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,8,168,192,0.8611172473930365,0.06292445088849487
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,9,192,216,0.8923980562438266,0.06338847164309618
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,10,216,240,0.8344105804425969,0.059105775685491316
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,11,240,264,0.9656936965918432,0.06343332211697411
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,12,264,288,0.8603393506636807,0.07730190165694951
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,13,288,312,0.9587752488893282,0.06609547208803122
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,14,312,336,0.7128782610710599,0.055802980503071045
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,15,336,360,0.6686270688527248,0.05133063393532276
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,1,0,24,0.799795543623033,0.05937404840927641
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,2,24,48,0.7871790296620702,0.056029556214042764
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,3,48,72,0.8618811229370118,0.05495482239809657
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,4,72,96,0.8495555560702754,0.06317512817223074
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,5,96,120,0.8896882076661906,0.06045341179898373
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,6,120,144,0.9718278982239978,0.06586014498179277
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,7,144,168,1.0022029640456969,0.06808911528149754
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,8,168,192,0.8946192267459164,0.07756753706692786
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,9,192,216,0.8642300062571897,0.062074418493942976
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,10,216,240,0.9217314104915709,0.0629114452446491
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,11,240,264,0.8780684396022109,0.0642464805658143
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,12,264,288,0.9459996471867136,0.06705187609753598
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,13,288,312,0.7602454792006998,0.05058653123430766
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,14,312,336,0.6599225062450047,0.06578403280238498
Q3p85_W2p62_t0p21_higheps,3,0.272,0.308,15,336,360,0.8036957978656756,0.06287389572309761
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,1,0,24,0.6376925777960712,0.050513211868843694
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,2,24,48,0.7423841482129305,0.05570997589511424
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,3,48,72,0.7988066196333183,0.05218095928958648
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,4,72,96,0.7965368290673538,0.05522880892754677
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,5,96,120,0.9032322693639306,0.058629198175995205
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,6,120,144,0.8566749443287518,0.05691981866882455
Q3p85_W2p62_t0p21_higheps,4,0.308,0.354,7,144,168,0.875073321737358,0.06033199444164113
