Run_Start,Run_End,Bunch_Spacing,Coin_Offset,nSkip,nWindows,Pion_Prompt_Peak,Kaon_Prompt_Peak,Proton_Prompt_Peak,RF_Offset
4865,4865,4.008,0.25,2,6,0,-0.17,0.40,-1.03
4866,4866,4.008,0.25,2,6,0,-0.19,0.38,-1.03
4867,4867,4.008,0.25,2,6,0,-0.11,0.45,-1.03
4868,4868,4.008,0.25,2,6,0,-0.11,0.42,-1.03
4871,4871,4.008,0.25,2,6,0,-0.18,0.37,0.119
4873,4873,4.008,0.25,2,6,0,-0.10,0.38,0.119
4874,4874,4.008,0.25,2,6,0,-0.10,0.41,0.119
4875,4875,4.008,0.25,2,6,0,-0.05,0.51,0.119
4876,4876,4.008,0.25,2,6,0,-0.07,0.54,0.119
4877,4877,4.008,0.25,2,6,0,0.01,0.49,0.119
4878,4878,4.008,0.25,2,6,0,-0.01,0.50,0.119
4879,4879,4.008,0.25,2,6,0,-0.02,0.48,0.119
4882,4882,4.008,0.25,2,6,0,0.15,0.52,0.113
4884,4884,4.008,0.25,2,6,0,0.06,0.57,0.113
4885,4885,4.008,0.25,2,6,0,0.15,0.54,0.113
4887,4887,4.008,0.25,2,6,0,0.18,0.54,0.113
4888,4888,4.008,0.25,2,6,0,0.16,0.55,0.113
4889,4889,4.008,0.25,2,6,0,0.09,0.54,0.113
4890,4890,4.008,0.25,2,6,0,0.15,0.53,0.113
4892,4892,4.008,0.25,2,6,0,0.17,0.38,-1
4893,4893,4.008,0.25,2,6,0,0.12,0.40,-1
4894,4894,4.008,0.25,2,6,0,0.04,0.36,-1
4895,4895,4.008,0.25,2,6,0,0.16,0.37,-1
4896,4896,4.008,0.25,2,6,0,0.09,0.38,-1
4897,4897,4.008,0.25,2,6,0,0.13,0.34,-1
4898,4898,4.008,0.25,2,6,0,0.08,0.31,-1
4899,4899,4.008,0.25,2,6,0,0.16,0.44,-1
4900,4900,4.008,0.25,2,6,0,0.12,0.38,-1
4901,4901,4.008,0.25,2,6,0,0.10,0.34,-1
4904,4904,4.008,0.25,2,6,0,0.08,0.40,-1
4905,4905,4.008,0.25,2,6,0,0.16,0.42,-1
4906,4906,4.008,0.25,2,6,0,0.08,0.42,-1
4907,4907,4.008,0.25,2,6,0,0.16,0.50,-1
4908,4908,4.008,0.25,2,6,0,0.12,0.37,-1
4909,4909,4.008,0.25,2,6,0,0.12,0.38,-1
4914,4914,4.008,0.25,2,6,0,0.02,0.37,0.145
4916,4916,4.008,0.25,2,6,0,0.07,0.35,0.145
4917,4917,4.008,0.25,2,6,0,0.06,0.34,0.145
4918,4918,4.008,0.25,2,6,0,0.03,0.30,0.145
4919,4919,4.008,0.25,2,6,0,0.02,0.26,0.145
4920,4920,4.008,0.25,2,6,0,0.02,0.28,0.145
4921,4921,4.008,0.25,2,6,0,0.02,0.32,0.145
4922,4922,4.008,0.25,2,6,0,0.02,0.32,0.145
4923,4923,4.008,0.25,2,6,0,0.04,0.30,0.145
4924,4924,4.008,0.25,2,6,0,0.03,0.34,0.145
4925,4925,4.008,0.25,2,6,0,0.02,0.28,0.119
4926,4926,4.008,0.25,2,6,0,0.08,0.29,0.119
4927,4927,4.008,0.25,2,6,0,0.08,0.34,0.119
4928,4928,4.008,0.25,2,6,0,0.02,0.21,0.119
4929,4929,4.008,0.25,2,6,0,0.07,0.32,0.119
4930,4930,4.008,0.25,2,6,0,0.09,0.39,0.119
4931,4931,4.008,0.25,2,6,0,0.08,0.36,0.119
4932,4932,4.008,0.25,2,6,0,0.09,0.39,0.119
4933,4933,4.008,0.25,2,6,0,0.05,0.37,0.119
4934,4934,4.008,0.25,2,6,0,0.06,0.34,0.119
4935,4935,4.008,0.25,2,6,0,-0.08,0.33,0.119
4936,4936,4.008,0.25,2,6,0,0.06,0.40,0.119
4937,4937,4.008,0.25,2,6,0,0.09,0.40,0.119
4938,4938,4.008,0.25,2,6,0,0.07,0.34,0.119
4939,4939,4.008,0.25,2,6,0,0.08,0.34,0.119
4943,4943,4.008,0.25,2,6,0,0.08,0.32,0.119
4944,4944,4.008,0.25,2,6,0,0.06,0.26,0.119
4945,4945,4.008,0.25,2,6,0,0.03,0.36,0.145
4946,4946,4.008,0.25,2,6,0,0.03,0.39,0.145
4947,4947,4.008,0.25,2,6,0,0.02,0.38,0.145
4948,4948,4.008,0.25,2,6,0,0.06,0.34,0.119
4949,4949,4.008,0.25,2,6,0,0.08,0.34,0.119
4950,4950,4.008,0.25,2,6,0,0.07,0.35,0.119
4951,4951,4.008,0.25,2,6,0,0.05,0.35,0.119
4952,4952,4.008,0.25,2,6,0,0.08,0.39,0.119
4953,4953,4.008,0.25,2,6,0,0.08,0.35,0.119
4954,4954,4.008,0.25,2,6,0,0.06,0.35,0.119
4955,4955,4.008,0.25,2,6,0,0.09,0.32,0.119
4956,4956,4.008,0.25,2,6,0,0.07,0.33,0.119
4957,4957,4.008,0.25,2,6,0,0.10,0.35,0.119
4958,4958,4.008,0.25,2,6,0,0.08,0.38,0.119
4959,4959,4.008,0.25,2,6,0,0.05,0.36,0.119
4965,4965,4.008,0.25,2,6,0,-0.04,0.35,0.125
4966,4966,4.008,0.25,2,6,0,0.09,0.46,0.125
4967,4967,4.008,0.25,2,6,0,0.15,0.27,0.125
4968,4968,4.008,0.25,2,6,0,0.18,0.28,0.125
4969,4969,4.008,0.25,2,6,0,0.14,0.31,0.125
4970,4970,4.008,0.25,2,6,0,0.16,0.27,0.125
4971,4971,4.008,0.25,2,6,0,0.19,0.26,0.125
4972,4972,4.008,0.25,2,6,0,0.18,0.16,0.125
4973,4973,4.008,0.25,2,6,0,-0.01,0.33,0.125
4974,4974,4.008,0.25,2,6,0,0.31,0.24,0.125
4975,4975,4.008,0.25,2,6,0,0.14,0.28,0.125
4982,4982,4.008,0.25,2,6,0,0.13,0.26,0.05
4983,4983,4.008,0.25,2,6,0,0.39,0.63,0.05
4984,4984,4.008,0.25,2,6,0,0.24,0.33,0.05
4985,4985,4.008,0.25,2,6,0,0.16,0.33,0.05
4986,4986,4.008,0.25,2,6,0,0.33,0.53,0.05
4987,4987,4.008,0.25,2,6,0,0.30,0.55,0.05
4990,4990,4.008,0.25,2,6,0,0.14,0.37,0.05
4991,4991,4.008,0.25,2,6,0,0.15,0.32,0.05
4995,4995,4.008,0.25,2,6,0,0.14,0.25,0.05
4996,4996,4.008,0.25,2,6,0,0.13,0.43,0.05
4997,4997,4.008,0.25,2,6,0,0.16,0.37,0.05
4998,4998,4.008,0.25,2,6,0,0.15,0.38,0.05
4999,4999,4.008,0.25,2,6,0,0.16,0.62,-0.097
5000,5000,4.008,0.25,2,6,0,0.37,0.31,-0.097
5001,5001,4.008,0.25,2,6,0,0.32,0.36,-0.097
