Run_Start,Run_End,noedtm,edtmLow,edtmHigh,ptrigHMSLow,ptrigHMSHigh,ptrigSHMSLow,ptrigSHMSHigh,ptrigCOINLow,ptrigCOINHigh,goodstarttime,goodscinhit
0.0,12125.0,0.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,1.0,1.0
12200.0,99999.0,0.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,1.0,1.0
12131.0,12131.0,0.0,2623.0,2840.0,4787.0,5004.0,5407.0,5607.0,0.0,10000.0,1.0,1.0
12128.0,12128.0,0.0,2597.0,2821.0,4795.0,5026.0,5390.0,5593.0,0.0,10000.0,1.0,1.0
12129.0,12129.0,0.0,2591.0,2865.0,4789.0,4998.0,5388.0,5629.0,0.0,10000.0,1.0,1.0
12130.0,12130.0,0.0,2613.0,2832.0,4787.0,5006.0,5399.0,5597.0,0.0,10000.0,1.0,1.0
12133.0,12133.0,0.0,2628.0,2845.0,4796.0,5014.0,5374.0,5615.0,0.0,10000.0,1.0,1.0
12140.0,12140.0,0.0,2608.0,2816.0,4797.0,5028.0,5394.0,5620.0,0.0,10000.0,1.0,1.0
12135.0,12135.0,0.0,2636.0,2853.0,4801.0,5019.0,5376.0,5605.0,0.0,10000.0,1.0,1.0
12137.0,12137.0,0.0,2632.0,2854.0,4812.0,5014.0,5377.0,5610.0,0.0,10000.0,1.0,1.0
12132.0,12132.0,0.0,2587.0,2864.0,4808.0,5018.0,5393.0,5628.0,0.0,10000.0,1.0,1.0
12148.0,12148.0,0.0,2616.0,2849.0,4772.0,5030.0,5381.0,5617.0,0.0,10000.0,1.0,1.0
12144.0,12144.0,0.0,2602.0,2826.0,4785.0,5030.0,5379.0,5618.0,0.0,10000.0,1.0,1.0
12151.0,12151.0,0.0,2613.0,2874.0,4776.0,5039.0,5364.0,5628.0,0.0,10000.0,1.0,1.0
12152.0,12152.0,0.0,2611.0,2866.0,4782.0,5031.0,5399.0,5629.0,0.0,10000.0,1.0,1.0
12158.0,12158.0,0.0,2597.0,2822.0,4794.0,5009.0,5433.0,5594.0,0.0,10000.0,1.0,1.0
12150.0,12150.0,0.0,2596.0,2847.0,4800.0,5025.0,5373.0,5639.0,0.0,10000.0,1.0,1.0
12154.0,12154.0,0.0,2636.0,2862.0,4816.0,5017.0,5381.0,5629.0,0.0,10000.0,1.0,1.0
12161.0,12161.0,0.0,2618.0,2840.0,4801.0,5020.0,5388.0,5621.0,0.0,10000.0,1.0,1.0
12145.0,12145.0,0.0,2606.0,2876.0,4778.0,5017.0,5363.0,5638.0,0.0,10000.0,1.0,1.0
12162.0,12162.0,0.0,2587.0,2867.0,4788.0,5040.0,5363.0,5639.0,0.0,10000.0,1.0,1.0
12164.0,12164.0,0.0,2607.0,2822.0,4787.0,5012.0,5389.0,5624.0,0.0,10000.0,1.0,1.0
12175.0,12175.0,0.0,2610.0,2821.0,4775.0,5010.0,5410.0,5610.0,0.0,10000.0,1.0,1.0
12174.0,12174.0,0.0,2606.0,2822.0,4798.0,5027.0,5394.0,5623.0,0.0,10000.0,1.0,1.0
12166.0,12166.0,0.0,2619.0,2822.0,4796.0,5007.0,5397.0,5596.0,0.0,10000.0,1.0,1.0
12187.0,12187.0,0.0,2587.0,2858.0,4789.0,5021.0,5397.0,5634.0,0.0,10000.0,1.0,1.0
12147.0,12147.0,0.0,2620.0,2833.0,4789.0,5037.0,5389.0,5627.0,0.0,10000.0,1.0,1.0
12189.0,12189.0,0.0,2617.0,2868.0,4783.0,5023.0,5394.0,5608.0,0.0,10000.0,1.0,1.0
12190.0,12190.0,0.0,2636.0,2857.0,4806.0,5031.0,5364.0,5631.0,0.0,10000.0,1.0,1.0
12185.0,12185.0,0.0,2603.0,2867.0,4783.0,5027.0,5380.0,5620.0,0.0,10000.0,1.0,1.0
12195.0,12195.0,0.0,2583.0,2851.0,4774.0,5034.0,5368.0,5648.0,0.0,10000.0,1.0,1.0
12186.0,12186.0,0.0,2629.0,2863.0,4780.0,5042.0,5375.0,5616.0,0.0,10000.0,1.0,1.0
12181.0,12181.0,0.0,2641.0,2851.0,4809.0,5017.0,5393.0,5591.0,0.0,10000.0,1.0,1.0
12159.0,12159.0,0.0,2585.0,2866.0,4772.0,5022.0,5408.0,5606.0,0.0,10000.0,1.0,1.0
12184.0,12184.0,0.0,2611.0,2879.0,4783.0,5026.0,5373.0,5610.0,0.0,10000.0,1.0,1.0
12193.0,12193.0,0.0,2625.0,2848.0,4786.0,4997.0,5387.0,5623.0,0.0,10000.0,1.0,1.0
12198.0,12198.0,0.0,2614.0,2859.0,4818.0,5023.0,5376.0,5612.0,0.0,10000.0,1.0,1.0
12153.0,12153.0,0.0,2607.0,2861.0,4804.0,5023.0,5367.0,5626.0,0.0,10000.0,1.0,1.0
12194.0,12194.0,0.0,2586.0,2866.0,4777.0,5045.0,5367.0,5647.0,0.0,10000.0,1.0,1.0
12160.0,12160.0,0.0,2641.0,2809.0,4779.0,5026.0,5417.0,5618.0,0.0,10000.0,1.0,1.0
12197.0,12197.0,0.0,2590.0,2863.0,4804.0,5014.0,5379.0,5607.0,0.0,10000.0,1.0,1.0
12192.0,12192.0,0.0,2627.0,2850.0,4777.0,5024.0,5391.0,5630.0,0.0,10000.0,1.0,1.0
12126.0,12126.0,0.0,2631.0,2855.0,4793.0,5002.0,5398.0,5596.0,0.0,10000.0,1.0,1.0
12141.0,12141.0,0.0,2625.0,2848.0,4807.0,5009.0,5414.0,5573.0,0.0,10000.0,1.0,1.0
12142,12142,0.0,2617,2840,4799,5014,5398,5596,0.0,10000.0,1.0,1.0
0.0,99999.0,0.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,0.0,10000.0,1.0,1.0
