Run_Start,Run_End,Bunch_Spacing,Coin_Offset,nSkip,nWindows,Pion_Prompt_Peak,Kaon_Prompt_Peak,Proton_Prompt_Peak,RF_Offset,PiRFLow,PiRFHigh,KRFLow,KRFHigh,pRFLow,pRFHigh
4930,4930,4.008,0.25,2,6,0,0.09,0.39,0.119,1.5,2.5,0.75,1.75,0,0.75
4931,4931,4.008,0.25,2,6,0,0.08,0.36,0.119,1.5,2.5,0.75,1.75,0,0.75
4932,4932,4.008,0.25,2,6,0,0.09,0.39,0.119,1.5,2.5,0.75,1.75,0,0.75
4933,4933,4.008,0.25,2,6,0,0.05,0.37,0.119,1.5,2.5,0.75,1.75,0,0.75
4934,4934,4.008,0.25,2,6,0,0.06,0.34,0.119,1.5,2.5,0.75,1.75,0,0.75
4935,4935,4.008,0.25,2,6,0,-0.08,0.33,0.119,1.5,2.5,0.75,1.75,0,0.75
4936,4936,4.008,0.25,2,6,0,0.06,0.4,0.119,1.5,2.5,0.75,1.75,0,0.75
4937,4937,4.008,0.25,2,6,0,0.09,0.4,0.119,1.5,2.5,0.75,1.75,0,0.75
4938,4938,4.008,0.25,2,6,0,0.07,0.34,0.119,1.5,2.5,0.75,1.75,0,0.75
4939,4939,4.008,0.25,2,6,0,0.08,0.34,0.119,1.5,2.5,0.75,1.75,0,0.75
4940,4940,4.008,0.25,2,6,0,0.23,0.35,0.119,1.5,2.5,0.75,1.75,0,0.75
4941,4941,4.008,0.25,2,6,0,0.19,0.38,0.119,1.5,2.5,0.75,1.75,0,0.75
4942,4942,4.008,0.25,2,6,0,0.22,0.44,0.119,1.5,2.5,0.75,1.75,0,0.75
4943,4943,4.008,0.25,2,6,0,0.08,0.32,0.119,1.5,2.5,0.75,1.75,0,0.75
4944,4944,4.008,0.25,2,6,0,0.06,0.26,0.119,1.5,2.5,0.75,1.75,0,0.75
4945,4945,4.008,0.25,2,6,0,0.03,0.36,0.145,1.5,2.5,0.75,1.75,0,0.75
4946,4946,4.008,0.25,2,6,0,0.03,0.39,0.145,1.5,2.5,0.75,1.75,0,0.75
4947,4947,4.008,0.25,2,6,0,0.02,0.38,0.145,1.5,2.5,0.75,1.75,0,0.75
4948,4948,4.008,0.25,2,6,0,0.06,0.34,0.119,1.5,2.5,0.75,1.75,0,0.75
4949,4949,4.008,0.25,2,6,0,0.08,0.34,0.119,1.5,2.5,0.75,1.75,0,0.75
4950,4950,4.008,0.25,2,6,0,0.07,0.35,0.119,1.5,2.5,0.75,1.75,0,0.75
4951,4951,4.008,0.25,2,6,0,0.05,0.35,0.119,1.5,2.5,0.75,1.75,0,0.75
4952,4952,4.008,0.25,2,6,0,0.08,0.39,0.119,1.5,2.5,0.75,1.75,0,0.75
4953,4953,4.008,0.25,2,6,0,0.08,0.35,0.119,1.5,2.5,0.75,1.75,0,0.75
4954,4954,4.008,0.25,2,6,0,0.06,0.35,0.119,1.5,2.5,0.75,1.75,0,0.75
4955,4955,4.008,0.25,2,6,0,0.09,0.32,0.119,1.5,2.5,0.75,1.75,0,0.75
4956,4956,4.008,0.25,2,6,0,0.07,0.33,0.119,1.5,2.5,0.75,1.75,0,0.75
4957,4957,4.008,0.25,2,6,0,0.1,0.35,0.119,1.5,2.5,0.75,1.75,0,0.75
4958,4958,4.008,0.25,2,6,0,0.08,0.38,0.119,1.5,2.5,0.75,1.75,0,0.75
4959,4959,4.008,0.25,2,6,0,0.05,0.36,0.119,1.5,2.5,0.75,1.75,0,0.75
4965,4965,4.008,0.25,2,6,0,-0.04,0.35,0.125,1.5,2.5,0.75,1.75,0,0.75
4966,4966,4.008,0.25,2,6,0,0.09,0.46,0.125,1.5,2.5,0.75,1.75,0,0.75
4967,4967,4.008,0.25,2,6,0,0.15,0.27,0.125,1.5,2.5,0.75,1.75,0,0.75
4968,4968,4.008,0.25,2,6,0,0.18,0.28,0.125,1.5,2.5,0.75,1.75,0,0.75
4969,4969,4.008,0.25,2,6,0,0.14,0.31,0.125,1.5,2.5,0.75,1.75,0,0.75
4970,4970,4.008,0.25,2,6,0,0.16,0.27,0.125,1.5,2.5,0.75,1.75,0,0.75
4971,4971,4.008,0.25,2,6,0,0.19,0.26,0.125,1.5,2.5,0.75,1.75,0,0.75
4972,4972,4.008,0.25,2,6,0,0.18,0.16,0.125,1.5,2.5,0.75,1.75,0,0.75
4973,4973,4.008,0.25,2,6,0,-0.01,0.33,0.125,1.5,2.5,0.75,1.75,0,0.75
4974,4974,4.008,0.25,2,6,0,0.31,0.24,0.125,1.5,2.5,0.75,1.75,0,0.75
4975,4975,4.008,0.25,2,6,0,0.14,0.28,0.125,1.5,2.5,0.75,1.75,0,0.75
4976,4981,4.008,0.25,2,6,0,0.14,0.28,0.125,1.5,2.5,0.75,1.75,0,0.75
4978,4978,4.008,0.25,2,6,0,0.22,0.41,0.125,1.5,2.5,0.75,1.75,0,0.75
4979,4979,4.008,0.25,2,6,0,-0.11,0.78,0.125,1.5,2.5,0.75,1.75,0,0.75
4981,4981,4.008,0.25,2,6,0,0.54,0.46,0.125,1.5,2.5,0.75,1.75,0,0.75
4982,4982,4.008,0.25,2,6,0,0.13,0.26,0.05,1.5,2.5,0.75,1.75,0,0.75
4983,4983,4.008,0.25,2,6,0,0.39,0.63,0.05,1.5,2.5,0.75,1.75,0,0.75
