COINTRIG_cut,COINTRIG_scaler,COIN_PS,COIN_scaler_accp,CPULT_phys,CPULT_scaler,CPULT_scaler_uncern,ELT2,ELT2_HMS,ELT2_SHMS,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_scaler_accp,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_scaler_accp,SHMS_track,SHMS_track_uncern,TLT,TLT_ELT,accp_edtm,avg_yield_HMS_CPULT_notrack,avg_yield_HMS_CPULT_track,avg_yield_HMS_notrack,avg_yield_HMS_scaler,avg_yield_HMS_track,avg_yield_SHMS_CPULT_notrack,avg_yield_SHMS_CPULT_track,avg_yield_SHMS_notrack,avg_yield_SHMS_scaler,avg_yield_SHMS_track,boilingCorr,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,current,hTLT,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,min_yield_HMS_CPULT_notrack,min_yield_HMS_CPULT_track,min_yield_HMS_notrack,min_yield_HMS_scaler,min_yield_HMS_track,min_yield_SHMS_CPULT_notrack,min_yield_SHMS_CPULT_track,min_yield_SHMS_notrack,min_yield_SHMS_scaler,min_yield_SHMS_track,pTLT,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,rate_COIN,rate_HMS,rate_SHMS,run number,sent_edtm,sent_edtm_HMS,sent_edtm_PS,sent_edtm_SHMS,time,tot_events,uncer_boilingCorr,uncern_COIN_evts_scaler,uncern_CPULT_phys,uncern_ELT2,uncern_HMS_evts_notrack,uncern_HMS_evts_scaler,uncern_HMS_evts_track,uncern_SHMS_evts_notrack,uncern_SHMS_evts_scaler,uncern_SHMS_evts_track,uncern_TLT,uncern_TLT_ELT,uncern_charge,uncern_yieldRel_HMS_CPULT_notrack,uncern_yieldRel_HMS_CPULT_track,uncern_yieldRel_HMS_notrack,uncern_yieldRel_HMS_scaler,uncern_yieldRel_HMS_track,uncern_yieldRel_SHMS_CPULT_notrack,uncern_yieldRel_SHMS_CPULT_track,uncern_yieldRel_SHMS_notrack,uncern_yieldRel_SHMS_scaler,uncern_yieldRel_SHMS_track,yieldRel_HMS_CPULT_notrack,yieldRel_HMS_CPULT_track,yieldRel_HMS_notrack,yieldRel_HMS_scaler,yieldRel_HMS_track,yieldRel_SHMS_CPULT_notrack,yieldRel_SHMS_CPULT_track,yieldRel_SHMS_notrack,yieldRel_SHMS_scaler,yieldRel_SHMS_track,yield_HMS_CPULT_notrack,yield_HMS_CPULT_track,yield_HMS_notrack,yield_HMS_scaler,yield_HMS_track,yield_SHMS_CPULT_notrack,yield_SHMS_CPULT_track,yield_SHMS_notrack,yield_SHMS_scaler,yield_SHMS_track
,2455144,,2448287.035477583,0.994300346059101,0.994300346059101,0.0019871803892,0.9678786136258938,0.996262738139135,0.9716158754867588,39124,41524127,78751509,65,0.954686071674335,0.001906502661613,41127861,0.996,0.0028,,513,,65,,,3,315371530,454530531,513,0.954686071674335,0.001906502661613,314975264,0.9716,0.0032,0.922419822841722,0.9623620404714291,6325,628.6354579847781,624.8596916535718,646.6793536789141,994.1773434537163,642.4204767941262,4237.838591978398,3981.0679147403785,4355.395886694172,7886.444113736615,4092.1207381847107,0.9805934065357528,,,,,42339.3580467711,1.00036083230367,69.28426237231155,0.527688471885047,399873.850555408,394303.973988634,3217,630.8963547242673,628.2783553212477,632.7821479868855,994.7736577345021,630.1563232008235,4238.200611976703,4028.207832783491,4250.868889578628,7900.617915617287,4040.248427303662,4.023570026194526,343646.541843228,308825.50741088,3108,4017.6055780037714,67950.21565209088,516074.9911498404,12192,396266,6096.4,6856.96452241715,772.448343079922,611.096324,1256885,3.5528711399098487e-05,0.000638206929276633,0.0019871803892,0.0006637482411926055,0.0015813882138040708,0.00015518500147257403,0.0015925182681734932,0.0017058624561781012,5.631041881576989e-05,0.0017994650589526727,0.011599187579797278,0.025009824692412128,65.63440812987896,0.0036040973144031694,0.006404097314403169,0.013227765037765446,0.00619648858730623,0.01352086416965757,0.0052787700283122305,0.008478770028312231,0.013243222641448322,0.00650572403275935,0.013624351211377717,0.997633067501477,0.991803340507855,1.0721698703490383,0.9991899163335387,1.0659045832023561,1.0072570730313055,0.9802201944506334,1.08251292041152,0.9879406838572685,1.0534560180826091,629.4030656390707,623.1285715763945,678.449953566285,993.9678078425454,671.686513033703,4268.957543339142,3948.530665138598,4601.620495944236,7805.3418664499295,4256.22402029184
,1571223,,1564802.1986804619,0.999569798677885,0.999569798677885,0.002312096027524,0.9742707808636175,0.9970299939983878,0.9772407868652296,30568,30827309,58250307,65,0.964729102733733,0.001812272568881,30456249,0.9963,0.0033,,513,,65,,,4,236230262,333567513,513,0.964729102733733,0.001812272568881,235859202,0.9762,0.0036,0.9802514805819781,0.9738516482855919,6294,628.6354579847781,624.8596916535718,646.6793536789141,994.1773434537163,642.4204767941262,4237.838591978398,3981.0679147403785,4355.395886694172,7886.444113736615,4092.1207381847107,0.9847634940562651,,,,,31050.5117022492,1.00045963408307,54.39109265619593,0.5588045060098097,300131.827796498,296416.259324694,3190,630.8963547242673,628.2783553212477,632.7821479868855,994.7736577345021,630.1563232008235,4238.200611976703,4028.207832783491,4250.868889578628,7900.617915617287,4040.248427303662,4.291359887888751,253969.980082358,231244.999302641,3104,2752.306841061033,54000.10912022186,413803.875177642,12193,371060,5708.615384615385,6420.80131953816,723.3138401559454,570.874939,947610,2.190037799136944e-05,0.0007977762187413766,0.002312096027524,0.0005281738843399466,0.001825340851295139,0.0001801076634742195,0.0018367455183419031,0.0019843067400658193,6.506272282058393e-05,0.002079523464231962,0.012356836108576338,0.022503750118360998,51.176218099615056,0.004159337256810508,0.007459337256810508,0.01344024099223326,0.004992816491142578,0.013839439220189065,0.0059664633624032515,0.00956646336240325,0.013462751648328474,0.005499618072391593,0.013935769872689886,1.0112394249891732,1.006606549558791,1.0280953894645073,1.0037917956248459,1.0233852903996987,1.0053212013501902,0.986564862167783,1.022078517211803,0.9985961974591315,1.0030095357617652,637.9872669791336,632.4291074123933,650.5604088807646,998.5456361376116,644.8927118160811,4260.75293079553,3974.088305333229,4344.721771522308,7889.527008112912,4052.4076994320485
,1066357,,1052927.070156821,0.996335287720531,0.996335287720531,0.001855675658362,0.9811153987366098,0.997828174836941,0.9832872238996688,48551,23943221,45051806,33,0.974767622697448,0.001633680829483,23549106,0.9967,0.0027,,257,,33,,,17,184249496,255629066,257,0.974767622697448,0.001633680829483,183855381,0.9805,0.0029,0.9395432550534669,0.9775198930872837,12618,628.6354579847781,624.8596916535718,646.6793536789141,994.1773434537163,642.4204767941262,4237.838591978398,3981.0679147403785,4355.395886694172,7886.444113736615,4092.1207381847107,0.9889264143492696,,,,,23964.9220835379,1.00063253475109,39.523520181179734,0.5311114776144019,447895.608729583,443408.455102069,6343,630.8963547242673,628.2783553212477,632.7821479868855,994.7736577345021,630.1563232008235,4238.200611976703,4028.207832783491,4250.868889578628,7900.617915617287,4040.248427303662,4.092541517069891,384976.383986432,354522.823977259,6276,1758.6613577514422,39487.73023743722,303868.65636965755,12194,394115,11942.878787878788,13429.9298431789,1533.5214007782101,606.345841,1437191,1.1567975977574021e-05,0.0009683864140958706,0.001855675658362,0.0003849618768130243,0.0014942098593835735,0.00020436603210799065,0.001501751294279403,0.0016116953597432046,7.367104762884627e-05,0.001679491847195469,0.008364436884018294,0.01933582588659463,44.48899488158777,0.0033614534937231474,0.006061453493723148,0.009338669283540688,0.0038992611631462433,0.009721149314116433,0.00533536042230634,0.00823536042230634,0.009358185872063296,0.004314096859788501,0.00979722628176389,0.9915453819354135,0.9889656865321226,1.0483471744473944,1.0004140160922197,1.0456196982912391,0.9880196277436673,0.9763324535546265,1.0446194434609437,0.9979764008641893,1.032262756352543,625.5623670067338,621.3457350035505,663.3753768828045,995.1855100369205,658.9038645415617,4187.425390948205,3932.8700368094705,4440.540293657066,7884.630232030872,4170.597977917505
,668640,,654983.259167551,0.99844859404,0.99844859404,0.002319548725936,0.9880649613460707,0.9986284114755015,0.9894365498705692,34720,15376446,28731436,33,0.984527227774669,0.001431689831122,14975675,0.9972,0.0034,,257,,33,,,17,118423505,161170521,257,0.984527227774669,0.001431689831122,118022734,0.9847,0.0036,0.9711687556145566,0.9865320714761712,13263,628.6354579847781,624.8596916535718,646.6793536789141,994.1773434537163,642.4204767941262,4237.838591978398,3981.0679147403785,4355.395886694172,7886.444113736615,4092.1207381847107,0.9930925851366915,,,,,15195.3946738853,1.00101443176079,24.64433879753029,0.5491340441299395,285085.373099623,282393.077764307,6669,630.8963547242673,628.2783553212477,632.7821479868855,994.7736577345021,630.1563232008235,4238.200611976703,4028.207832783491,4250.868889578628,7900.617915617287,4040.248427303662,4.229777104630824,247391.895810368,229243.168980028,6596,1084.4200527347907,24937.9731726993,192062.7296260151,12195,400771,12144.575757575758,13656.740832449,1559.420233463035,616.587639,922469,4.50103014331016e-06,0.0012229362631033984,0.002319548725936,0.00024158408851316507,0.0018728911274645966,0.0002550186934087243,0.0018817978873499348,0.0020105147594219395,9.189270685426623e-05,0.002088583286478417,0.008433138995238044,0.015527540516403628,36.83848826711013,0.004196940883543907,0.007596940883543906,0.009219756428478876,0.003240640603020958,0.00982669367592567,0.006758883794974821,0.01035888379497482,0.009248694882143934,0.003978123621196867,0.009924633848308733,0.9886967005287006,0.9862019255610169,1.0134396517659217,0.9979669289298467,1.0108824429948882,0.9946477618227627,0.9847952535071669,1.0195396432822956,0.9994811313715132,1.0094405678114875,623.7651442914678,619.6093238061233,641.2865196995211,992.7512121896115,637.0139634659248,4215.516752858491,3966.9599538655734,4333.929351320802,7896.518532835212,4078.390666556878
,163592,,161218.35620799434,0.999441811792052,0.999441811792052,0.003395633441181,0.991408834436962,0.999029160887266,0.992379673549696,15296,7119907,13394552,33,0.988963240406224,0.001460121912482,7050250,0.9973,0.0048,,257,,33,,,4,55885692,75411390,257,0.988963240406224,0.001460121912482,55816035,0.9871,0.0051,1.0258489534954593,0.9908554417163239,2435,628.6354579847781,624.8596916535718,646.6793536789141,994.1773434537163,642.4204767941262,4237.838591978398,3981.0679147403785,4355.395886694172,7886.444113736615,4092.1207381847107,0.9950376788097492,,,,,7138.44345791052,1.00141262286162,17.697575679466706,0.5841336836211722,137399.054965387,136337.107276647,1233,630.8963547242673,628.2783553212477,632.7821479868855,994.7736577345021,630.1563232008235,4238.200611976703,4028.207832783491,4250.868889578628,7900.617915617287,4040.248427303662,4.43478760210747,119415.309153366,111420.571040432,1202,405.57606397330215,17651.62023152698,138551.39000552753,12196,69657,2110.818181818182,2373.64379200566,271.03891050583655,403.357137,442946,2.3230073392335614e-06,0.0024724013328200965,0.003395633441181,0.00017331226562888215,0.0026977899171152096,0.00037476829207974086,0.0027082762573797737,0.0028938098884732765,0.00013376721447054578,0.00299583099737578,0.020793508013083734,0.013478880085431263,22.132232622812875,0.006095746365635443,0.010895746365635442,0.021250499037692758,0.0034793895783715697,0.021785860307800123,0.009392194708151494,0.014492194708151494,0.021276272572626955,0.004849115455406919,0.02187898019983377,1.0109415382416722,1.010035112850747,0.9819829238777833,0.9973462614912071,0.9811024632161255,1.0185866852045369,1.0130056224302642,0.9894090741387834,1.0008383796985847,0.9839878819786928,637.7993313160146,634.5831995185781,621.3812638578261,992.1337885714393,618.2479209035448,4316.974712585189,4080.597182927306,4205.848252323349,7907.241633284014,3975.555492650275
,94109,,87734.2905982906,0.995947531095399,0.995947531095399,0.001958943773746,0.9951947068352519,0.9994586032623775,0.9957361035728743,41007,5576974,10486605,9,0.993914012264583,0.001152323039448,5525889,0.9976,0.0029,,65,,9,,,35,43922761,58772719,65,0.993914012264583,0.001152323039448,43871676,0.9892,0.0029,0.966632298304867,0.9911617112317785,6162,628.6354579847781,624.8596916535718,646.6793536789141,994.1773434537163,642.4204767941262,4237.838591978398,3981.0679147403785,4355.395886694172,7886.444113736615,4092.1207381847107,0.9972397519550303,,,,,5570.99774951467,1.00254245163736,9.833028732034492,0.5191935010276989,383497.825511728,380849.891052195,2947,630.8963547242673,628.2783553212477,632.7821479868855,994.7736577345021,630.1563232008235,4238.200611976703,4028.207832783491,4250.868889578628,7900.617915617287,4040.248427303662,4.0920035235392,358117.583300762,334529.473926647,3216,166.10606260317556,9843.577047681756,77525.38958410267,12197,51085,5676.111111111111,6374.7094017094,785.9230769230769,566.559694,1280507,7.187486874472131e-07,0.0032597509508502385,0.001958943773746,9.65699100235182e-05,0.0016147992800500082,0.00042344858903247567,0.0016204031626475097,0.0016710412761372564,0.00015088816740598419,0.0017289514819238247,0.012314970617086906,0.00997219712593218,28.88548727644431,0.0035744618024834557,0.0064744618024834555,0.01348587403347246,0.005271750647289611,0.0137941581275077,0.008815679376591846,0.011715679376591846,0.013492723990299037,0.005610015519355201,0.013800855070552374,0.9862240779307716,0.9858617356935153,1.01310523188273,0.9978786557907137,1.0127330134138135,0.9901151276844973,0.9837391855380985,1.0171023385760551,1.001252413428655,1.010552609674434,622.2051757078256,619.3955898756724,641.0749047675057,992.6634003961165,638.180112116939,4196.306540079828,3962.7058926006202,4323.568688570622,7910.512755589477,4082.883591944743
,42930,,36233.89696969697,0.998779601716187,0.998779601716187,0.001967667490115,0.9975899425129948,0.9997279046533135,0.9978620378596813,38802,2959206,5549027,5,0.996959460932907,0.000954685343106,2929345,0.9978,0.0029,,33,,5,,,97,23251667,31025566,33,0.996959460932907,0.000954685343106,23221806,0.9904,0.0028,0.9958030767782619,0.9963724854592028,6668,628.6354579847781,624.8596916535718,646.6793536789141,994.1773434537163,642.4204767941262,4237.838591978398,3981.0679147403785,4355.395886694172,7886.444113736615,4092.1207381847107,0.9986192795933363,,,,,2934.65526695237,1.00509565117184,4.906144309513199,0.5117042295971334,371212.088260242,368858.410102218,3056,630.8963547242673,628.2783553212477,632.7821479868855,994.7736577345021,630.1563232008235,4238.200611976703,4028.207832783491,4250.868889578628,7900.617915617287,4040.248427303662,3.993905093600348,377834.548502389,355666.251633111,3614,71.77019310555363,4947.188121572629,38872.03891488537,12198,29861,5972.2,6696.10303030303,904.8787878787879,598.159182,1299220,1.7984251750628372e-07,0.004826358252922993,0.001967667490115,4.831759792874586e-05,0.001641303686144473,0.0005813161660151934,0.0016465319221324896,0.0016268561999601952,0.0002073829045137122,0.0016767899836460144,0.01219573442621026,0.007206806361016424,29.676193270558866,0.003609151018776979,0.0065091510187769794,0.015933261215297735,0.010138010655214844,0.016195024327086114,0.013707030389088354,0.016507030389088354,0.015931779444246286,0.010312907183773114,0.01617595735219738,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,630.8963547242673,628.2783553212477,632.7821479868855,994.7736577345021,630.1563232008235,4238.200611976703,4028.207832783491,4250.868889578628,7900.617915617287,4040.248427303662
