Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,1,0,24,0.956945134407444,0.04535621167328006
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,2,24,48,0.9151403851486678,0.04550197451950613
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,3,48,72,0.966889210389566,0.05379122129646496
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,4,72,96,0.9246946583244392,0.055528700224841396
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,5,96,120,0.9896393589249814,0.060442279858147194
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,6,120,144,0.8880419600079016,0.07496983666158688
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,7,144,168,0.9489924360357904,0.08624203111375287
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,8,168,192,1.0700623724979121,0.09322828564374139
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,9,192,216,1.1618235477051488,0.11383360338733409
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,10,216,240,1.0286139999584718,0.07356271183247658
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,11,240,264,1.01990800985589,0.06466211377776845
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,12,264,288,0.8691978928323139,0.05099964218962329
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,13,288,312,0.8179245994627993,0.05111365194167535
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,14,312,336,0.9872214596042257,0.05297179345987383
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,15,336,360,0.9661202227664579,0.04610542827911747
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,1,0,24,1.0807977155519837,0.04995983041058669
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,2,24,48,1.0326013095076538,0.04541253786858557
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,3,48,72,1.1111043186160436,0.050374787552524336
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,4,72,96,0.9893489945924872,0.0541141315577189
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,5,96,120,0.9107585771086911,0.06454763583963134
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,6,120,144,1.0827864876929656,0.07770888431458926
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,7,144,168,0.8712049334409155,0.09199302687059603
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,8,168,192,1.0758759169406478,0.11557444672821197
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,9,192,216,1.1150810832578901,0.09338400589442776
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,10,216,240,1.0845148037338095,0.07856350955221963
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,11,240,264,1.035000053340104,0.06526046152676203
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,12,264,288,0.8597179628721264,0.051335883572940916
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,13,288,312,0.9339959325931206,0.04489971188137308
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,14,312,336,1.0299747966508048,0.051154442686279666
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,15,336,360,0.963604922377443,0.0499171438460094
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,1,0,24,1.0607840733245812,0.052732071225233004
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,2,24,48,1.054164653342589,0.05197824015499408
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,3,48,72,0.9147523215307615,0.045291150959406785
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,4,72,96,1.0661228066385051,0.05568837917672882
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,5,96,120,1.0331275286055794,0.06569622171061554
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,6,120,144,1.0533240046436534,0.08017539161858908
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,7,144,168,0.9354277566689048,0.09964410241529513
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,8,168,192,0.9435772564923116,0.11096444822141839
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,9,192,216,1.1301822744086392,0.10086600481571452
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,10,216,240,0.9544550504692064,0.07554141129296307
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,11,240,264,0.9707936780219657,0.0643827073940699
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,12,264,288,0.9381168244210643,0.07014853377105026
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,13,288,312,0.9465388450652337,0.045545133839621825
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,14,312,336,0.8516559708956719,0.04614117845676236
Q3p85_W2p62_t0p21_loweps,3,0.272,0.308,15,336,360,1.0452421083054637,0.05276109060498486
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,1,0,24,1.1119695488862593,0.05145366607797369
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,2,24,48,1.2559860973869068,0.0837382574892752
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,3,48,72,1.0242040596218218,0.05216933024164816
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,4,72,96,1.0713249039890251,0.06523389739929517
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,5,96,120,0.9664605576226082,0.06964141070101881
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,6,120,144,1.1378784027223725,0.11257476250399505
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,7,144,168,0.8647052331490287,0.10592648447247244
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,8,168,192,1.3752345652295213,0.16207755920368605
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,9,192,216,1.1004468951598219,0.11857135505185747
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,10,216,240,1.1069987939808954,0.08793594904124337
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,11,240,264,0.9637230536984238,0.08527063978663783
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,12,264,288,0.9705679192958506,0.05626462449065207
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,13,288,312,0.984661317048385,0.05478424092156166
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,14,312,336,0.9347457722665842,0.046237900767984834
Q3p85_W2p62_t0p21_loweps,4,0.308,0.354,15,336,360,1.1104068736897428,0.051620076829391695
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,1,0,24,1.1587914187273474,0.05159340688650383
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,2,24,48,0.9503950096949175,0.04417076457940895
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,3,48,72,1.060165772883865,0.05381338333540831
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,4,72,96,0.9188093817936225,0.07220575446986327
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,5,96,120,1.2279004946796832,0.07675666715495887
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,6,120,144,1.250042197911098,0.11625901536662678
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,7,144,168,1.5791848038449403,0.18629269918747848
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,8,168,192,1.564155340114929,0.22603501796422806
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,9,192,216,1.636482829836204,0.20582165400881247
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,10,216,240,1.3486743983249037,0.13692277786496848
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,11,240,264,1.0421923732316796,0.06988937042283729
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,12,264,288,1.0806781941919326,0.07229086587550003
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,13,288,312,0.9434631265986486,0.05133462912963453
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,14,312,336,0.9362221943132477,0.04350981831334029
Q3p85_W2p62_t0p21_loweps,5,0.354,0.5,15,336,360,1.0183732533873533,0.050190446949975945
