Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,DummySub_Counts,physics_yield,physics_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,1,0,24,297.99999999999994,0.08942835508513144,0.005819934957312249,6.507930232834937
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,2,24,48,309.1666666666666,0.09373955322454552,0.005768521185700994,6.153774993873682
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,3,48,72,343.66666666666663,0.1034064538747906,0.006243680077401968,6.037998445398882
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,4,72,96,332.99999999999994,0.1001414964932644,0.006146415313044851,6.137730639424052
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,5,96,120,315.8333333333332,0.096822213448733,0.005750518470935985,5.9392553279944
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,6,120,144,209.5,0.06070188602912821,0.005248694164036792,8.646673946042089
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,7,144,168,162.33333333333337,0.047902178388844696,0.0044087207164254325,9.203591286888367
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,8,168,192,179.00000000000006,0.05330140625768904,0.004620964237620534,8.669497790133695
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,9,192,216,205.3333333333334,0.06285042959437993,0.006108740382470725,9.719488668406758
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,10,216,240,235.8333333333334,0.07129297122655266,0.005082723120838114,7.129346741190501
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,11,240,264,322.33333333333314,0.09598334323110934,0.006194686762589242,6.453918517584488
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,12,264,288,319.00000000000006,0.09779149767137357,0.005750293089430087,5.88015648226785
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,13,288,312,304.99999999999994,0.0906777874861292,0.005998672334285879,6.615371306014148
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,14,312,336,336.1666666666666,0.10021758483527618,0.00628216201781189,6.268522663101131
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,15,336,360,325.1666666666666,0.09863698929683484,0.005926350272349185,6.00824327120795
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,1,0,24,198.33333333333348,0.0598146054321245,0.0046311291531582555,7.742472126500102
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,2,24,48,233.8333333333334,0.07068079171751651,0.005007810234292934,7.0851077253169334
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,3,48,72,355.16666666666663,0.10692648605174859,0.006348553098784342,5.937306399194554
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,4,72,96,341.00000000000006,0.10348341041003785,0.006107963653660971,5.9023602232078165
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,5,96,120,266.33333333333326,0.0779491210974678,0.005816169874081768,7.461495129379603
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,6,120,144,225.83333333333343,0.06823207368137181,0.0049568563822696785,7.26470135645747
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,7,144,168,122.66666666666661,0.03486742224566523,0.004134435782952566,11.857589453624048
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,8,168,192,139.1666666666667,0.0425974908371,0.00465254765174757,10.922116679453486
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,9,192,216,164.16666666666669,0.04935653881942332,0.004265285134743379,8.64178331132259
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,10,216,240,208.3333333333334,0.06287550297730536,0.004798551717495674,7.631830347707422
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,11,240,264,302.83333333333326,0.09001459301800667,0.00601710060632812,6.684583470953926
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,12,264,288,285.16666666666663,0.0863933991161115,0.005569687161322451,6.4468897141515065
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,13,288,312,300.83333333333326,0.09118880527022813,0.0056932048684697565,6.243315560060866
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,14,312,336,304.8333333333332,0.09330636016892929,0.008200899649946091,8.78921826454116
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,15,336,360,166.50000000000006,0.048284356485374574,0.004615373183925121,9.558733966607024
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,1,0,24,80.3333333333333,0.022802818518361818,0.003375171035653675,14.801551978918049
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,2,24,48,136.33333333333337,0.040837040652003304,0.003906540261964624,9.56616884963476
Q3p85_W2p62_t0p21_loweps_center,3,0.27,0.308,3,48,72,255.50000000000014,0.07656840649821767,0.005424816762172218,7.084928380086499
