Physics_Setting,Beam_Energy,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,1,0.1600,0.2360,0.1980,15,180.0000,3.621433,0.002422,2.674073,0.000603,0.285598,0.000162,0.019435,0.000147
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,2,0.2360,0.2700,0.2530,15,180.0000,3.784615,0.002976,2.632610,0.000771,0.291471,0.000209,0.025651,0.000180
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,3,0.2700,0.3080,0.2890,15,180.0000,3.872882,0.003923,2.610513,0.001007,0.294137,0.000232,0.029519,0.000222
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,4,0.3080,0.3540,0.3310,15,180.0000,3.936151,0.005137,2.594463,0.001321,0.296087,0.000275,0.033792,0.000280
Q3p85_W2p62_t0p21_loweps_center,6.39566,5,5,0.3540,0.5000,0.4270,15,180.0000,4.033210,0.006031,2.570089,0.001536,0.298878,0.000310,0.039024,0.000365
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,1,0.1600,0.2360,0.1980,15,180.0000,3.611882,0.005234,2.673222,0.001371,0.287790,0.000366,0.024707,0.000288
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,2,0.2360,0.2700,0.2530,15,180.0000,3.749765,0.004525,2.639592,0.001191,0.291658,0.000304,0.029468,0.000270
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,3,0.2700,0.3080,0.2890,15,180.0000,3.808886,0.004690,2.625337,0.001205,0.293033,0.000264,0.036411,0.000259
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,4,0.3080,0.3540,0.3310,15,180.0000,3.850702,0.004517,2.615116,0.001153,0.294064,0.000237,0.043845,0.000242
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,5,0.3540,0.5000,0.4270,15,180.0000,3.880905,0.004601,2.610547,0.001183,0.292602,0.000231,0.054113,0.000250
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,1,0.1600,0.2360,0.1980,15,180.0000,3.567700,0.003539,2.684985,0.000824,0.777642,0.000075,0.025946,0.000205
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,2,0.2360,0.2700,0.2530,15,180.0000,3.706512,0.005415,2.653058,0.001281,0.778208,0.000120,0.035438,0.000263
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,3,0.2700,0.3080,0.2890,15,180.0000,3.768282,0.005467,2.637566,0.001295,0.778866,0.000113,0.041642,0.000279
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,4,0.3080,0.3540,0.3310,15,180.0000,3.835765,0.005983,2.620440,0.001443,0.779446,0.000119,0.048653,0.000274
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,5,0.3540,0.5000,0.4270,15,180.0000,3.923630,0.004804,2.599045,0.001181,0.779928,0.000088,0.061453,0.000237
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,1,0.1600,0.2360,0.1980,15,180.0000,3.648438,0.003508,2.664573,0.000839,0.778469,0.000075,0.022013,0.000185
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,2,0.2360,0.2700,0.2530,15,180.0000,3.819988,0.005549,2.624706,0.001329,0.779220,0.000108,0.028975,0.000297
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,3,0.2700,0.3080,0.2890,15,180.0000,3.867293,0.006698,2.612802,0.001630,0.779566,0.000112,0.035227,0.000353
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,4,0.3080,0.3540,0.3310,15,180.0000,3.911966,0.007527,2.601953,0.001847,0.779907,0.000122,0.042766,0.000392
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,5,0.3540,0.5000,0.4270,15,180.0000,3.934977,0.006439,2.596026,0.001565,0.780001,0.000095,0.058047,0.000364
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,1,0.1600,0.2360,0.1980,15,180.0000,3.656667,0.007351,2.659687,0.001817,0.779170,0.000162,0.027956,0.000374
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,2,0.2360,0.2700,0.2530,15,180.0000,3.778173,0.007201,2.633029,0.001752,0.779458,0.000135,0.033072,0.000362
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,3,0.2700,0.3080,0.2890,15,180.0000,3.843773,0.006809,2.616311,0.001646,0.779920,0.000109,0.039135,0.000326
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,4,0.3080,0.3540,0.3310,15,180.0000,3.863480,0.006836,2.612582,0.001659,0.779746,0.000107,0.047306,0.000325
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,5,0.3540,0.5000,0.4270,15,180.0000,3.866685,0.005182,2.612987,0.001260,0.779496,0.000078,0.061517,0.000279
