t_min,t_max,Yield (loweps),Error (loweps),Yield (higheps),Error (higheps)
0.16,0.236,5398.5,74.917,6556.333,81.647
0.236,0.272,6010.0,78.964,4599.667,68.419
0.272,0.31,5771.5,77.651,4898.5,70.717
0.31,0.358,5785.0,78.085,5040.833,71.977
0.358,0.5,5636.833,78.553,7991.0,90.733
