Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,DummySub_Counts,physics_yield,physics_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,1,0,24,189.1666666666667,0.0605892026197084,0.005723196599736015,9.445901831152964
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,2,24,48,228.83333333333343,0.07292831774917044,0.008210087681644399,11.257749986613105
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,3,48,72,293.83333333333314,0.09092105843250291,0.008223845029519242,9.045038818619098
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,4,72,96,348.6666666666665,0.11021124331872609,0.009064966920996079,8.225083619445787
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,5,96,120,310.5,0.09819892176826403,0.008304850162361193,8.457170417776581
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,6,120,144,351.6666666666665,0.10935232300567273,0.009302783385721321,8.50716576477185
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,7,144,168,343.6666666666665,0.10589524878381269,0.009265200739648304,8.749401739981177
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,8,168,192,303.1666666666667,0.09571056542686623,0.00816269003005817,8.52851510557149
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,9,192,216,342.49999999999983,0.10733844549543914,0.009030060085927192,8.412698771858853
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,10,216,240,349.83333333333326,0.11058305557236353,0.009073618898262492,8.205252469556589
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,11,240,264,366.8333333333332,0.11509338678559129,0.009512114803698662,8.264692758949636
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,12,264,288,357.4999999999998,0.11302639323912372,0.009251320409020549,8.185097430693059
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,13,288,312,265.3333333333333,0.08214071773071348,0.007665055858668404,9.331615391768535
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,14,312,336,193.6666666666667,0.05899832065591775,0.006256957710999838,10.605314933438265
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,15,336,360,168.8333333333334,0.05123528200416919,0.005782557752197533,11.286280715166136
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,1,0,24,151.33333333333343,0.04822936090039822,0.005914861071316414,12.26402540048499
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,2,24,48,216.83333333333337,0.06728895417506446,0.0065973642498995365,9.804527846777486
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,3,48,72,276.66666666666646,0.08817262014830514,0.009618797804707823,10.909052933358607
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,4,72,96,368.6666666666665,0.11386265421890053,0.009753177373314282,8.565738643825952
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,5,96,120,303.99999999999994,0.09688365009066781,0.010393790746952552,10.72811639242081
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,6,120,144,367.6666666666665,0.11626647144939281,0.009416873177650744,8.099388465357888
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,7,144,168,232.50000000000006,0.07137435709842088,0.0070040387070295276,9.813102340622677
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,8,168,192,188.33333333333346,0.06002112094432816,0.0069930064495724266,11.650909445791093
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,9,192,216,249.16666666666674,0.07850096968707665,0.007061102120248023,8.994923436481407
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,10,216,240,308.99999999999983,0.09666212221242146,0.008382563008478618,8.672024591036163
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,11,240,264,421.3333333333331,0.13336983511671469,0.010492507029904617,7.867226513943283
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,12,264,288,335.33333333333326,0.10323944697211676,0.009128238969774912,8.841813122304206
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,13,288,312,271.6666666666665,0.08567163457865558,0.007552817233397421,8.816006920543975
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,14,312,336,175.16666666666677,0.05310244063395278,0.005901284675852372,11.113019675557423
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,15,336,360,156.66666666666669,0.04902156957725168,0.0052091121175779475,10.626163467428471
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,1,0,24,140.33333333333337,0.043816198026327656,0.00488569339870557,11.150427510323748
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,2,24,48,186.8333333333334,0.059543076618222925,0.006986954149689876,11.734284733872059
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,3,48,72,294.1666666666665,0.0910272905049708,0.008235046712877706,9.046788789597123
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,4,72,96,316.66666666666646,0.10001296436181362,0.008466667202719253,8.465569695634327
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,5,96,120,341.9999999999997,0.10808660186936934,0.008952352877409534,8.28257408649882
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,6,120,144,188.33333333333348,0.0582061119790643,0.006020043897618549,10.342631886809157
