Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,DummySub_Counts,physics_yield,physics_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,1,0,24,317.1666666666666,0.09529507538006142,0.005993823181350271,6.289751235775147
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,2,24,48,327.8333333333332,0.09945322864221645,0.005944689375850449,5.977371933531191
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,3,48,72,371.33333333333337,0.11187493708312425,0.006486600308273982,5.798081748599662
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,4,72,96,354.83333333333326,0.1068244561335759,0.006339911294381451,5.934887500343434
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,5,96,120,325.99999999999983,0.09904093007237136,0.005975452403658071,6.03331612424447
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,6,120,144,221.5,0.06437496308334521,0.005366175427995181,8.335811270365594
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,7,144,168,169.33333333333337,0.05019367265057609,0.00449275703678517,8.95084340223828
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,8,168,192,185.8333333333334,0.05539301958022927,0.004697916392464831,8.48106210505556
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,9,192,216,211.16666666666674,0.06463595316240209,0.006226713161482008,9.633513326301511
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,10,216,240,245.6666666666667,0.07430285381264713,0.005185022635644217,6.978228115865008
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,11,240,264,340.66666666666646,0.10159498873060754,0.006351487780517175,6.251772710324305
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,12,264,288,329.6666666666667,0.1010564550528998,0.005853456028459904,5.792263369416439
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,13,288,312,315.33333333333326,0.09384071494948275,0.006088243131071022,6.487848195048924
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,14,312,336,353.6666666666666,0.10468095965871387,0.006551703541437627,6.258734695208967
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,15,336,360,343.9999999999999,0.10440167967359212,0.0060991090473668155,5.8419644841303775
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,1,0,24,218.33333333333348,0.06593640052248617,0.0048493755286489375,7.354625806416538
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,2,24,48,257.50000000000006,0.07792491590777782,0.005253972411979158,6.742352366728381
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,3,48,72,392.33333333333326,0.11830282192800405,0.006672986047531303,5.640597526568136
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,4,72,96,380.1666666666667,0.11547192579532947,0.006451285406663719,5.586886476716799
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,5,96,120,296.6666666666665,0.08723384365118304,0.006094798865033976,6.986736580592388
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,6,120,144,241.83333333333343,0.07312950975366117,0.0051229603774923605,7.005325749822743
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,7,144,168,146.50000000000006,0.04216256139501289,0.0044156178250480335,10.472840546092451
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,8,168,192,153.50000000000009,0.04698477731852588,0.0049787775692416315,10.59657585581133
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,9,192,216,179.8333333333334,0.05415194497353997,0.004452339594402375,8.221938466989325
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,10,216,240,238.33333333333343,0.07205819561284788,0.005113777014947537,7.096731983718668
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,11,240,264,344.66666666666646,0.10281934774867989,0.006385972803435097,6.210866868212639
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,12,264,288,322.49999999999983,0.09782074995145328,0.0059172257928579945,6.049049711635425
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,13,288,312,335.4999999999998,0.10179991676018837,0.006017725284860456,5.9113263314708835
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,14,312,336,331.6666666666666,0.10151976858183122,0.00876444058521261,8.633235386217343
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,15,336,360,185.0,0.05394701694395915,0.004821186407977737,8.936891567120473
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,1,0,24,77.8333333333333,0.02203759413206661,0.0033306823277380543,15.113638574964147
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,2,24,48,142.50000000000003,0.042724594138198145,0.003982585317336306,9.321528729925733
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,3,48,72,247.33333333333346,0.07406867350298663,0.005336285613961232,7.204510843232612
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,4,72,96,381.6666666666666,0.11593106042710657,0.006451540876118324,5.5649804740420095
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,5,96,120,331.4999999999998,0.09878916598085842,0.006273420998113444,6.350312745153648
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,6,120,144,223.66666666666677,0.06756887921324928,0.004968978892356268,7.353946003268799
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,7,144,168,132.8333333333333,0.038872530630561196,0.004091502323740717,10.525433403412174
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,8,168,192,114.83333333333327,0.035149306810493296,0.004106019497691636,11.681651418701223
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,9,192,216,159.83333333333337,0.048030149883178275,0.00423077547713933,8.808582707798472
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,10,216,240,199.6666666666667,0.06022272510481529,0.004700511778509436,7.8052126839633695
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,11,240,264,307.33333333333326,0.0913919969133381,0.006079887744729241,6.652538460774041
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,12,264,288,305.8333333333332,0.09361244992344733,0.008255075643937489,8.818352313915694
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,13,288,312,280.1666666666666,0.08396975446289225,0.005661254356843356,6.742016090263986
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.308,14,312,336,121.16666666666661,0.0326218958526305,0.004491092859905255,13.76711175890506
