Physics_Setting,Beam_Energy,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,4,0.3100,0.3580,0.3340,15,180.0000,3.860383,0.004362,2.612516,0.001117,0.294465,0.000226,0.044140,0.000231
Q3p85_W2p62_t0p21_loweps_left,6.39566,5,5,0.3580,0.5000,0.4290,15,180.0000,3.899619,0.004578,2.605857,0.001182,0.293139,0.000229,0.053792,0.000250
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,1,0.1600,0.2360,0.1980,15,180.0000,3.567575,0.003538,2.685010,0.000824,0.777644,0.000075,0.025956,0.000205
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,2,0.2360,0.2720,0.2540,15,180.0000,3.706087,0.005232,2.652821,0.001240,0.778308,0.000116,0.035749,0.000257
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,3,0.2720,0.3100,0.2910,15,180.0000,3.772300,0.005522,2.636928,0.001305,0.778797,0.000114,0.041949,0.000282
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,4,0.3100,0.3580,0.3340,15,180.0000,3.841234,0.005938,2.618952,0.001438,0.779534,0.000119,0.049011,0.000276
Q3p85_W2p62_t0p21_higheps_right,10.557302,5,5,0.3580,0.5000,0.4290,15,180.0000,3.926159,0.004892,2.598476,0.001203,0.779923,0.000089,0.061824,0.000239
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,1,0.1600,0.2360,0.1980,15,180.0000,3.648488,0.003507,2.664555,0.000839,0.778470,0.000075,0.022009,0.000185
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,2,0.2360,0.2720,0.2540,15,180.0000,3.821798,0.005408,2.624219,0.001297,0.779234,0.000105,0.029147,0.000289
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,3,0.2720,0.3100,0.2910,15,180.0000,3.871799,0.006845,2.611602,0.001668,0.779632,0.000113,0.035414,0.000358
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,4,0.3100,0.3580,0.3340,15,180.0000,3.909473,0.007437,2.602666,0.001823,0.779847,0.000120,0.043559,0.000387
Q3p85_W2p62_t0p21_higheps_center,10.557302,5,5,0.3580,0.5000,0.4290,15,180.0000,3.936382,0.006601,2.595719,0.001604,0.780008,0.000098,0.058491,0.000372
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,1,0.1600,0.2360,0.1980,15,180.0000,3.656989,0.007349,2.659583,0.001817,0.779181,0.000162,0.027938,0.000374
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,2,0.2360,0.2720,0.2540,15,180.0000,3.780846,0.007047,2.632337,0.001711,0.779499,0.000131,0.033327,0.000351
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,3,0.2720,0.3100,0.2910,15,180.0000,3.846880,0.006793,2.615644,0.001646,0.779903,0.000108,0.039366,0.000328
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,4,0.3100,0.3580,0.3340,15,180.0000,3.863625,0.006740,2.612681,0.001633,0.779719,0.000105,0.048008,0.000317
Q3p85_W2p62_t0p21_higheps_left,10.557302,5,5,0.3580,0.5000,0.4290,15,180.0000,3.866601,0.005304,2.612978,0.001290,0.779496,0.000080,0.061888,0.000286
