Physics_Setting,Beam_Energy_loweps,Beam_Energy_higheps,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,theta_cm,data_avg_Q2,data_avg_Q2_err,data_avg_W,data_avg_W_err,simc_avg_Q2,simc_avg_Q2_err,simc_avg_W,simc_avg_W_err
Q3p85_W2p62_t0p21,,,5,1,0.16,0.208,0.184,15,180.0,,,,,,,,,
Q3p85_W2p62_t0p21,6.39566,10.557302,5,1,0.16,0.236,0.198,15,180.0,5.6947700633020295,3.616425739559818,0.0015843617662468941,2.67399292578167,0.00038809271736982943,3.6572751013362925,0.0003698064312235017,2.6669500395518098,9.312328369137956e-05
Q3p85_W2p62_t0p21,,,5,2,0.208,0.226,0.217,15,180.0,,,,,,,,,
Q3p85_W2p62_t0p21,6.39566,10.557302,5,2,0.236,0.272,0.254,15,180.0,9.043179851717902,3.7747944945524865,0.0019197619972436543,2.6350014348064903,0.0004875281147915967,3.8202573218089224,0.00040861403582176365,2.625330825941534,0.00010650964176967303
Q3p85_W2p62_t0p21,,,5,3,0.226,0.264,0.245,15,180.0,,,,,,,,,
Q3p85_W2p62_t0p21,6.39566,10.557302,5,3,0.272,0.31,0.291,15,180.0,10.981510631818479,3.8453874732483704,0.002287876684473514,2.617720908699628,0.0005721838601990845,3.9008296868164565,0.00046819693033422696,2.6047419434521975,0.00012055621648161432
Q3p85_W2p62_t0p21,,,5,4,0.264,0.302,0.283,15,180.0,,,,,,,,,
Q3p85_W2p62_t0p21,6.39566,10.557302,5,4,0.31,0.358,0.334,15,180.0,13.19958586561366,3.886128426719187,0.0024534024647005818,2.607165363620765,0.0006141139686243882,3.9392239790025454,0.0004916778969325389,2.595074622239952,0.00012556717633992282
Q3p85_W2p62_t0p21,,,5,5,0.302,0.35,0.326,15,180.0,,,,,,,,,
Q3p85_W2p62_t0p21,,,5,5,0.302,0.352,0.327,15,180.0,,,,,,3.979538745029024,0.0004579880053565034,2.586048325647839,0.00011684703754671464
Q3p85_W2p62_t0p21,6.39566,10.557302,5,5,0.358,0.5,0.429,15,180.0,17.426091730530526,3.9319151414832643,0.0023368200242999703,2.596995780476262,0.0005825876767179935,,,,
Q3p85_W2p62_t0p21,,,5,6,0.35,0.408,0.379,15,180.0,,,,,,,,,
Q3p85_W2p62_t0p21,,,5,6,0.352,0.5,0.426,15,180.0,,,,,,,,,
Q3p85_W2p62_t0p21,,,5,7,0.408,0.5,0.454,15,180.0,,,,,,,,,
