Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,1,0,24,7.964847897577883,0.7634293300623441
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,2,24,48,8.394703853676331,0.9528653848843327
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,3,48,72,7.3768243037408805,0.6706050676429839
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,4,72,96,6.5421060995037825,0.554258634949048
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,5,96,120,3.7160615349104926,0.3598295275374055
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,6,120,144,1.5578551952278337,0.14088007279928508
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,7,144,168,1.4902498671229283,0.1331928704695598
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,8,168,192,1.215364310672709,0.10217310869025464
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,9,192,216,1.48060415775077,0.11613403538123483
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,10,216,240,1.533745193538214,0.14824558638520424
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,11,240,264,3.702031418390729,0.3641926766616492
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,12,264,288,6.263682405419518,0.5446923348822821
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,13,288,312,6.539842145604399,0.6123445232045801
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,14,312,336,6.6153291126221125,0.7038986156361813
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,15,336,360,6.970051911223796,0.7891895411342917
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,1,0,24,6.993025385352878,0.8569682808747655
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,2,24,48,8.13034247617789,0.7988799406075219
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,3,48,72,6.043950903635817,0.7032276442034138
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,4,72,96,5.0267330020132315,0.49046939385494903
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,5,96,120,1.7231027412388402,0.16695388592802807
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,6,120,144,1.1696167453623916,0.09216444502267114
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,7,144,168,1.158193569109165,0.09282159214887323
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,8,168,192,1.2290516548276575,0.09558174722488154
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,9,192,216,1.155944362580976,0.0888436239318168
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,10,216,240,1.5331221901215317,0.11142506168628544
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,11,240,264,2.1734823367567775,0.19858261750715267
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,12,264,288,2.20134227169734,0.28949969069008996
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,13,288,312,7.519739417175822,0.6675449108007212
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,14,312,336,6.533749060826466,0.7274899825266936
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,15,336,360,7.224894901612928,0.7721460105524086
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,1,0,24,7.0362236320980704,0.790945834413645
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,2,24,48,6.518723473621721,0.7800107655659713
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,3,48,72,6.562694417558987,0.630735549687073
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,4,72,96,2.867012654994335,0.2865663444959073
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,5,96,120,1.635115775673917,0.14635940838890077
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,6,120,144,0.9755406965552085,0.07650165671947878
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,7,144,168,1.0762939166992043,0.08285483353680304
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,8,168,192,1.1505387256017312,0.08915727350486348
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,9,192,216,1.1977213566939564,0.09036588800819081
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,10,216,240,1.2084069955718453,0.09150342223993482
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,11,240,264,1.5055798288190192,0.12330279202270357
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,12,264,288,2.578386867258313,0.28451406438668697
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,13,288,312,5.591196391207699,0.5488149567476621
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,14,312,336,7.463948439795056,0.7508835214937735
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,15,336,360,5.465600860962504,0.674845045908837
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,1,0,24,7.692683804353644,0.9640101314320948
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,2,24,48,7.335996540131237,0.916507387643337
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,3,48,72,5.4761469806501255,0.5539145573917258
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,4,72,96,2.821165529656983,0.28259620947062647
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,5,96,120,1.2451715562114505,0.11319301809656383
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,6,120,144,1.0584771977916476,0.0825729972700303
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,7,144,168,1.1422105629937074,0.08619314848761406
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,8,168,192,1.1569944376115553,0.08690194007607271
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,9,192,216,1.317976657554255,0.09478019506982976
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,10,216,240,1.267664705809606,0.0936253620329016
Q3p85_W2p62_t0p21_loweps,4,0.31,0.358,11,240,264,1.3864179164190493,0.11461302072672468
