Physics_Setting,simc_normfactor,simc_nevents,normfac_simc
Q3p85_W2p62_t0p21_loweps_center,20264500.0,900000,22.516111111111112
Q3p85_W2p62_t0p21_loweps_left,20699900.0,900000,22.99988888888889
Q3p85_W2p62_t0p21_higheps_right,71593800.0,900000,79.54866666666666
Q3p85_W2p62_t0p21_higheps_center,75390200.0,900000,83.76688888888889
Q3p85_W2p62_t0p21_higheps_left,77832200.0,900000,86.48022222222222
