Physics_Setting,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_loweps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.667984,0.000432,2.665261,0.000108,0.285017,0.000029,0.019513,0.000026
Q3p85_W2p62_t0p21_loweps_center,5,2,0.2360,0.2700,0.2530,15,180.0000,3.836491,0.000525,2.621917,0.000138,0.291348,0.000037,0.025371,0.000032
Q3p85_W2p62_t0p21_loweps_center,5,3,0.2700,0.3080,0.2890,15,180.0000,3.933741,0.000648,2.596747,0.000169,0.294792,0.000038,0.029524,0.000036
Q3p85_W2p62_t0p21_loweps_center,5,4,0.3080,0.3540,0.3310,15,180.0000,3.999780,0.000796,2.579936,0.000205,0.296840,0.000042,0.034373,0.000045
Q3p85_W2p62_t0p21_loweps_center,5,5,0.3540,0.5000,0.4270,15,180.0000,4.086186,0.000859,2.558036,0.000219,0.299452,0.000044,0.039589,0.000057
Q3p85_W2p62_t0p21_loweps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.655784,0.000922,2.664926,0.000245,0.287222,0.000067,0.025672,0.000050
Q3p85_W2p62_t0p21_loweps_left,5,2,0.2360,0.2700,0.2530,15,180.0000,3.795431,0.000787,2.630408,0.000209,0.291379,0.000052,0.029625,0.000045
Q3p85_W2p62_t0p21_loweps_left,5,3,0.2700,0.3080,0.2890,15,180.0000,3.868321,0.000753,2.612415,0.000196,0.293317,0.000042,0.035788,0.000041
Q3p85_W2p62_t0p21_loweps_left,5,4,0.3080,0.3540,0.3310,15,180.0000,3.899706,0.000712,2.604887,0.000184,0.293944,0.000037,0.043938,0.000037
Q3p85_W2p62_t0p21_loweps_left,5,5,0.3540,0.5000,0.4270,15,180.0000,3.938203,0.000601,2.597730,0.000156,0.293157,0.000031,0.053766,0.000032
Q3p85_W2p62_t0p21_higheps_right,5,1,0.1600,0.2360,0.1980,15,180.0000,3.550878,0.001730,2.689331,0.000399,0.777399,0.000035,0.023252,0.000103
Q3p85_W2p62_t0p21_higheps_right,5,2,0.2360,0.2700,0.2530,15,180.0000,3.696294,0.002288,2.655341,0.000537,0.778214,0.000050,0.033038,0.000115
Q3p85_W2p62_t0p21_higheps_right,5,3,0.2700,0.3080,0.2890,15,180.0000,3.767803,0.002235,2.637372,0.000532,0.778886,0.000046,0.039464,0.000109
Q3p85_W2p62_t0p21_higheps_right,5,4,0.3080,0.3540,0.3310,15,180.0000,3.836259,0.002223,2.620644,0.000536,0.779376,0.000043,0.046331,0.000104
Q3p85_W2p62_t0p21_higheps_right,5,5,0.3540,0.5000,0.4270,15,180.0000,3.929741,0.001610,2.597519,0.000393,0.780072,0.000028,0.059103,0.000080
Q3p85_W2p62_t0p21_higheps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.625420,0.001576,2.670367,0.000375,0.778224,0.000034,0.020261,0.000089
Q3p85_W2p62_t0p21_higheps_center,5,2,0.2360,0.2700,0.2530,15,180.0000,3.793477,0.002086,2.630724,0.000503,0.779162,0.000042,0.027017,0.000115
Q3p85_W2p62_t0p21_higheps_center,5,3,0.2700,0.3080,0.2890,15,180.0000,3.870434,0.002436,2.611934,0.000592,0.779675,0.000041,0.032341,0.000132
Q3p85_W2p62_t0p21_higheps_center,5,4,0.3080,0.3540,0.3310,15,180.0000,3.919433,0.002726,2.600104,0.000667,0.779944,0.000042,0.039442,0.000150
Q3p85_W2p62_t0p21_higheps_center,5,5,0.3540,0.5000,0.4270,15,180.0000,3.951354,0.002164,2.592615,0.000531,0.780073,0.000032,0.054787,0.000134
Q3p85_W2p62_t0p21_higheps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.621433,0.003772,2.667747,0.000955,0.779115,0.000087,0.028088,0.000195
Q3p85_W2p62_t0p21_higheps_left,5,2,0.2360,0.2700,0.2530,15,180.0000,3.755621,0.002928,2.638022,0.000713,0.779372,0.000060,0.031693,0.000153
Q3p85_W2p62_t0p21_higheps_left,5,3,0.2700,0.3080,0.2890,15,180.0000,3.841990,0.002735,2.617784,0.000663,0.779743,0.000045,0.036822,0.000137
Q3p85_W2p62_t0p21_higheps_left,5,4,0.3080,0.3540,0.3310,15,180.0000,3.879580,0.002548,2.608997,0.000619,0.779871,0.000038,0.044650,0.000124
Q3p85_W2p62_t0p21_higheps_left,5,5,0.3540,0.5000,0.4270,15,180.0000,3.888797,0.001810,2.607778,0.000441,0.779667,0.000026,0.058805,0.000096
