Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,1,0,24,9500.0,0.10687449843890796,0.001112101528297241,1.0405677168468257
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,2,24,48,10093.0,0.11555979143256803,0.0011661030365561625,1.0090906379288616
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,3,48,72,9875.0,0.11633979236576567,0.001186052043716588,1.019472374497376
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,4,72,96,9535.0,0.1153880816350284,0.0011963263441070644,1.0367850190031196
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,5,96,120,8168.0,0.10163439616611229,0.0011378113142472954,1.1195140200249185
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,6,120,144,5786.0,0.07315202439951464,0.000972761928194253,1.329781282444874
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,7,144,168,4183.0,0.05337495118451525,0.0008348024203212396,1.5640340680319467
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,8,168,192,3927.0,0.050246447541363495,0.0008108523116868633,1.6137505263817102
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,9,192,216,4307.0,0.054873786538101404,0.0008456751838701803,1.5411278084172102
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,10,216,240,5668.0,0.0715671184909923,0.0009615550911688015,1.343571058110753
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,11,240,264,8058.0,0.10015457321017888,0.0011290048814185133,1.127262435684535
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,12,264,288,9546.0,0.11571740784356335,0.0011987721522519266,1.0359479827551348
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,13,288,312,9859.0,0.1162746414867175,0.001186007221717752,1.02000505574832
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,14,312,336,9898.0,0.1128989031723997,0.001150507885383766,1.0190602858443265
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,15,336,360,9414.0,0.10587783598427582,0.001107244473725146,1.0457755047898654
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,1,0,24,5110.0,0.05265439401186682,0.0007473150211127626,1.4192833003535066
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,2,24,48,7807.0,0.08025967796558464,0.0009213900917864858,1.148011199573437
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.27,3,48,72,10524.0,0.11110064247395304,0.0010965933525218794,0.9870270127186437
