CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_eLT,HMS_eLT_uncern,HMS_track,HMS_track_uncern,PS2,PS4,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_eLT,SHMS_eLT_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,h_int_goodscin_evts,p_int_goodscin_evts,run number,sent_edtm,time,tot_events
0.9980139401575236,0.0021356141182046037,300469,38902156.0,0.9288203887922925,0.002141372729705625,0.9952,0.0002,1025,65,39985,514218136.0,0.9288203887922925,0.002141372729705625,0.9440000000000001,0.0031,6296,15450.34183009099,22723.0,630.6666666666666,12159,411861.0,633.6476680000002,1116719
0.9961580572004509,0.0018366188891052774,375253,25566483.0,0.9492394022710038,0.001990483555570592,0.9958,0.0001,513,33,69432,346764672.0,0.9492394022710038,0.001990483555570592,0.9613,0.0024,3791,10128.525196254699,23423.58333333333,556.6666666666666,12160,192128.0,580.520751,1432776
0.99855356925552,0.0019901710587967767,155513,63509979.0,0.8843492784608104,0.0024590993496415624,0.9938,0.0002,1025,129,49628,800202995.0,0.8843492784608104,0.0024590993496415624,0.9189,0.0034,4928,25281.50785748078,25665.916666666664,738.6666666666665,12158,830742.0,646.2665499999998,1251435
0.9961348521747836,0.002139845970163616,261997,19136509.0,0.966213542116228,0.0017352322063366912,0.9964,0.0001,513,33,61587,263777638.0,0.966213542116228,0.0017352322063366912,0.9643,0.0027,5499,7489.40242153044,13652.5,301.3333333333333,12161,213322.0,646.479109,1097747
0.992449363516789,0.0018918174669150716,356967,12310499.0,0.97757739265813,0.0015729073575143564,0.9972,0.0001,257,17,107202,171099602.0,0.97757739265813,0.0015729073575143564,0.9677,0.0024,11396,4748.627802417234,12333.5,262.0,12162,204698.0,620.3433650000001,1384931
0.9888658077624151,0.0019976112535337568,142605,8042035.0,0.9860571884484112,0.0013745821744976345,0.9972,0.0001,129,17,164613,113209509.0,0.9860571884484112,0.0013745821744976345,0.9721,0.0021,5103,3079.5769741174713,6096.666666666666,96.66666666666666,12164,110361.0,649.294684,1365108
0.9854369257075114,0.0022422845645003985,204985,4497186.0,0.9915813020360644,0.0012320421906701466,0.9975,0.0001,129,9,47397,63605742.0,0.9915813020360644,0.0012320421906701466,0.9715,0.0028,4636,1697.3302688950234,3718.333333333333,68.41666666666666,12166,54233.0,602.801027,995003
0.9980139401575236,0.0021356141182046037,300469,38902156.0,0.9288203887922925,0.002141372729705625,0.9952,0.0002,1025,65,39985,514218136.0,0.9288203887922925,0.002141372729705625,0.9440000000000001,0.0031,6296,15450.34183009099,22723.0,630.6666666666666,12159,411861.0,633.6476680000002,1116719
0.9961580572004509,0.0018366188891052774,375253,25566483.0,0.9492394022710038,0.001990483555570592,0.9958,0.0001,513,33,69432,346764672.0,0.9492394022710038,0.001990483555570592,0.9613,0.0024,3791,10128.525196254699,23423.58333333333,556.6666666666666,12160,192128.0,580.520751,1432776
0.9961580572004509,0.0018366188891052774,375253,25566483.0,0.9492394022710038,0.001990483555570592,0.9958,0.0001,513,33,69432,346764672.0,0.9492394022710038,0.001990483555570592,0.9613,0.0024,3791,10128.525196254699,23423.58333333333,556.6666666666666,12160,192128.0,580.520751,1432776
