run number,time,HMSTRIG_cut,HMSTRIG_scaler,HMS_eLT,HMS_eLT_uncern,HMS_evts_scaler,HMS_evts_scaler_uncern,HMS_track,HMS_track_uncern,PS4,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_eLT,SHMS_eLT_uncern,SHMS_evts_scaler,SHMS_evts_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,h_int_goodscin_evts,p_int_goodscin_evts,sent_edtm,
12144,660.335085,77773,10124937,0.983585612348504,0.001434018242505,3969,63,0.9971,0.0001,257,72219,142101862,0.983585612348504,0.001434018242505,342,18.4932420089069,0.9564,0.0029,974,43949.6079590364,3334.66666666667,25,112237,
12145,660.335085,77797,14319026,0.986912166443485,0.001173595419522,3206,56.6215506675683,0.9974,0.0001,257,72195,201278518,0.986912166443485,0.001173595419522,298,17.2626765016321,0.9661,0.0029,1123,62081.5978234698,2695.91666666667,14,112237,
12148,1154.09456,47660,246050,0.994031425747299,0.002178938849894,950,30.8220700148449,0.9964,0.0004,65,52317,3510979,0.994031425747299,0.002178938849894,85,9.21954445729289,0.9409,0.0178,481,1067.56021952114,810,4.66666666666667,103834,
12150,646.479109,47677,233975,0.995676327466339,0.001879017884564,700,26.4575131106459,0.998,0.0003,65,52299,3335148,0.995676327466339,0.001879017884564,60,7.74596669241483,0.9615,0.0136,655,1006.51892599124,580,1,213322,
12151,378.795919,43674,118630,0.997185162631412,0.001797971256825,477,21.8403296678416,0.998,0.0003,33,56304,1683331,0.997185162631412,0.001797971256825,39,6.2449979983984,0.9712,0.0118,511,507.444249597288,392.333333333333,0,246211,
12152,633.647668,80456,2305455,0.998113642416693,0.00069966410908,166,12.8840987267251,0.9977,0.0001,33,69504,32934996,0.998113642416693,0.00069966410908,52,7.21110255092798,0.9666,0.003,961,9807.93320907337,103.5,3,411861,
12154,177.503756,58067,8152,0.999362904606953,0.00176284165953,81,9,0.9978,0.0001,9,91812,93087,0.999362904606953,0.00176284165953,13,3.60555127546399,0.9607,0.0029,867,120.619904648014,59,0,,1768
