(current_cut)_Total_COIN_Triggers,(current_cut)_Total_HMS_EL-REAL_Triggers,(current_cut)_Total_SHMS_3/4_Triggers,Accepted_COIN_Triggers,Accepted_HMS_Triggers,Accepted_SHMS_Triggers,BCM2_Beam_Cut_Charge,BCM2_Beam_Cut_Current,BCM2_Charge,BCM2_Current,BCM_Cut_HMS_Run_Length,BCM_Cut_SHMS_Run_Length,Beam_Energy,COIN_CPULT,COIN_Trigger_Rate,EDTM_Accepted_Triggers,HMS_Angle,HMS_CPULT,HMS_Cal_ALL_Elec_Eff,HMS_Cal_COIN_Elec_Eff,HMS_Cal_SING_Elec_Eff,HMS_Cer_ALL_Elec_Eff,HMS_Cer_COIN_Elec_Eff,HMS_Cer_SING_Elec_Eff,HMS_EL-REAL_Trigger_Rate,HMS_Elec_ALL_TRACK_EFF,HMS_Elec_COIN_TRACK_EFF,HMS_Elec_SING_TRACK_EFF,HMS_Hodo_3_of_4_EFF,HMS_Hodo_4_of_4_EFF,HMS_Hodo_Plane_1,HMS_Hodo_Plane_2,HMS_Hodo_Plane_3,HMS_Hodo_Plane_4,HMS_Hodo_S1XY,HMS_Hodo_S2XY,HMS_Hodoscope_S1X_Rate,HMS_Hodoscope_S1X_Triggers,HMS_P_Central,HMS_Particle_Mass,HMS_Run_Length,Non_Scaler_EDTM_Live_Time,Non_Scaler_EDTM_Live_Time_Corr,Pre-Scaled_COIN_Triggers,Pre-Scaled_HMS_EL-REAL_Triggers,Pre-Scaled_SHMS_3/4_Triggers,Ps1_factor,Ps2_factor,Ps3_factor,Ps4_factor,Ps5_factor,Ps6_factor,Run_Number,SHMS_3/4_Trigger_Rate,SHMS_Aero_ALL_Prot_Eff,SHMS_Aero_COIN_Prot_Eff,SHMS_Aero_SING_Prot_Eff,SHMS_Angle,SHMS_CPULT,SHMS_HGC_ALL_Prot_Eff,SHMS_HGC_COIN_Prot_Eff,SHMS_HGC_SING_Prot_Eff,SHMS_Hadron_ALL_TRACK_EFF,SHMS_Hodo_3_of_4_EFF,SHMS_Hodo_4_of_4_EFF,SHMS_Hodo_Plane_1,SHMS_Hodo_Plane_2,SHMS_Hodo_Plane_3,SHMS_Hodo_Plane_4,SHMS_Hodo_S1XY,SHMS_Hodo_S2XY,SHMS_Hodoscope_S1X_Rate,SHMS_Hodoscope_S1X_Triggers,SHMS_P_Central,SHMS_Particle_Mass,SHMS_Prot_ALL_TRACK_EFF,SHMS_Prot_COIN_TRACK_EFF,SHMS_Prot_SING_TRACK_EFF,SHMS_Run_Length,Target_Mass_(amu),Total_COIN_Triggers,Total_HMS_EL-REAL_Triggers,Total_SHMS_3/4_Triggers,COIN_CPULT_ERROR,HMS_CPULT_ERROR,HMS_Cal_ALL_Elec_Eff_ERROR,HMS_Cal_COIN_Elec_Eff_ERROR,HMS_Cal_SING_Elec_Eff_ERROR,HMS_Cer_ALL_Elec_Eff_ERROR,HMS_Cer_COIN_Elec_Eff_ERROR,HMS_Cer_SING_Elec_Eff_ERROR,HMS_Elec_ALL_TRACK_EFF_ERROR,HMS_Elec_COIN_TRACK_EFF_ERROR,HMS_Elec_SING_TRACK_EFF_ERROR,Non_Scaler_EDTM_Live_Time_Corr_ERROR,Non_Scaler_EDTM_Live_Time_ERROR,SHMS_Aero_ALL_Prot_Eff_ERROR,SHMS_Aero_COIN_Prot_Eff_ERROR,SHMS_Aero_SING_Prot_Eff_ERROR,SHMS_CPULT_ERROR,SHMS_HGC_ALL_Prot_Eff_ERROR,SHMS_HGC_COIN_Prot_Eff_ERROR,SHMS_HGC_SING_Prot_Eff_ERROR,SHMS_Hadron_ALL_TRACK_EFF_ERROR,SHMS_Prot_ALL_TRACK_EFF_ERROR,SHMS_Prot_COIN_TRACK_EFF_ERROR,SHMS_Prot_SING_TRACK_EFF_ERROR
8541.0,58774.0,2554428.0,9780.0,59896.0,1277235.0,33.244,52.421,33.256,43.839,634.184,632.183,9.176808,0.998,0.014,7543.0,23.75,0.9972,0.9924,0.9969,0.9919,0.998,0.9985,0.9979,0.093,0.9971,0.9972,0.9971,0.997301,0.753926,0.998027,0.997014,0.993676,0.762501,0.999994,0.998498,64.288,40770461.0,5.015,0.000511,634.184,0.9973,0.9973,0.0,0.0,2556624.0,1.0,1.0,1.0,0.0,0.0,1.0,11829.0,4.041,0.2696,0.429,0.2504,23.79,0.4996,0.8803,0.9885,0.8609,0.7763,0.998074,0.923809,0.990844,0.986799,0.985507,0.958712,0.999879,0.999402,160.171,101257117.0,5.015,0.938272,0.9903,0.9947,0.9893,632.183,1.007276,8541.0,58774.0,2554428.0,0.0005,0.0003,0.0006,0.0013,0.0007,0.0003,0.0009,0.0004,0.0004,0.0013,0.0005,0.0005,0.0005,0.0034,0.0117,0.0035,0.0003,0.0045,0.0038,0.0053,0.0014,0.0016,0.0026,0.0018
12483.0,87933.0,3872408.0,15640.0,91208.0,1945631.0,50.383,54.492,50.411,40.863,924.588,918.535,9.176808,1.0011,0.014,12306.0,23.75,1.0009,0.9931,0.9976,0.9927,0.9975,0.9979,0.9975,0.096,0.9974,0.9985,0.9973,0.997832,0.755673,0.998897,0.997532,0.994488,0.762583,0.999997,0.998691,66.723,61691447.0,5.015,0.000511,924.588,1.0013,1.0013,0.0,0.0,3877304.0,1.0,1.0,1.0,0.0,0.0,1.0,11830.0,4.216,0.27,0.4148,0.2521,23.79,0.5018,0.8762,0.9965,0.8552,0.7769,0.99738,0.912556,0.991258,0.988835,0.971656,0.958157,0.999902,0.998814,166.391,152836068.0,5.015,0.938272,0.9901,0.9964,0.9886,918.535,1.007276,12483.0,87933.0,3872408.0,0.0,0.0003,0.0005,0.0009,0.0006,0.0003,0.0008,0.0003,0.0003,0.0008,0.0004,0.0,0.0,0.0028,0.0093,0.0029,0.0003,0.0037,0.0017,0.0043,0.0012,0.0013,0.0018,0.0015
8810.0,53344.0,2244182.0,17625.0,62168.0,1133186.0,29.609,42.03,29.674,18.877,704.473,686.361,9.176808,0.9997,0.013,15663.0,23.75,0.9984,0.9937,0.997,0.9933,0.9985,0.9982,0.9985,0.078,0.9976,0.9981,0.9976,0.997488,0.755405,0.998544,0.997543,0.99336,0.763439,0.999996,0.998429,51.634,36374475.0,5.015,0.000511,704.473,0.9996,0.9996,0.0,0.0,2256104.0,1.0,1.0,1.0,0.0,0.0,1.0,11831.0,3.27,0.2658,0.4421,0.2449,23.79,0.5023,0.8749,0.9928,0.8532,0.7733,0.99764,0.910435,0.995244,0.992574,0.974203,0.946034,0.999965,0.998608,131.296,90116563.0,5.015,0.938272,0.9881,0.997,0.9858,686.361,1.007276,8810.0,53344.0,2244182.0,0.0001,0.0003,0.0006,0.0013,0.0007,0.0003,0.001,0.0003,0.0004,0.0011,0.0005,0.0001,0.0001,0.0036,0.0126,0.0038,0.0003,0.005,0.0032,0.0058,0.0015,0.0019,0.0021,0.0023
20086.0,72326.0,2478925.0,21049.0,73336.0,1250809.0,34.529,19.352,34.536,18.423,1784.276,1778.269,9.176808,1.0002,0.011,18686.0,23.75,1.0004,0.9929,0.9976,0.9924,0.9987,0.9995,0.9986,0.041,0.9976,0.9979,0.9975,0.998428,0.772498,0.999648,0.998897,0.994397,0.777982,1.0,0.998756,24.036,42887645.0,5.015,0.000511,1784.276,1.0003,1.0003,0.0,0.0,2480646.0,1.0,1.0,1.0,0.0,0.0,1.0,11833.0,1.394,0.2698,0.4451,0.2477,23.79,0.5042,0.878,0.9954,0.8551,0.7763,0.998607,0.934097,0.99619,0.994006,0.972466,0.970033,0.999977,0.999175,59.651,106076247.0,5.015,0.938272,0.9911,0.994,0.9904,1778.269,1.007276,20086.0,72326.0,2478925.0,0.0,0.0003,0.0006,0.0011,0.0007,0.0003,0.0005,0.0003,0.0004,0.0011,0.0004,0.0,0.0,0.0034,0.0112,0.0035,0.0003,0.0045,0.0023,0.0053,0.0014,0.0014,0.0027,0.0017
4490.0,16269.0,561273.0,5597.0,17389.0,284056.0,7.826,19.693,7.834,15.409,397.388,397.388,9.176808,1.0002,0.011,5068.0,23.75,1.0004,0.993,0.9978,0.9924,0.9986,1.0,0.9984,0.041,0.9973,1.0,0.9969,0.998702,0.756518,0.999487,0.999487,0.995614,0.760632,1.0,0.99895,24.508,9739371.0,5.015,0.000511,397.388,1.0003,1.0003,0.0,0.0,562561.0,1.0,1.0,1.0,0.0,0.0,1.0,11834.0,1.412,0.2688,0.3814,0.2544,23.79,0.5049,0.866,0.9942,0.8452,0.7773,0.999337,0.948287,1.0,1.0,0.97861,0.969014,1.0,0.999337,60.551,24062215.0,5.015,0.938272,0.9958,1.0,0.9949,397.388,1.007276,4490.0,16269.0,561273.0,0.0,0.0007,0.0013,0.0022,0.0014,0.0006,0.0,0.0006,0.0009,0.0,0.001,0.0,0.0,0.007,0.0229,0.0073,0.0007,0.0097,0.0058,0.0111,0.0029,0.0021,0.0,0.0026
2106.0,7586.0,260639.0,2108.0,7591.0,131405.0,3.632,19.583,3.632,19.583,185.479,185.479,9.176808,1.0009,0.011,1849.0,23.75,1.0007,0.9956,1.0,0.9956,0.9995,1.0,0.9994,0.041,0.9982,0.995,0.9986,0.998264,0.766682,0.999446,0.999459,0.993482,0.772557,1.0,0.998517,24.224,4493057.0,5.015,0.000511,185.479,1.0005,1.0005,0.0,0.0,260639.0,1.0,1.0,1.0,0.0,0.0,1.0,11835.0,1.405,0.2826,0.4516,0.2597,23.79,0.5042,0.8564,0.98,0.8317,0.7778,0.998974,0.942698,1.0,0.991071,0.979167,0.971429,1.0,0.999405,60.208,11167376.0,5.015,0.938272,0.991,1.0,0.9884,185.479,1.007276,2106.0,7586.0,260639.0,0.0,0.001,0.0015,0.0,0.0016,0.0005,0.0,0.0006,0.0011,0.005,0.001,0.0,0.0,0.0106,0.0338,0.011,0.001,0.0143,0.014,0.0167,0.0043,0.0045,0.0,0.0058
2469.0,7463.0,246091.0,3089.0,8089.0,124969.0,9.568,39.349,9.577,31.36,243.162,243.162,9.176808,1.0,0.01,3043.0,23.75,0.9999,0.9811,0.9714,0.9812,0.9995,1.0,0.9995,0.031,0.9968,1.0,0.9967,0.998065,0.764938,0.999425,0.999422,0.992709,0.771445,1.0,0.998334,18.476,4492768.0,5.015,0.000511,243.162,1.0,1.0,0.0,0.0,246919.0,1.0,1.0,1.0,0.0,0.0,1.0,11836.0,1.012,0.3274,0.5667,0.3246,23.79,0.5061,0.9378,1.0,0.9366,0.8247,1.0,0.96,1.0,0.96,1.0,1.0,1.0,1.0,47.664,11590005.0,5.015,0.938272,0.9912,1.0,0.9911,243.162,1.007276,2469.0,7463.0,246091.0,0.0,0.001,0.0031,0.0282,0.0031,0.0005,0.0,0.0005,0.0014,0.0,0.0015,0.0,0.0,0.0092,0.0905,0.0092,0.001,0.008,0.0,0.0081,0.0039,0.0028,0.0,0.0028
5594.0,16824.0,546317.0,5594.0,16826.0,275969.0,21.226,38.35,21.226,38.35,553.479,553.479,9.176808,1.0,0.01,5517.0,23.75,1.0001,0.9828,1.0,0.9826,0.9988,1.0,0.9988,0.03,0.9976,1.0,0.9976,0.997941,0.764378,0.999741,0.99719,0.994113,0.771271,0.999999,0.998654,18.095,10015309.0,5.015,0.000511,553.479,1.0002,1.0002,0.0,0.0,546317.0,1.0,1.0,1.0,0.0,0.0,1.0,11838.0,0.987,0.3223,0.34,0.3221,23.79,0.5051,0.9404,1.0,0.9399,0.8261,0.999169,0.94186,1.0,1.0,0.964286,0.976744,1.0,0.999169,46.445,25706476.0,5.015,0.938272,0.9921,0.913,0.9928,553.479,1.007276,5594.0,16824.0,546317.0,0.0,0.0007,0.002,0.0,0.002,0.0005,0.0,0.0006,0.0008,0.0,0.0008,0.0,0.0,0.006,0.067,0.0061,0.0007,0.0052,0.0,0.0053,0.0026,0.0018,0.0588,0.0017
3738.0,18213.0,696986.0,3724.0,18148.0,348773.0,6.783,29.558,6.783,29.558,229.483,310.886,9.176808,0.9963,0.012,3084.0,23.75,0.9964,0.9938,0.9946,0.9937,0.9986,1.0,0.9985,0.059,0.9985,0.996,0.9989,0.997899,0.762122,1.0,0.998312,0.992619,0.769087,1.0,0.998296,36.315,8333673.0,5.015,0.000511,229.483,0.9955,0.9955,0.0,0.0,696986.0,1.0,1.0,1.0,0.0,0.0,1.0,11839.0,2.242,0.2709,0.4434,0.249,23.79,0.5004,0.8719,0.9914,0.8487,0.7763,0.999037,0.943934,1.0,0.988679,0.985294,0.968992,1.0,0.999544,94.088,29250514.0,5.015,0.938272,0.9913,0.9956,0.9902,310.886,1.007276,3738.0,18213.0,696986.0,0.001,0.0006,0.0011,0.0031,0.0012,0.0005,0.0,0.0006,0.0006,0.0028,0.0006,0.0012,0.0012,0.0065,0.0218,0.0068,0.0006,0.0088,0.006,0.0103,0.0027,0.0027,0.0044,0.0032
4947.0,29131.0,1196650.0,8425.0,32662.0,605045.0,15.991,40.345,16.021,21.746,396.361,388.299,9.176808,1.0007,0.013,7344.0,23.75,1.0007,0.9956,0.9979,0.9955,0.9979,0.9968,0.9981,0.075,0.9981,1.0,0.9979,0.998412,0.770083,0.999227,0.998117,0.995612,0.775536,0.999999,0.999015,49.733,19712168.0,5.015,0.000511,396.361,1.0008,1.0008,0.0,0.0,1201762.0,1.0,1.0,1.0,0.0,0.0,1.0,11840.0,3.082,0.2589,0.4206,0.2392,23.79,0.5035,0.8741,0.9919,0.8524,0.7785,0.998363,0.927304,0.993378,0.993333,0.980609,0.958333,0.999956,0.999192,125.963,48911134.0,5.015,0.938272,0.9854,0.9888,0.9846,388.299,1.007276,4947.0,29131.0,1196650.0,0.0,0.0005,0.0007,0.0015,0.0008,0.0005,0.0019,0.0005,0.0005,0.0,0.0006,0.0,0.0,0.0049,0.0167,0.005,0.0005,0.0068,0.0046,0.0079,0.002,0.0027,0.0056,0.0031
