(current_cut)_Total_COIN_Triggers,(current_cut)_Total_HMS_EL-REAL_Triggers,(current_cut)_Total_SHMS_3/4_Triggers,Accepted_COIN_Triggers,Accepted_HMS_Triggers,Accepted_SHMS_Triggers,BCM1_Beam_Cut_Charge,BCM1_Beam_Cut_Current,BCM1_Charge,BCM1_Current,BCM_Cut_HMS_Run_Length,BCM_Cut_SHMS_Run_Length,Beam_Energy,COIN_CPULT,COIN_CPULT_ERROR,COIN_Trigger_Rate,EDTM_Accepted_Triggers,HMS_Angle,HMS_CPULT,HMS_CPULT_ERROR,HMS_Cal_ALL_Elec_Eff,HMS_Cal_ALL_Elec_Eff_ERROR,HMS_Cal_COIN_Elec_Eff,HMS_Cal_COIN_Elec_Eff_ERROR,HMS_Cal_SING_Elec_Eff,HMS_Cal_SING_Elec_Eff_ERROR,HMS_Cer_ALL_Elec_Eff,HMS_Cer_ALL_Elec_Eff_ERROR,HMS_Cer_COIN_Elec_Eff,HMS_Cer_COIN_Elec_Eff_ERROR,HMS_Cer_SING_Elec_Eff,HMS_Cer_SING_Elec_Eff_ERROR,HMS_EL-REAL_Trigger_Rate,HMS_Elec_ALL_TRACK_EFF,HMS_Elec_ALL_TRACK_EFF_ERROR,HMS_Elec_COIN_TRACK_EFF,HMS_Elec_COIN_TRACK_EFF_ERROR,HMS_Elec_SING_TRACK_EFF,HMS_Elec_SING_TRACK_EFF_ERROR,HMS_Hodo_3_of_4_EFF,HMS_Hodo_4_of_4_EFF,HMS_Hodo_Plane_1,HMS_Hodo_Plane_2,HMS_Hodo_Plane_3,HMS_Hodo_Plane_4,HMS_Hodo_S1XY,HMS_Hodo_S2XY,HMS_Hodoscope_S1X_Rate,HMS_Hodoscope_S1X_Triggers,HMS_P_Central,HMS_Particle_Mass,HMS_Run_Length,Non_Scaler_EDTM_Live_Time,Non_Scaler_EDTM_Live_Time_Corr,Non_Scaler_EDTM_Live_Time_Corr_ERROR,Non_Scaler_EDTM_Live_Time_ERROR,Pre-Scaled_COIN_Triggers,Pre-Scaled_HMS_EL-REAL_Triggers,Pre-Scaled_SHMS_3/4_Triggers,Ps1_factor,Ps2_factor,Ps3_factor,Ps4_factor,Ps5_factor,Ps6_factor,Run_Number,SHMS_3/4_Trigger_Rate,SHMS_Aero_ALL_Pion_Eff,SHMS_Aero_ALL_Pion_Eff_ERROR,SHMS_Aero_COIN_Pion_Eff,SHMS_Aero_COIN_Pion_Eff_ERROR,SHMS_Aero_SING_Pion_Eff,SHMS_Aero_SING_Pion_Eff_ERROR,SHMS_Angle,SHMS_CPULT,SHMS_CPULT_ERROR,SHMS_HGC_ALL_Pion_Eff,SHMS_HGC_ALL_Pion_Eff_ERROR,SHMS_HGC_COIN_Pion_Eff,SHMS_HGC_COIN_Pion_Eff_ERROR,SHMS_HGC_SING_Pion_Eff,SHMS_HGC_SING_Pion_Eff_ERROR,SHMS_Hadron_ALL_TRACK_EFF,SHMS_Hadron_ALL_TRACK_EFF_ERROR,SHMS_Hodo_3_of_4_EFF,SHMS_Hodo_4_of_4_EFF,SHMS_Hodo_Plane_1,SHMS_Hodo_Plane_2,SHMS_Hodo_Plane_3,SHMS_Hodo_Plane_4,SHMS_Hodo_S1XY,SHMS_Hodo_S2XY,SHMS_Hodoscope_S1X_Rate,SHMS_Hodoscope_S1X_Triggers,SHMS_P_Central,SHMS_Particle_Mass,SHMS_Pion_ALL_TRACK_EFF,SHMS_Pion_ALL_TRACK_EFF_ERROR,SHMS_Pion_COIN_TRACK_EFF,SHMS_Pion_COIN_TRACK_EFF_ERROR,SHMS_Pion_SING_TRACK_EFF,SHMS_Pion_SING_TRACK_EFF_ERROR,SHMS_Prot_ALL_TRACK_EFF,SHMS_Prot_ALL_TRACK_EFF_ERROR,SHMS_Prot_COIN_TRACK_EFF,SHMS_Prot_COIN_TRACK_EFF_ERROR,SHMS_Prot_SING_TRACK_EFF,SHMS_Prot_SING_TRACK_EFF_ERROR,SHMS_Run_Length,Target_Mass_(amu),Total_COIN_Triggers,Total_HMS_EL-REAL_Triggers,Total_SHMS_3/4_Triggers
726255.0,19179653.0,185446793.0,722081.0,873283.0,960255.0,13.804,21.201,13.804,21.201,651.081,651.081,9.172705,0.9943,0.0001,1.115,6434.0,12.405,0.0455,0.0,0.9853,0.0002,0.9854,0.0002,0.9865,0.0005,0.9574,0.0003,0.9587,0.0004,0.9516,0.0009,29.458000000000002,0.996,0.0001,0.9958,0.0001,0.9968,0.0003,0.9929379999999999,0.76122,0.993301,0.991776,0.9827110000000001,0.786303,0.9999450000000001,0.9963049999999999,164.77200000000005,107279829.0,3.738,0.0005110000000000001,651.081,0.9836,0.9836,0.0016,0.0016,726255.0,148679.0,180924.0,1025.0,1.0,1.0,129.0,1.0,1.0,12200.0,284.829,0.9771,0.0003,0.9796,0.0003,0.9805,0.0007,12.305,0.0052,0.0,0.6994,0.0008,0.7005,0.0009,0.6991,0.0019,0.9854,0.0002,0.9921059999999999,0.8508,0.9797540000000001,0.9740540000000001,0.9667100000000001,0.922214,0.999475,0.99741,511.69199999999995,333153476.0,3.26,0.13957,0.9877,0.0002,0.9859,0.0003,0.995,0.0004,0.9836,0.0005,0.9818,0.0006,0.9901,0.0009,651.081,1.007276,726255.0,19179653.0,185446793.0
2089239.0,54571298.0,527691577.0,2080040.0,2511020.0,2760323.0,39.378,38.573,39.378,38.573,1020.864,1020.864,9.172705,0.9956,0.0,2.047,9924.0,12.405,0.046,0.0,0.9855,0.0001,0.9858,0.0001,0.9861,0.0003,0.9573,0.0002,0.9584,0.0002,0.9529,0.0005,53.456,0.9959,0.0001,0.9958,0.0001,0.9964,0.0002,0.99306,0.768839,0.99315,0.991521,0.982457,0.7947029999999999,0.999942,0.996398,298.422,304647937.0,3.738,0.0005110000000000001,1020.864,0.9755,0.9755,0.0015,0.0015,2089239.0,423033.0,514821.0,1025.0,1.0,1.0,129.0,1.0,1.0,12201.0,516.9069999999998,0.9777,0.0002,0.9797,0.0002,0.9817,0.0004,12.305,0.0052,0.0,0.6984,0.0005,0.6987,0.0006,0.7001,0.0011,0.9855,0.0001,0.991983,0.849643,0.979545,0.974018,0.966372,0.921512,0.999469,0.997361,927.672,947027489.0,3.26,0.13957,0.988,0.0001,0.9865,0.0002,0.9948,0.0002,0.9828,0.0003,0.9814,0.0004,0.9892,0.0006,1020.864,1.007276,2089239.0,54571298.0,527691577.0
2274333.0,76179624.0,739504647.0,2273643.0,2873794.0,3183281.0,54.703,23.462,54.703,23.462,2331.581,2331.581,9.172705,0.9997,0.0,0.975,22883.0,12.405,0.0377,0.0,0.9866,0.0001,0.9869,0.0001,0.9868,0.0002,0.961,0.0002,0.9625,0.0002,0.9551,0.0004,32.673,0.9965,0.0001,0.9963,0.0001,0.9969,0.0001,0.994239,0.7717890000000001,0.995042,0.993635,0.984057,0.79325,0.9999680000000001,0.996704,183.104,426922885.0,3.738,0.0005110000000000001,2331.581,0.9849,0.9849,0.0008,0.0008,2274333.0,590540.0,721468.0,1025.0,1.0,1.0,129.0,1.0,1.0,12202.0,317.1690000000001,0.9790000000000001,0.0002,0.9811,0.0002,0.9828,0.0003,12.305,0.0043,0.0,0.7054,0.0004,0.7066,0.0005,0.7037,0.0009,0.9886,0.0001,0.993758,0.8644440000000001,0.9842639999999999,0.9787129999999999,0.969727,0.92538,0.9996649999999999,0.997741,572.4209999999998,1334646253.0,3.26,0.13957,0.9907,0.0001,0.9891,0.0001,0.9961,0.0002,0.9865,0.0003,0.985,0.0003,0.9914,0.0004,2331.581,1.007276,2274333.0,76179624.0,739504647.0
875588.0,40383589.0,393662170.0,875994.0,2112502.0,2689392.0,28.862,18.622,28.862,18.622,1549.8829999999994,1549.8829999999994,9.172705,1.0005,0.0,0.565,15312.0,12.405,0.0523,0.0,0.9867,0.0001,0.9873,0.0002,0.9871,0.0002,0.9618,0.0002,0.9673,0.0003,0.958,0.0003,26.056,0.9971,0.0001,0.997,0.0001,0.9972,0.0001,0.995609,0.7834899999999999,0.996866,0.995705,0.98575,0.800754,0.999987,0.997161,146.405,226910560.0,3.738,0.0005110000000000001,1549.8829999999994,0.9914,0.9914,0.0007,0.0007,875588.0,1223745.0,1531759.0,257.0,1.0,1.0,33.0,1.0,1.0,12204.0,253.995,0.9783,0.0002,0.9825,0.0003,0.9834,0.0002,12.305,0.0068,0.0,0.7107,0.0005,0.7154,0.0008,0.7096,0.0006,0.9928,0.0001,0.99568,0.882832,0.989586,0.98435,0.974335,0.930179,0.999837,0.998208,461.086,714628547.0,3.26,0.13957,0.995,0.0001,0.9924,0.0002,0.9967,0.0001,0.991,0.0002,0.988,0.0004,0.9928,0.0003,1549.8829999999994,1.007276,875588.0,40383589.0,393662170.0
508550.0,27570670.0,269099373.0,508876.0,2121355.0,1867428.0,19.645,14.895999999999999,19.645,14.895999999999999,1318.8670000000004,1318.8670000000004,9.172705,1.0006,0.0,0.386,13018.0,12.405,0.0769,0.0,0.9875,0.0001,0.9884,0.0002,0.9875,0.0001,0.9615,0.0002,0.9695,0.0004,0.9590000000000001,0.0002,20.905,0.9973,0.0001,0.9972,0.0001,0.9973,0.0001,0.9959899999999999,0.779763,0.997616,0.996751,0.986311,0.795057,0.999992,0.997195,117.62799999999999,155135430.0,3.738,0.0005110000000000001,1318.8670000000004,0.9905,0.9905,0.0008,0.0008,508550.0,1621804.0,1047079.0,257.0,1.0,1.0,17.0,1.0,1.0,12205.0,204.03799999999998,0.9756,0.0002,0.9826,0.0004,0.9835,0.0003,12.305,0.0069,0.0,0.7138,0.0006,0.7206,0.0011,0.7125,0.0008,0.9935,0.0001,0.996236,0.888835,0.9912479999999999,0.9859049999999999,0.9760559999999999,0.9318129999999999,0.999877,0.998367,370.789,489021747.0,3.26,0.13957,0.9956,0.0001,0.9932,0.0002,0.997,0.0001,0.9922,0.0003,0.9899,0.0005,0.9934,0.0003,1318.8670000000004,1.007276,508550.0,27570670.0,269099373.0
504346.0,27339396.0,267102390.0,504146.0,2101409.0,1851387.0,19.49,15.327,19.49,15.327,1271.615,1271.615,9.172705,0.9996,0.0,0.397,12574.0,12.405,0.0769,0.0,0.9876,0.0001,0.9883,0.0002,0.9877,0.0001,0.961,0.0002,0.9687,0.0004,0.9586,0.0002,21.5,0.9972,0.0001,0.9969,0.0001,0.9974,0.0001,0.99603,0.784233,0.997509,0.996652,0.986274,0.79981,0.999992,0.997252,120.94,153788798.0,3.738,0.0005110000000000001,1271.615,0.9923,0.9923,0.0008,0.0008,504346.0,1608200.0,1039309.0,257.0,1.0,1.0,17.0,1.0,1.0,12206.0,210.05,0.976,0.0002,0.9827,0.0004,0.9837,0.0003,12.305,0.0069,0.0,0.7127,0.0006,0.7203,0.0011,0.7120000000000001,0.0008,0.9934,0.0001,0.996174,0.887862,0.991071,0.986105,0.975696,0.931114,0.999876,0.998326,382.086,485866282.0,3.26,0.13957,0.9954,0.0001,0.9931,0.0002,0.9968,0.0001,0.9919,0.0003,0.9892,0.0006,0.9935,0.0003,1271.615,1.007276,504346.0,27339396.0,267102390.0
471122.0,25654069.0,250131213.0,472108.0,1974937.0,1735694.0,18.309,15.325,18.309,15.325,1194.718,1192.682,9.172705,1.0021,0.0,0.395,11801.0,12.405,0.077,0.0,0.9875,0.0001,0.9882,0.0002,0.9876,0.0001,0.9614,0.0002,0.9691,0.0004,0.9591,0.0003,21.51,0.9972,0.0001,0.9972,0.0001,0.9972,0.0001,0.9959889999999999,0.7800779999999999,0.997625,0.996663,0.986353,0.795408,0.999992,0.997208,120.87,144405426.0,3.738,0.0005110000000000001,1194.718,0.9928,0.9928,0.0008,0.0008,471122.0,1509063.0,973273.0,257.0,1.0,1.0,17.0,1.0,1.0,12207.0,209.722,0.9765,0.0002,0.9829,0.0004,0.9848,0.0003,12.305,0.0069,0.0,0.7138,0.0006,0.7208,0.0011,0.7121,0.0008,0.9935,0.0001,0.996158,0.8877379999999999,0.99125,0.9857319999999999,0.975683,0.9311799999999999,0.999875,0.9983270000000001,381.06699999999995,454491697.0,3.26,0.13957,0.9956,0.0001,0.9932,0.0003,0.9969,0.0001,0.9919,0.0003,0.9893,0.0006,0.9934,0.0003,1192.682,1.007276,471122.0,25654069.0,250131213.0
436028.0,28735012.0,281325128.0,436283.0,2117828.0,1783213.0,20.418,11.462,20.418,11.462,1781.34,1781.34,9.172705,1.0006,0.0,0.245,17643.0,12.405,0.0737,0.0,0.988,0.0001,0.9892,0.0002,0.9879,0.0001,0.9626,0.0002,0.972,0.0004,0.9601,0.0002,16.131,0.9975,0.0001,0.9975,0.0001,0.9976,0.0001,0.996434,0.7859,0.998074,0.997348,0.986946,0.799953,0.999995,0.997389,90.896,161917508.0,3.738,0.0005110000000000001,1781.34,0.9939,0.9939,0.0006,0.0006,436028.0,1690295.0,1094650.0,257.0,1.0,1.0,17.0,1.0,1.0,12208.0,157.929,0.9773,0.0002,0.9836,0.0004,0.9842,0.0002,12.305,0.0063,0.0,0.7152,0.0006,0.7237,0.0012,0.7139,0.0008,0.9943,0.0001,0.996664,0.893208,0.992854,0.987759,0.976865,0.932356,0.999913,0.998435,287.81,512687040.0,3.26,0.13957,0.9962,0.0001,0.9942,0.0002,0.9973,0.0001,0.9925,0.0002,0.9906,0.0006,0.9933,0.0003,1781.34,1.007276,436028.0,28735012.0,281325128.0
331222.0,21799480.0,213317944.0,331380.0,1619569.0,2172935.0,15.488,11.47,15.488,11.47,1350.287,1350.287,9.172705,1.0005,0.0,0.245,13372.0,12.405,0.0743,0.0,0.9877,0.0001,0.9892,0.0003,0.9878,0.0002,0.9623,0.0002,0.9727,0.0004,0.9598,0.0003,16.144000000000002,0.9973,0.0001,0.9972,0.0002,0.9974,0.0001,0.9963850000000001,0.784258,0.998091,0.997303,0.986869,0.798366,0.9999950000000001,0.997352,90.95,122808055.0,3.738,0.0005110000000000001,1350.287,0.9938,0.9938,0.0007,0.0007,331222.0,1282322.0,1653627.0,129.0,1.0,1.0,17.0,1.0,1.0,12209.0,157.98,0.9808,0.0002,0.9847,0.0004,0.9846,0.0002,12.305,0.0102,0.0,0.7153,0.0005,0.725,0.0013,0.7140000000000001,0.0006,0.9948,0.0001,0.9967540000000001,0.89417,0.9928629999999999,0.98816,0.9774639999999999,0.932401,0.999916,0.9984770000000001,287.57,388301675.0,3.26,0.13957,0.9968,0.0001,0.9946,0.0003,0.9973,0.0001,0.9931,0.0002,0.9904,0.0006,0.9938,0.0002,1350.287,1.007276,331222.0,21799480.0,213317944.0
332456.0,21944903.0,214795299.0,332362.0,1627716.0,2184530.0,15.549,10.82,15.549,10.82,1436.996,1438.997,9.172705,0.9997,0.0,0.231,14253.0,12.405,0.0742,0.0,0.9877,0.0001,0.9893,0.0003,0.9878,0.0002,0.9623,0.0002,0.9727,0.0004,0.9597,0.0003,15.25,0.9975,0.0001,0.9973,0.0002,0.9976,0.0001,0.99644,0.785522,0.998123,0.997391,0.986916,0.7995180000000001,0.999995,0.997377,85.87299999999998,123399454.0,3.738,0.0005110000000000001,1436.996,0.9939,0.9939,0.0006,0.0006,332456.0,1290877.0,1665080.0,129.0,1.0,1.0,17.0,1.0,1.0,12210.0,149.267,0.9804,0.0002,0.9837,0.0004,0.9844,0.0002,12.305,0.0102,0.0,0.7157,0.0005,0.7263,0.0013,0.7144,0.0006,0.9949,0.0001,0.996685,0.893243,0.992898,0.987802,0.977189,0.932001,0.999913,0.998449,272.085,391528929.0,3.26,0.13957,0.9968,0.0001,0.9948,0.0003,0.9974,0.0001,0.9931,0.0002,0.9912,0.0006,0.9935,0.0002,1438.997,1.007276,332456.0,21944903.0,214795299.0
