(current_cut)_Total_HMS_EL-REAL_Triggers,(current_cut)_Total_SHMS_EL-REAL_Triggers,Accepted_HMS_Triggers,Accepted_SHMS_Triggers,BCM2_Beam_Cut_Charge,BCM2_Beam_Cut_Current,BCM2_Charge,BCM2_Current,BCM_Cut_HMS_Run_Length,BCM_Cut_SHMS_Run_Length,Beam_Energy,EDTM_Accepted_Triggers,HMS_Angle,HMS_CPULT,HMS_CPULT_ERROR,HMS_Cal_ALL_Elec_Eff,HMS_Cal_ALL_Elec_Eff_ERROR,HMS_Cal_SING_Elec_Eff,HMS_Cal_SING_Elec_Eff_ERROR,HMS_Cer_ALL_Elec_Eff,HMS_Cer_ALL_Elec_Eff_ERROR,HMS_Cer_SING_Elec_Eff,HMS_Cer_SING_Elec_Eff_ERROR,HMS_EL-REAL_Trigger_Rate,HMS_Elec_ALL_TRACK_EFF,HMS_Elec_ALL_TRACK_EFF_ERROR,HMS_Elec_SING_TRACK_EFF,HMS_Elec_SING_TRACK_EFF_ERROR,HMS_Hodo_3_of_4_EFF,HMS_Hodo_4_of_4_EFF,HMS_Hodo_Plane_1,HMS_Hodo_Plane_2,HMS_Hodo_Plane_3,HMS_Hodo_Plane_4,HMS_Hodo_S1XY,HMS_Hodo_S2XY,HMS_Hodoscope_S1X_Rate,HMS_Hodoscope_S1X_Triggers,HMS_P_Central,HMS_Particle_Mass,HMS_Run_Length,Non_Scaler_EDTM_Live_Time,Non_Scaler_EDTM_Live_Time_Corr,Non_Scaler_EDTM_Live_Time_Corr_ERROR,Non_Scaler_EDTM_Live_Time_ERROR,Pre-Scaled_HMS_EL-REAL_Triggers,Pre-Scaled_SHMS_EL-REAL_Triggers,Ps1_factor,Ps2_factor,Ps3_factor,Ps4_factor,Ps5_factor,Ps6_factor,Run_Number,SHMS_Aero_ALL_Elec_Eff,SHMS_Aero_ALL_Elec_Eff_ERROR,SHMS_Aero_SING_Elec_Eff,SHMS_Aero_SING_Elec_Eff_ERROR,SHMS_Angle,SHMS_CPULT,SHMS_CPULT_ERROR,SHMS_Cal_ALL_Elec_Eff,SHMS_Cal_ALL_Elec_Eff_ERROR,SHMS_Cal_SING_Elec_Eff,SHMS_Cal_SING_Elec_Eff_ERROR,SHMS_EL-REAL_Trigger_Rate,SHMS_Elec_ALL_TRACK_EFF,SHMS_Elec_ALL_TRACK_EFF_ERROR,SHMS_Elec_SING_TRACK_EFF,SHMS_Elec_SING_TRACK_EFF_ERROR,SHMS_HGC_ALL_Elec_Eff,SHMS_HGC_ALL_Elec_Eff_ERROR,SHMS_HGC_SING_Elec_Eff,SHMS_HGC_SING_Elec_Eff_ERROR,SHMS_Hodo_3_of_4_EFF,SHMS_Hodo_4_of_4_EFF,SHMS_Hodo_Plane_1,SHMS_Hodo_Plane_2,SHMS_Hodo_Plane_3,SHMS_Hodo_Plane_4,SHMS_Hodo_S1XY,SHMS_Hodo_S2XY,SHMS_Hodoscope_S1X_Rate,SHMS_Hodoscope_S1X_Triggers,SHMS_P_Central,SHMS_Particle_Mass,SHMS_Run_Length,Target_Mass_(amu),Total_HMS_EL-REAL_Triggers,Total_SHMS_EL-REAL_Triggers
226486.0,90578174.0,226681.0,737423.0,45.182,57.406,45.182,53.074,787.071,853.294,9.171712,8512.0,19.88,1.0009,0.0,1e+38,1e+38,1e+38,1e+38,0.9978,0.0002,0.9978,0.0002,0.265,0.9963,0.0063,0.9963,0.0063,0.99711,0.771617,0.998235,0.997197,0.991434,0.781852,0.999995,0.998131,96.573,76009975.0,5.9,0.000511,787.071,1.001,1.001,0.0,0.0,0.0,11322272.0,1.0,8.0,1.0,0.0,1.0,1.0,12080.0,0.998,0.0049,0.998,0.0002,10.26,0.0081,0.0,0.9739,0.0005,0.9748,0.0005,106.151,0.9943,0.0043,0.9943,0.0043,0.9668,0.0049,0.9669,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840.49,717185138.0,8.444,0.000511,853.294,1.007276,226486.0,90578174.0
31267.0,11967571.0,31268.0,97987.0,17.598,39.41,17.598,39.41,446.532,446.532,9.171712,4450.0,19.88,1.0,0.0,1e+38,1e+38,1e+38,1e+38,0.9988,0.0004,0.9988,0.0004,0.07,0.9972,0.0164,0.9972,0.0164,0.998066,0.773683,0.999253,0.998904,0.993068,0.780521,0.999999,0.998479,25.907,11568264.0,5.9,0.000511,446.532,1.0,1.0,0.0,0.0,0.0,1495946.0,1.0,8.0,1.0,0.0,1.0,1.0,12081.0,0.9988,0.0136,0.9988,0.0003,10.26,0.0082,0.0,0.9759,0.0015,0.9762,0.0015,26.801,0.9976,0.0113,0.9976,0.0113,0.9895,0.0137,0.9896,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.547,102053637.0,8.444,0.000511,446.532,1.007276,31267.0,11967571.0
217254.0,975135937.0,218920.0,1994209.0,39.125,14.675,39.124,13.882,2666.109,2661.383,9.171712,28091.0,19.88,1.0,0.0,1e+38,1e+38,1e+38,1e+38,0.9986,0.0002,0.9986,0.0002,0.082,0.9962,0.0067,0.9962,0.0067,0.997591,0.773294,0.99925,0.998451,0.991311,0.781869,0.999999,0.998105,25.823,68846444.0,5.9,0.000511,2666.109,1.0002,1.0002,0.0,0.0,0.0,97558223.0,1.0,10.0,1.0,0.0,1.0,1.0,12083.0,0.9978,0.0016,0.9978,0.0001,7.065,0.002,0.0,0.9877,0.0001,0.9888,0.0001,366.402,0.9895,0.0016,0.9897,0.0016,0.9378,0.0016,0.9376,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.629,2349012919.0,8.035,0.000511,2661.383,1.007276,217254.0,975135937.0
31327.0,140489891.0,31312.0,286875.0,5.629,14.762,5.629,14.762,381.325,381.325,9.171712,3799.0,19.88,0.9995,0.0,1e+38,1e+38,1e+38,1e+38,0.9986,0.0004,0.9986,0.0004,0.082,0.9963,0.0175,0.9963,0.0175,0.997837,0.77201,0.999496,0.998884,0.991839,0.779625,0.999999,0.998201,25.826,9848075.0,5.9,0.000511,381.325,0.9995,0.9995,0.0004,0.0004,0.0,14048989.0,1.0,10.0,1.0,0.0,1.0,1.0,12084.0,0.9979,0.0041,0.9979,0.0001,7.065,0.002,0.0,0.9874,0.0003,0.9887,0.0003,368.426,0.9892,0.0042,0.9893,0.0043,0.9367,0.0042,0.9368,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.114,337897312.0,8.035,0.000511,381.325,1.007276,31327.0,140489891.0
29740.0,152141799.0,29707.0,308748.0,16.738,39.44,16.738,39.44,424.381,424.381,9.171712,4226.0,19.88,0.9989,0.0,1e+38,1e+38,1e+38,1e+38,0.9987,0.0004,0.9987,0.0004,0.07,0.997,0.0168,0.997,0.0168,0.998019,0.775806,0.999346,0.998602,0.992969,0.782906,0.999999,0.998474,27.632,11726406.0,5.9,0.000511,424.381,0.9991,0.9991,0.0005,0.0005,0.0,15214180.0,1.0,10.0,1.0,0.0,1.0,1.0,12085.0,0.9978,0.004,0.9978,0.0001,7.065,0.002,0.0,0.9873,0.0003,0.9883,0.0003,358.503,0.9906,0.0041,0.9908,0.0042,0.9347,0.0041,0.9346,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.041,351404775.0,8.035,0.000511,424.381,1.007276,29740.0,152141799.0
208491.0,101272814.0,211541.0,237433.0,42.182,57.49,42.188,47.222,733.728,719.609,9.171712,8906.0,19.88,1.0,0.0,1e+38,1e+38,1e+38,1e+38,0.9976,0.0002,0.9976,0.0002,0.29,0.9963,0.0065,0.9963,0.0065,0.997005,0.76436,0.998466,0.996993,0.991364,0.774532,0.999995,0.998053,96.273,70638332.0,5.9,0.000511,733.728,1.0004,1.0004,0.0,0.0,0.0,10193270.0,1.0,10.0,1.0,0.0,1.0,1.0,12086.0,0.9981,0.0065,0.9981,0.0002,10.26,0.0023,0.0,0.983,0.0006,0.9868,0.0005,140.733,0.9942,0.0061,0.9944,0.0064,0.9516,0.0066,0.951,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,943.809,679173387.0,7.931,0.000511,719.609,1.007276,208491.0,101272814.0
92502.0,44697154.0,93504.0,363804.0,18.568,56.682,18.568,45.46,327.589,321.481,9.171712,4064.0,19.88,0.9974,0.0,1e+38,1e+38,1e+38,1e+38,0.9978,0.0003,0.9978,0.0003,0.288,0.9968,0.0098,0.9968,0.0098,0.997224,0.773715,0.998608,0.997228,0.991436,0.783659,0.999996,0.998147,95.246,31201500.0,5.9,0.000511,327.589,0.9982,0.9982,0.0006,0.0006,0.0,5610447.0,1.0,8.0,1.0,0.0,1.0,1.0,12087.0,0.9981,0.0051,0.9982,0.0002,10.26,0.0081,0.0,0.9857,0.0004,0.9865,0.0004,139.035,0.9947,0.0048,0.9948,0.0048,0.95,0.0051,0.95,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.112,299656011.0,7.931,0.000511,321.481,1.007276,92502.0,44697154.0
32418.0,15450239.0,32381.0,473086.0,18.363,39.461,18.363,39.461,465.343,465.343,9.171712,4637.0,19.88,0.9989,0.0,1e+38,1e+38,1e+38,1e+38,0.9986,0.0004,0.9986,0.0004,0.07,0.9966,0.0162,0.9966,0.0162,0.997886,0.775206,0.999521,0.998126,0.992667,0.782773,0.999999,0.998407,26.157,12171795.0,5.9,0.000511,465.343,0.9998,0.9998,0.0002,0.0002,0.0,2575040.0,1.0,6.0,1.0,0.0,1.0,1.0,12088.0,0.9984,0.0044,0.9984,0.0001,10.26,0.0306,0.0,0.9886,0.0003,0.9887,0.0003,33.202,0.9981,0.0039,0.9981,0.0039,0.9762,0.0044,0.9762,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.542,109142506.0,7.931,0.000511,465.343,1.007276,32418.0,15450239.0
89650.0,201308829.0,91310.0,1588749.0,69.114,54.679,69.112,47.066,1263.996,1307.85,9.171712,14627.0,23.53,0.9994,0.0,1e+38,1e+38,1e+38,1e+38,0.9983,0.0003,0.9983,0.0003,0.069,0.9957,0.0112,0.9957,0.0112,0.996729,0.753487,0.998586,0.997214,0.99044,0.763966,0.999996,0.997743,70.247,88792307.0,5.202,0.000511,1263.996,0.9994,0.9994,0.0002,0.0002,0.0,25206189.0,1.0,8.0,1.0,0.0,1.0,1.0,12090.0,0.9985,0.0019,0.9985,0.0001,10.26,0.0079,0.0,0.9905,0.0001,0.9907,0.0001,153.924,0.9914,0.0019,0.9914,0.0019,0.9548,0.0019,0.9548,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880.782,1151931119.0,7.296,0.000511,1307.85,1.007276,89650.0,201308829.0
9663.0,15639308.0,9687.0,478693.0,3.534,39.471,3.534,39.471,89.532,382.014,9.171712,3819.0,23.53,1.0025,0.0,1e+38,1e+38,1e+38,1e+38,0.9963,0.0014,0.9963,0.0014,0.025,0.9967,0.0365,0.9967,0.0365,0.997629,0.747505,0.999442,1.0,0.990899,0.754791,1.0,0.997768,19.978,1788679.0,5.202,0.000511,89.532,1.0032,1.0032,0.0,0.0,0.0,2606551.0,1.0,6.0,1.0,0.0,1.0,1.0,12091.0,0.9984,0.0034,0.9984,0.0001,10.26,0.0306,0.0,0.9933,0.0002,0.9934,0.0002,40.939,0.9955,0.0033,0.9955,0.0033,0.9715,0.0035,0.9715,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.456,92239632.0,7.296,0.000511,382.014,1.007276,9663.0,15639308.0
