Id,Q2,W,angle,tmin,tmax,target,a1,b1,a2,b2,a3,b3,a4,b4,status,thetaHMS,pHMS,thetaSHMS,pSHMS
1,1.6,3.08,left,0.02,0.08,0,-1,-1,-1,-1,-1,-1,-1,-1,n,29.55,0.96,7.5,5.422
2,1.6,3.08,center,0.02,0.08,0,-1,-1,-1,-1,-1,-1,-1,-1,n,29.55,0.96,6,5.422
3,1.6,3.08,right,0.02,0.08,0,-1,-1,-1,-1,-1,-1,-1,-1,na,-1,-1,-1,-1
4,2.45,3.2,left,0.03,0.15,0,-0.371195652173909,4.03696376811593,-0.145760869565213,3.5994322463768,-0.160652173913044,3.55583768115942,-0.317173913043477,4.03842282608695,y,13.41,4.256,10.76,6.265
5,2.45,3.2,center,0.03,0.15,0,-0.390931372549022,4.07952205882354,-0.151348039215684,3.61130514705882,-0.150122549019608,3.52738970588235,-0.367647058823529,4.17558823529412,y,13.41,4.256,8.76,6.265
6,2.45,3.2,right,0.03,0.15,0,-1,-1,-1,-1,-1,-1,-1,-1,na,13.41,4.256,6.76,6.265
7,3.85,3.07,left,0.03,0.15,0,-0.288157894736846,4.13176315789475,-0.160526315789478,3.72186842105265,-0.164473684210529,3.67072368421053,-0.255263157894743,4.09173684210529,y,17.49,3.944,11.91,6.538
8,3.85,3.07,center,0.03,0.15,0,-0.272820512820509,4.07817179487178,-0.156324786324785,3.70712136752136,-0.168547008547008,3.68802735042735,-0.254871794871792,4.08957435897435,y,17.49,3.944,9.91,6.538
9,3.85,3.07,right,0.03,0.15,0,-0.27248023715415,4.0767243083004,-0.160820158102763,3.72297924901185,-0.166254940711461,3.67856472332015,-0.261116600790512,4.11516551383398,y,17.49,3.944,7.91,6.538
10,5,2.95,left,0.15,0.42,0,-0.245811965811968,4.14811794871796,-0.161709401709404,3.79005641025642,-0.171452991452992,3.77885128205129,-0.236752136752139,4.16202564102566,y,20.57,3.716,12.47,6.719
11,5,2.95,center,0.15,0.42,0,-0.246294466403161,4.15113883399209,-0.167737154150199,3.81802124505929,-0.172430830039522,3.78480237154148,-0.243083003952569,4.19545454545454,y,20.57,3.716,10.47,6.719
12,5,2.95,right,0.15,0.42,0,0,0,0,0,0,0,0,0,missing,20.57,3.716,8.47,6.719
13,6,3.19,left,0.15,0.42,0,-0.206451612903226,4.40460752688172,-0.150723025583981,4.12075917686317,-0.160734149054505,4.13026492398962,-0.210344827586207,4.47533908045977,y,28.18,2.398,9.65,8.035
14,6,3.19,center,0.15,0.42,0,-0.208461538461537,4.41905384615384,-0.156923076923074,4.15340769230767,-0.163461538461533,4.14904999999997,-0.199423076923073,4.40182499999997,y,28.18,2.398,7.65,8.035
15,6,3.19,right,0.15,0.42,0,0,0,0,0,0,0,0,0,na,28.18,2.398,5.65,8.035
16,1.45,2.02,left,0.07,0.25,0,-1,-1,-1,-1,-1,-1,-1,-1,n,13.81,3.921,21.86,2.412
17,1.45,2.02,center,0.07,0.25,0,-1,-1,-1,-1,-1,-1,-1,-1,n,13.81,3.921,19.86,2.412
18,1.45,2.02,right,0.07,0.25,0,-1,-1,-1,-1,-1,-1,-1,-1,n,13.81,3.921,17.86,2.412
19,2.73,2.63,left,0.07,0.25,0,0,0,0,0,0,0,0,0,n,28.77,1.727,11.66,4.605
20,2.73,2.63,center,0.07,0.25,0,0,0,0,0,0,0,0,0,n,28.77,1.727,9.66,4.605
21,2.73,2.63,right,0.07,0.25,0,0,0,0,0,0,0,0,0,n,28.77,1.727,7.66,4.605
22,2.12,2.05,left,0.12,0.39,0,-1,-1,-1,-1,-1,-1,-1,-1,2019,12.14,5.587,23.22,2.792
23,2.12,2.05,center,0.12,0.39,0,-1,-1,-1,-1,-1,-1,-1,-1,2019,12.14,5.587,21.22,2.792
24,2.12,2.05,right,0.12,0.39,0,-1,-1,-1,-1,-1,-1,-1,-1,2019,12.14,5.587,19.22,2.792
25,3.85,2.62,left,0.12,0.39,0,0,0,0,0,0,0,0,0,n,15.04,5.309,16.28,5.127
26,3.85,2.62,center,0.12,0.39,0,0,0,0,0,0,0,0,0,n,15.04,5.309,14.28,5.127
27,3.85,2.62,right,0.12,0.39,0,0,0,0,0,0,0,0,0,n,15.04,5.309,12.28,5.127
28,3.85,2.02,left,0.4,1,0,-0.523303670745276,3.92069929551355,-0.224749721913238,2.96994197256211,-0.194549499443827,2.66192343344457,-0.500278086763069,4.04294438264738,y,13.31,6.792,23.65,3.493
29,3.85,2.02,center,0.4,1,0,-0.553924336533033,4.02818040654997,-0.228260869565216,2.9822233201581,-0.251411631846414,2.90362083568605,-0.485460191981935,3.98509175607003,y,13.31,6.792,21.65,3.493
30,3.85,2.02,right,0.4,1,0,-0.550256410256404,4.00959743589741,-0.227863247863244,2.98149829059828,-0.102564102564102,2.28743589743589,-0.538632478632478,4.20899316239316,y,13.31,6.792,19.65,3.493
31,6,2.4,left,0.4,1,0,-0.346099135572822,4.39232465258782,-0.196000656526973,3.64402724586936,-0.221441076704236,3.66316856330015,-0.349190283400811,4.57605263157896,y,19.92,4.752,16.91,5.512
32,6,2.4,center,0.4,1,0,-0.344079449961799,4.38124637127576,-0.193162719633305,3.62912987012985,-0.219060351413292,3.64888464476699,-0.343124522536287,4.53695148968678,y,19.92,4.752,14.91,5.512
33,6,2.4,right,0.4,1,0,-0.349395448079659,4.4126706970128,-0.194049312470366,3.63427690848744,-0.218527738264582,3.64689722617355,-0.354255571360834,4.60692804646752,y,19.92,4.752,12.91,5.512
34,8.5,2.79,left,0.4,1,0,-1,-1,-1,-1,-1,-1,-1,-1,na,-1,-1,-1,-1
35,8.5,2.79,center,0.4,1,0,-0.211879297173415,4.57222383498854,-0.171008403361348,4.27160504201683,-0.188082505729565,4.36471237585944,-0.216730328495033,4.64900954927425,y,34.11,2.341,8.67,7.913
36,8.5,2.79,right,0.4,1,0,-1,-1,-1,-1,-1,-1,-1,-1,na,-1,-1,-1,-1
37,1.6,3.08,left,0.02,0.08,LD+,-1,-1,-1,-1,-1,-1,-1,-1,n,29.55,0.96,7.5,5.422
38,1.6,3.08,center,0.02,0.08,LD+,-1,-1,-1,-1,-1,-1,-1,-1,n,29.55,0.96,6,5.422
39,1.6,3.08,right,0.02,0.08,LD+,-1,-1,-1,-1,-1,-1,-1,-1,na,-1,-1,-1,-1
40,3.85,3.07,left,0.03,0.15,LD+,-0.278246753246755,4.09649675324676,-0.156818181818184,3.70868722943724,-0.162987012987014,3.66493073593074,-0.262987012987012,4.12390692640692,y,17.49,3.944,11.91,6.538
41,3.85,3.07,center,0.03,0.15,LD+,-0.270189098998889,4.06779199110123,-0.153948832035595,3.69915628476084,-0.164794215795327,3.67220782350759,-0.257563959955506,4.10065387467557,y,17.49,3.944,9.91,6.538
42,3.85,3.07,right,0.03,0.15,LD+,0,0,0,0,0,0,0,0,missing,17.49,3.944,7.91,6.538
43,3.85,2.62,left,0.12,0.39,LD+,0,0,0,0,0,0,0,0,n,15.04,5.309,16.28,5.127
44,3.85,2.62,center,0.12,0.39,LD+,0,0,0,0,0,0,0,0,n,15.04,5.309,14.28,5.127
45,3.85,2.62,right,0.12,0.39,LD+,0,0,0,0,0,0,0,0,n,15.04,5.309,12.28,5.127
46,6,2.4,left,0.4,1,LD+,-0.339282363977487,4.35811585365854,-0.193198874296436,3.62943292682927,-0.221552532833022,3.66495145403378,-0.360530018761729,4.6487579737336,y,19.92,4.752,16.91,5.512
47,6,2.4,center,0.4,1,LD+,-0.349706744868034,4.41207019794721,-0.190799120234605,3.61616339809385,-0.225073313782988,3.68781845674485,-0.346315982404691,4.55661473607037,y,19.92,4.752,14.91,5.512
48,6,2.4,right,0.4,1,LD+,-0.339342378816065,4.35560345770873,-0.193730167414381,3.63243352664407,-0.220921326184485,3.66311166429588,-0.370937739358793,4.71494310099574,y,19.92,4.752,12.91,5.512
49,1.6,3.08,left,0.02,0.08,LD-,-1,-1,-1,-1,-1,-1,-1,-1,n,29.55,0.96,7.5,5.422
50,1.6,3.08,center,0.02,0.08,LD-,-1,-1,-1,-1,-1,-1,-1,-1,n,29.55,0.96,6,5.422
51,1.6,3.08,right,0.02,0.08,LD-,-1,-1,-1,-1,-1,-1,-1,-1,na,-1,-1,-1,-1
52,3.85,3.07,left,0.03,0.15,LD-,-0.27217391304348,4.07644275362319,-0.159782608695656,3.71913405797103,-0.169347826086955,3.69169094202898,-0.255760869565216,4.09266195652173,y,17.49,3.944,11.91,6.538
53,3.85,3.07,center,0.03,0.15,LD-,0,0,0,0,0,0,0,0,missing,17.49,3.944,9.91,6.538
54,3.85,3.07,right,0.03,0.15,LD-,0,0,0,0,0,0,0,0,missing,17.49,3.944,7.91,6.538
55,3.85,2.62,left,0.12,0.39,LD-,-1,-1,-1,-1,-1,-1,-1,-1,n,15.04,5.309,16.28,5.127
56,3.85,2.62,center,0.12,0.39,LD-,-1,-1,-1,-1,-1,-1,-1,-1,n,15.04,5.309,14.28,5.127
57,3.85,2.62,right,0.12,0.39,LD-,-1,-1,-1,-1,-1,-1,-1,-1,n,15.04,5.309,12.28,5.127
58,6,2.4,left,0.4,1,LD-,-0.353102089944198,4.43176304847359,-0.194879089615934,3.63787695590329,-0.219662982820879,3.65235064011381,-0.351652259546998,4.59063655761025,y,19.92,4.752,16.91,5.512
59,6,2.4,center,0.4,1,LD-,-0.357313049853372,4.45370646994135,-0.196389296187684,3.64699321847508,-0.221865835777124,3.66720628665688,-0.34063416422287,4.51982496334308,y,19.92,4.752,14.91,5.512
60,6,2.4,right,0.4,1,LD-,-0.292277167277171,4.12771825396827,-0.205433455433459,3.69022486772489,-0.91040903540903,7.9877289377289,-0.903388278388271,7.94529609279605,y,19.92,4.752,12.91,5.512
