rate_SHMS,yieldRel_SHMS_scaler,uncern_yieldRel_SHMS_scaler
1.09445864591738,0.956212345134614,0.061079835678916
0.883522497877153,0.970445992118477,0.061162954583789
0.658532435709229,0.977676786899057,0.061301653453273
0.421013592381228,0.985782105309719,0.061621881690063
0.206739958333999,0.9935096208047,0.062630052381715
0.307202961596637,0.991501778623289,0.061978945856176
0.138953209363297,0.996624647004709,0.06365547872822
0.873337248682582,0.999053720803934,0.065499032057681
0.052574471024145,1,0.069293848551057
0.207610481578455,0.994816567451499,0.062578993452349
1.08853305206716,0.957070323812566,0.061097597547578
1.08784844115493,0.956574727934525,0.061096925241134
