COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events
,5551343,,0.980650229449708,0.001885332894805,-1,,38302,48104090,92929652,65,0.896691932950644,0.002435562220691,0.9954,0.0027,,1025,,65,,,0.877429520114684,2.15531662122709E-39,2,641326065,943932593,1025,0.896691932950644,0.002435562220691,0.9413,0.0037,5500,,,,,40732.9665875222,1.00035964456563,469462,455642,2984,338674,282959,2516,12126,379659,6205.60827016886,585.975603,1346443
,3724095,,0.99704994984597,0.002102800068104,-1,,32625,39431292,75943166,65,0.919989177060796,0.002239446445418,0.996,0.003,,1025,,65,,,0.920209683261756,2.17456789668064E-39,2,536160552,773122381,1025,0.919989177060796,0.002239446445418,0.9527,0.0038,5591,,,,,32994.1350836887,1.00045981221622,377367,366454,3005,292492,247261,2586,12128,394439,6447.19055909944,606.844255,1096373
,2059067,,0.998132882319342,0.002132754044221,-1,,17450,27521925,52771620,65,0.942944621528292,0.0020582601859,0.9966,0.0035,,513,,65,,,0.955962585519175,3.28492624325748E-39,5,381341765,537524244,513,0.942944621528292,0.0020582601859,0.9676,0.0033,5997,,,,,22887.9348562427,1.00063251466836,276119,268495,2183,377573,323825,3814,12129,376391,6513.04864297496,579.078181,1164593
,880707,,0.997868336262207,0.00220373073874,-1,,34426,17713697,33928112,33,0.965168531860614,0.001784095789898,0.9966,0.0031,,513,,33,,,0.982184356290292,4.21276363047619E-39,3,251629130,346254119,513,0.965168531860614,0.001784095789898,0.9762,0.0036,6033,,,,,14713.4125008214,1.00101552681774,344751,335303,3156,294151,253857,2877,12130,197217,6349.06166932483,597.674599,1028614
,353306,,0.999106113439902,0.003175617882133,-1,,19613,8512609,16181016,33,0.983537448926927,0.001470203949614,0.9976,0.0045,,513,,33,,,0.995757820679853,8.47977208757203E-39,6,121947398,164258962,513,0.983537448926927,0.001470203949614,0.9832,0.005,6199,,,,,6952.24043222442,1.00212111072233,166644,162361,3225,144963,125745,2974,12131,194638,6266.03520585977,589.858869,505185
,526820,,0.999762088091598,0.00265055898555,-1,,25842,12241319,23360617,33,0.975169518152459,0.001650147121108,0.9971,0.0037,,513,,33,,,0.990618323363653,6.75124453779411E-39,4,175149702,237737442,513,0.975169518152459,0.001650147121108,0.9805,0.0043,5768,,,,,10090.9132151843,1.00141251654048,239058,232558,3008,206999,179317,2760,12132,188133,6056.6179337232,570.143273,719350
,270642,,0.999824064282273,0.003838988942696,-1,,14418,5845541,11049250,33,0.989109922682678,0.001315361372681,0.9978,0.0055,,513,,33,,,0.998096635199373,1.15605982058182E-38,7,83373351,111464174,513,0.989109922682678,0.001315361372681,0.9865,0.0061,6233,,,,,4706.56427496789,1.00318709265903,110950,108070,3246,86155,80483,2988,12133,197988,6373.88268651427,600.010258,339600
,86094,,0.999694035618213,0.002466207200006,-1,,29610,3664287,6987465,9,0.993197895287167,0.001161386964528,0.9977,0.0036,,129,,9,,,0.99924779290114,1.66702376556204E-38,22,53474551,71212097,129,0.993197895287167,0.001161386964528,0.9885,0.0038,6685,,,,,2998.62712710907,1.00510484671856,262558,255724,3336,221850,207862,3350,12135,55087,6500.3608957795,612.301274,829441
,46254,,0.998638139986921,0.002222429518281,-1,,32684,2383601,4544507,5,0.995936289260207,0.000998915857321,0.9976,0.0033,,65,,5,,,0.999727128983025,1.99593036532782E-38,47,34831993,46293579,65,0.995936289260207,0.000998915857321,0.9898,0.0033,7073,,,,,1940.09386043781,1.00853730269847,303295,295285,3327,283765,265819,3750,12137,33156,7039.27384615385,662.526742,1011218
,292594,,0.99967531622219,0.002141334823554,-1,,37526,9465025,18075864,17,0.983472187089761,0.001431029637105,0.9974,0.003,,257,,17,,,0.995732288830133,5.38416261030347E-39,9,137092485,184466902,257,0.983472187089761,0.001431029637105,0.9848,0.0034,6594,,,,,7812.01059134081,1.00211320465224,352905,343382,3363,284222,264890,3231,12140,112237,7013.20691233692,660.335085,1076350
,3412937,,0.955812889641943,0.002345492404065,-1,,23656,29674472,57230245,65,0.89717734274467,0.002741410055227,0.9956,0.0035,,1025,,65,,,0.878745746925109,1.45848806261158E-38,2,395792244,582252715,1025,0.89717734274467,0.002741410055227,0.9419,0.0045,3346,,,,,25103.3975496694,1.00036210386789,284326,275761,1771,183952,163963,1575,12141,236335,3862.94656660413,363.601494,815884
,3560133,,0.969176382680315,0.002327256707626,-1,,25281,30909539,59612661,65,0.897108836470326,0.00271455418082,0.9954,0.0034,,1025,,65,,,0.878810106945111,1.23825275727063E-38,1,412072550,606456599,1025,0.897108836470326,0.00271455418082,0.9423,0.0045,3503,,,,,26148.3898455324,1.00036215988942,299757,290852,1898,193940,172942,1605,12142,246211,4024.37191744841,378.795919,862000
