rate_SHMS,yieldRel_SHMS_notrack,uncern_yieldRel_SHMS_notrack
1094458.64591738,1.18369776450154,0.012114297598264
883522.497877153,1.13546933560947,0.011811164769031
658532.435709229,1.06979821794309,0.012071077238915
421013.592381228,1.22911127090899,0.012440133348382
206739.958333999,1.21020333496074,0.012897634467634
307202.961596637,1.24923728325285,0.012794665616114
138953.209363297,1.0276951439298,0.012916819509756
87333.7248682582,0.987675758198995,0.01283024694006
52574.4710241447,1,0.012172984661971
207610.481578455,1.02406039654553,0.011808291347886
1088533.05206716,0.941480803029682,0.015215138413567
1087848.44115493,0.94814556859618,0.014942885010772
