rate_HMS,yieldRel_HMS_scaler,uncern_yieldRel_HMS_scaler
0.158589626469483,0.997844031465503,0.006332380312392
0.125144409581664,1.00225469113373,0.005083065152377
0.091130389179695,0.999331241991578,0.003962850372911
0.056766862866126,0.9975335655713,0.003269876442076
0.027432012724386,0.996954436595799,0.00452760510569
0.040973239721097,0.998048282445051,0.003485987828562
0.018415101829809,0.997434781422713,0.006466520105645
0.011411808690766,0.997558679765684,0.010153050982873
0.006859356327688,1,0.016855146449101
0.027373774937311,0.997625229228317,0.004512886564013
0.157398266905911,0.998561093029206,0.006293856093898
0.157374084592501,0.998549262038008,0.006292703191399
