CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_eLT,HMS_eLT_uncern,HMS_evts_scaler,HMS_evts_scaler_uncern,HMS_track,HMS_track_uncern,PS4,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_eLT,SHMS_eLT_uncern,SHMS_evts_scaler,SHMS_evts_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,h_int_goodscin_evts,p_int_goodscin_evts,run number,sent_edtm,time
0.99832774131033,0.061517137296865,14119,885604,0.983480463456097,0.002663236301012,653,25.5538646783613,0.9986,0.0005,1025,12243,12109395,0.983480463456097,0.002663236301012,64,8,0.9636,0.0257,646,3742.46829274188,552.666666666667,3,12143,35593,54.759965
0.992523819432936,0.036206685973216,51837,800324,0.983381706750421,0.002721055624947,2598,50.9705797494986,0.9971,0.0004,257,48155,11237641,0.983381706750421,0.002721055624947,227,15.0665191733194,0.9612,0.0123,672,3480.83802412431,2163.91666666667,21.3333333333333,12144,9889,50.7901
0.992459521367985,0.036980178054183,51858,780250,0.986829475329082,0.00243677281977,2127,46.1194102304008,0.9965,0.0004,257,48134,10954151,0.986829475329082,0.00243677281977,187,13.6747943311773,0.9495,0.0152,765,3378.607213107,1787.33333333333,8,12145,10557,62.106546
0.985562551237224,0.03469420765778,50305,411146,0.990482287782408,0.0024258981077,1622,40.2740611312045,0.9967,0.0004,129,49685,5823335,0.990482287782408,0.0024258981077,134,11.5758369027902,0.9703,0.0112,544,1783.18128017204,1397.91666666667,4,12147,4103,45.605189
0.973383756154131,0.029597989601981,47660,246050,0.994031425747299,0.002178938849894,950,30.8220700148449,0.9964,0.0004,65,52317,3510979,0.994031425747299,0.002178938849894,85,9.21954445729289,0.9409,0.0178,481,1067.56021952114,810,4.66666666666667,12148,2251,43.819924
0.972893621206106,0.030903057930747,47677,233975,0.995676327466339,0.001879017884564,700,26.4575131106459,0.998,0.0003,65,52299,3335148,0.995676327466339,0.001879017884564,60,7.74596669241483,0.9615,0.0136,655,1006.51892599124,580,1,12150,2887,57.832858
0.949780822115462,0.0291234999428,43674,118630,0.997185162631412,0.001797971256825,477,21.8403296678416,0.998,0.0003,33,56304,1683331,0.997185162631412,0.001797971256825,39,6.2449979983984,0.9712,0.0118,511,507.444249597288,392.333333333333,0,12151,1315,43.865251
0.938978990565473,0.037088853760158,53605,107257,0.998173374161259,0.001482743262001,349,18.6815416922694,0.9972,0.0004,33,46369,1530769,0.998173374161259,0.001482743262001,32,5.65685424949238,0.9752,0.0124,641,455.963950905169,288.666666666667,1,12152,1210,59.680844
0.997393079299633,0.004211912906651,53258,63571863,0.927700316170598,0.00220232674901,7288,85.3697838816522,0.9926,0.0002,513,96738,459598251,0.927700316170598,0.00220232674901,514,22.6715680975093,0.9359,0.0029,63,31465.6687346349,5873.5,62,12167,51903,576.922399
0.975745818904761,0.00512949665311,27550,22057,0.987298074159241,0.005731556546497,1051,32.4191301548946,0.9974,0.0005,9,69229,330542,0.987298074159241,0.005731556546497,73,8.54400374531753,0.9626,0.0113,62,51.2550785847928,863.666666666667,0,12155,20,2.000292
