COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events,c_int_Track_events,c_int_noTrack_events,c_int_Track_Rand_events,c_int_noTrack_Rand_events,HMS_3-4Trig_scaler,SHMS_3-4Trig_scaler
,38504.0,,0.8076147003646391,0.0008373089364592,255917.0,8453687.0,5.0,0.9986698557664152,0.0008292475392194,0.9974,0.0015,,,,5.0,,,,11673783.0,,0.9986698557664152,0.0008292475392194,0.9965,0.0151,4904.0,28795.228772018432,0.9994423231602658,1293288.0716806687,1296623.9503133183,4904.0,-1.0,-1.0,-1.0,16729,25099.0,5019.8,486.619157,1676901,,,,,,
,397782.0,,0.8150495011641797,0.0008947423678661,261713.0,13566996.0,9.0,0.9982017932566886,0.0008577486337235,0.9973,0.0016,,,,9.0,,,,18632390.0,,0.9982017932566886,0.0008577486337235,0.9834,0.0139,41097.0,45410.34280268321,0.9995852294194992,1136105.6786727796,1138179.821572061,41097.0,-1.0,-1.0,-1.0,16728,370980.0,41220.0,570.753765,1509584,,,,,,
,4966229.0,,0.7943696897992317,0.0010928146667075,136120.0,122307982.0,129.0,0.992885551745214,0.0009795514257723,0.9955,0.0021,,,,129.0,,,,552830580.0,,0.992885551745214,0.0009795514257723,0.983,0.0049,12540.0,78463.10258095418,0.999441897840124,690153.6785197237,685515.1123107281,12540.0,-1.0,-1.0,-1.0,16704,1711809.0,13269.837209302326,1326.9826369999998,948123,,,,,,
,389247.0,,0.7961202003476853,0.0008858140589732,214794.0,24679941.0,17.0,0.997003724669351,0.0009480600249969,0.9968,0.0017,,,,17.0,,,,111538718.0,,0.997003724669351,0.0009480600249969,0.9926,0.0058,6222.0,15864.093693698123,0.998666575675016,1085348.2939213212,1083786.9254437687,6222.0,-1.0,-1.0,-1.0,16708,109832.0,6460.705882352941,641.017225,1450801,,,,,,
,12343.0,,0.8109616960627115,0.0014467792638952,88628.0,1711053.0,3.0,0.9996469247804332,0.0006369756056996,0.9976,0.0026,,,,3.0,,,,2355220.0,,0.9996469247804332,0.0006369756056996,0.9972,0.0526,3913.0,5829.692043980696,0.9977907859204506,440643.8381779574,442252.6301604912,3913.0,-1.0,-1.0,-1.0,16732,11704.0,3901.3333333333335,390.273871,568992,,,,,,
,28595.0,,0.8175168535275245,0.0016365421020507,92744.0,453605.0,1.0,0.9999372537706336,0.0003747340241685,0.998,0.0031,,,,1.0,,,,614045.0,,0.9999372537706336,0.0003747340241685,0.9091,0.1986,28575.0,1503.8126523220783,0.9685330961181028,331823.76983466913,333212.743397985,28575.0,-1.0,-1.0,-1.0,16737,28581.0,28581.0,1433.949339,453543,,,,,,
,13241.0,,0.7977792379555098,0.0010474229383941,165244.0,2088754.0,2.0,0.9996358657677852,0.0006127359607105,0.9978,0.002,,,,2.0,,,,9368791.0,,0.9996358657677852,0.0006127359607105,0.9968,0.0206,5507.0,1346.7572748868638,0.9869710599257956,792287.9316984302,793591.2024584741,5507.0,-1.0,-1.0,-1.0,16712,10872.0,5436.0,531.721813,1042937,,,,,,
,239631.0,,0.7978002079068665,0.0010669413887052,155679.0,17089943.0,17.0,0.9981904078993604,0.0008077258280822,0.9972,0.002,,,,17.0,,,,76906468.0,,0.9981904078993604,0.0008077258280822,0.992,0.0088,7189.0,10927.533132530856,0.9977841387361328,755757.6272807071,755417.2712146397,7189.0,-1.0,-1.0,-1.0,16709,124716.0,7336.235294117647,733.7544660000001,1005192,,,,,,
,31543.0,,0.814521787635193,0.00100146927559,207363.0,1200640.0,1.0,0.9999120248339776,0.0003475739148511,0.9977,0.0018,,,,1.0,,,,1645113.0,,0.9999120248339776,0.0003475739148511,0.988,0.0888,31420.0,4056.776990196138,0.987169404094238,913361.9968398234,918210.4785936982,31420.0,-1.0,-1.0,-1.0,16736,31439.0,31439.0,1577.298977,1200308,,,,,,
,13053.0,,0.8100911280483492,0.0008932800792081,234552.0,1493902.0,1.0,0.9997922554169564,0.0005054508859454,0.9977,0.0016,,,,1.0,,,,2057021.0,,0.9997922554169564,0.0005054508859454,0.9981,0.0436,12664.0,5092.776507285096,0.9958641001874184,1152230.733300405,1156750.253604259,12664.0,-1.0,-1.0,-1.0,16734,12725.0,12725.0,638.2791940000001,1487621,,,,,,
,12524.0,,0.8123231514759717,0.0009716843183733,195697.0,2533984.0,2.0,0.9996361738190808,0.0005860815220526,0.9978,0.0018,,,,2.0,,,,3490212.0,,0.9996361738190808,0.0005860815220526,0.9975,0.035,5745.0,8643.959606421693,0.997791251426856,986226.2979537928,989963.3628996988,5745.0,-1.0,-1.0,-1.0,16733,11549.0,5774.5,578.5555589999999,1269492,,,,,,
,21027.0,,0.8103551863115644,0.0009001996709277,225297.0,4412450.0,3.0,0.999420268706118,0.000644046421232,0.9977,0.0016,,,,3.0,,,,6085604.0,,0.999420268706118,0.000644046421232,0.9955,0.0253,6026.0,15065.094171690547,0.9986716276858988,1136971.3145504247,1140997.2998592765,6026.0,-1.0,-1.0,-1.0,16731,18223.0,6074.333333333333,606.425879,1467024,,,,,,
,19124.0,,0.8130122476140738,0.0008809118760549,247718.0,1545108.0,1.0,0.9998565384799716,0.0004165629687443,0.9978,0.0016,,,,1.0,,,,2125755.0,,0.9998565384799716,0.0004165629687443,0.9945,0.0524,18775.0,5260.3309648861405,0.994055973153454,1190106.5145613784,1194988.2303861666,18775.0,-1.0,-1.0,-1.0,16735,18883.0,18883.0,947.5014690000002,1540611,,,,,,
,54877.0,,0.9979922266441088,0.0013682356115936,75340.0,3523016.0,3.0,0.997172122093666,0.0007710680557038,0.9978,0.002,,33.0,,3.0,,,206.0,50259859.0,33.0,0.997172122093666,0.0007710680557038,0.9906,0.0019,13766.0,15436.873215905183,1.0021154656447109,764995.8018366371,760613.0239131964,6038.0,832933.5972501345,774658.5843253648,7730.0,12151,39173.0,13849.040404040405,1306.246998,2701456,,,,,,
,114797.0,,0.9971805619772814,0.0013183111908875,93293.0,6835105.0,5.0,0.9941015793671651,0.0009438517662,0.9977,0.0019,,65.0,,5.0,,,95.0,97520493.0,65.0,0.9941015793671651,0.0009438517662,0.9894,0.0019,12896.0,30112.889293440287,1.00101162212394,890696.988435955,885212.715700856,6174.0,826812.7808935391,768062.0220954111,6725.0,12148,60891.0,12927.627692307691,1218.514601,2865250,,,,,,
,14209.0,,0.9974118866099408,0.0013544842190193,64036.0,1112716.0,1.0,0.9994703329255809,0.0005194907049814,0.9979,0.0021,,5.0,,1.0,,,1404.0,8491832.0,5.0,0.9994703329255809,0.0005194907049814,0.9916,0.0017,11987.0,5852.909994906789,1.0051431105554665,729866.2496561813,726007.9920359651,4748.0,962731.7959435872,908687.6661039856,7261.0,12190,12016.0,12016.0,1204.086527,2803808,,,,,,
,92446.0,,0.9982701025248022,0.0015371892968761,70583.0,5041973.0,5.0,0.9957539219322108,0.000864375336228,0.9978,0.0022,,65.0,,5.0,,,100.0,71793704.0,65.0,0.9957539219322108,0.000864375336228,0.9899,0.0023,13165.0,22108.24159266931,1.0014086618499014,654065.7180213802,650339.2229064555,6278.0,606938.834836103,563863.0466951485,6893.0,12150,62186.0,13202.566153846155,1245.72146,2109259,,,,,,
,434130.0,,0.9997191781771452,0.0017219455258649,64253.0,14863183.0,17.0,0.9869093212650708,0.0011628445947599,0.9976,0.0023,,257.0,,17.0,,,21.0,208919393.0,257.0,0.9869093212650708,0.0011628445947599,0.9866,0.0026,12471.0,64960.283429542185,1.0004576478169502,569989.7116960251,566212.3922535991,6478.0,461018.39842447307,424325.5068905766,5994.0,12145,202122.0,12629.733577477684,1189.157276,1695709,,,,,,
,248135.0,,0.9983060122493302,0.0014070727059314,89667.0,11394816.0,9.0,0.9905371328763908,0.0010540853086525,0.9976,0.002,,129.0,,9.0,,,52.0,161471812.0,129.0,0.9905371328763908,0.0010540853086525,0.9878,0.0021,13016.0,50099.29004948513,1.0006315596886453,822159.5766378413,816878.5195783599,6568.0,699857.7122669148,646301.5063955932,6448.0,12147,113866.0,13436.384151593453,1265.627681,2517535,,,,,,
,76369.0,,0.997458981760078,0.0035318690855216,14709.0,3386918.0,17.0,0.9926694280840336,0.0014660070569345,0.9974,0.0046,,129.0,,17.0,,,15.0,25770252.0,129.0,0.9926694280840336,0.0014660070569345,0.989,0.0047,2986.0,17927.129663808148,1.0003635854231678,135203.10875871812,134615.17834051396,1481.0,121113.42689411945,113318.83567265718,1507.0,12191,44277.0,2927.5718194254446,260.72172099999995,411123,,,,,,
,566824.0,,0.9992517520399368,0.0015356169964368,77603.0,18686734.0,17.0,0.9834804282447356,0.0012342443587565,0.9975,0.0021,,257.0,,17.0,,,22.0,262292272.0,257.0,0.9834804282447356,0.0012342443587565,0.9855,0.0023,12468.0,82134.47691993644,1.000362690140817,718021.9299353816,712849.9677589225,6490.0,580437.4421451655,533229.4027929648,5979.0,12144,203789.0,12733.897230487526,1191.5746,2129563,,,,,,
,94109.0,,0.9959475310953996,0.0019589437737456,41007.0,5576974.0,9.0,0.9939140122645828,0.0011523230394476,0.9976,0.0029,,65.0,,9.0,,,35.0,43922761.0,65.0,0.9939140122645828,0.0011523230394476,0.9892,0.0029,6162.0,5570.997749514672,1.002542451637363,383497.82551172754,380849.8910521949,2947.0,358117.5833007622,334529.473926647,3216.0,12197,51085.0,6374.709401709402,566.5596939999999,1280507,,,,,,
,29856.0,,0.9992644665092388,0.0017064615998083,46745.0,2228045.0,3.0,0.9989547756086395,0.0006130411473233,0.9978,0.0026,,17.0,,3.0,,,273.0,17056722.0,17.0,0.9989547756086395,0.0006130411473233,0.9916,0.0023,8782.0,11797.055026505132,1.0025599411490536,489232.2095969463,486386.1481660057,3754.0,572460.9101602843,539583.1244274927,5029.0,12189,24076.0,8969.490196078432,1207.990664,1747733,,,,,,
,8527922.0,,0.7915032792613251,0.0008859129985426,273066.0,184484899.0,129.0,0.9905791561333398,0.0010168649107536,0.9948,0.0016,,,,129.0,,,,839874824.0,,0.9905791561333398,0.0010168649107536,0.9792,0.0036,14247.0,120779.44833994136,0.9995845313908808,943939.7515777238,944237.0143010943,14247.0,-1.0,-1.0,-1.0,16703,1961587.0,15206.100775193798,1520.6081639999995,1430016,,,,,233065445.0,839874824.0
,52069.0,,0.999971664238902,0.0140478233110472,1211.0,885604.0,65.0,0.9834804634560969,0.002663236301012,0.9987,0.0189,,1025.0,,65.0,,,,12109395.0,1025.0,0.9834804634560969,0.002663236301012,0.9835,0.0217,609.0,3780.148224318751,1.0003621548795874,8935.97075609167,8888.054292641218,326.0,6850.69681250242,6382.941485839869,283.0,12143,35593.0,581.7752645403377,54.759965,26362,,,,,1555791.0,15361934.0
,163592.0,,0.999441811792052,0.0033956334411809,15296.0,7119907.0,33.0,0.9889632404062236,0.0014601219124824,0.9973,0.0048,,257.0,,33.0,,,4.0,55885692.0,257.0,0.9889632404062236,0.0014601219124824,0.9871,0.0051,2435.0,7138.44345791052,1.0014126228616165,137399.05496538684,136337.10727664697,1233.0,119415.3091533664,111420.57104043178,1202.0,12196,69657.0,2373.64379200566,403.3571369999999,442946,,,,,13394552.0,75411390.0
,270642.0,,0.9998240642822736,0.0038389889426964,14418.0,5845541.0,33.0,0.9891099226826784,0.0013153613726811,0.9978,0.0055,,513.0,,33.0,,,7.0,83373351.0,513.0,0.9891099226826784,0.0013153613726811,0.9865,0.0061,6233.0,4706.564274967894,1.0031870926590294,106015.3857749358,105257.26571123303,3246.0,86974.04589922019,78253.07340995934,2988.0,12133,197988.0,6373.8826865142655,600.0102580000001,339600,,,,,11049250.0,111464174.0
,353306.0,,0.9991061134399016,0.0031756178821328,19613.0,8512609.0,33.0,0.9835374489269272,0.0014702039496142,0.9976,0.0045,,513.0,,33.0,,,6.0,121947398.0,513.0,0.9835374489269272,0.0014702039496142,0.9832,0.005,6199.0,6952.240432224418,1.002121110722329,158523.42460706772,157469.34090145482,3225.0,152889.80381302015,123908.44806817488,2974.0,12131,194638.0,6266.035205859767,589.8588689999999,505185,,,,,16181016.0,164258962.0
,86094.0,,0.9996940356182128,0.0024662072000061,29610.0,3664287.0,9.0,0.9931978952871672,0.0011613869645277,0.9977,0.0036,,129.0,,9.0,,,22.0,53474551.0,129.0,0.9931978952871672,0.0011613869645277,0.9885,0.0038,6685.0,2998.627127109071,1.0051048467185577,250961.3648695233,249377.1996786396,3336.0,223144.50806287013,201931.14308564545,3350.0,12135,55087.0,6500.3608957795,612.301274,829441,,,,,6987465.0,71212097.0
,46254.0,,0.9986381399869212,0.0022224295182812,32684.0,2383601.0,5.0,0.9959362892602072,0.0009989158573205,0.9976,0.0033,,65.0,,5.0,,,47.0,34831993.0,65.0,0.9959362892602072,0.0009989158573205,0.9898,0.0033,7073.0,1940.093860437812,1.0085373026984696,290656.1420159711,288893.34996558726,3327.0,284407.3994731958,257806.15468662413,3750.0,12137,33156.0,7039.273846153846,662.5267419999999,1011218,,,,,4544507.0,46293579.0
,526820.0,,0.9997620880915984,0.0026505589855502,25842.0,12241319.0,33.0,0.9751695181524588,0.001650147121108,0.9971,0.0037,,513.0,,33.0,,,4.0,175149702.0,513.0,0.9751695181524588,0.001650147121108,0.9805,0.0043,5768.0,10090.91321518427,1.0014125165404804,228149.029471383,226234.5624931035,3008.0,220358.53441722583,177866.6147369519,2760.0,12132,188133.0,6056.617933723197,570.143273,719350,,,,,23360617.0,237737442.0
,3412937.0,,0.9558128896419432,0.0023454924040646,23656.0,29674472.0,65.0,0.8971773427446706,0.0027414100552271,0.9956,0.0035,,1025.0,,65.0,,,2.0,395792244.0,1025.0,0.8971773427446706,0.0027414100552271,0.9419,0.0045,3346.0,25103.397549669447,1.0003621038678934,272482.6986683815,268533.58354406105,1771.0,187866.0558745,158185.43313039618,1575.0,12141,236335.0,3862.946566604128,363.601494,815884,,,,,57230245.0,582252715.0
,292594.0,,0.9996753162221902,0.0021413348235536,37526.0,9465025.0,17.0,0.9834721870897613,0.0014310296371046,0.9974,0.003,,257.0,,17.0,,,9.0,137092485.0,257.0,0.9834721870897613,0.0014310296371046,0.9848,0.0034,6594.0,7812.010591340814,1.0021132046522438,337340.3473904666,334894.4971856736,3363.0,289641.47039306804,259214.7628355761,3231.0,12140,112237.0,7013.206912336919,660.3350849999999,1076350,,,,,18075864.0,184466902.0
,42930.0,,0.998779601716187,0.0019676674901146,38802.0,2959206.0,5.0,0.9969594609329072,0.0009546853431061,0.9978,0.0029,,33.0,,5.0,,,97.0,23251667.0,33.0,0.9969594609329072,0.0009546853431061,0.9904,0.0028,6668.0,2934.65526695237,1.0050956511718427,371212.0882602416,368858.4101022177,3056.0,377834.5485023892,355666.25163311133,3614.0,12198,29861.0,6696.10303030303,598.159182,1299220,,,,,5549027.0,31025566.0
,3724095.0,,0.9970499498459696,0.0021028000681044,32625.0,39431292.0,65.0,0.9199891770607962,0.0022394464454183,0.996,0.003,,1025.0,,65.0,,,2.0,536160552.0,1025.0,0.9199891770607962,0.0022394464454183,0.9527,0.0038,5591.0,32994.1350836887,1.0004598122162172,359836.9851714809,355675.819302935,3005.0,324937.76829661336,252474.9415395044,2586.0,12128,394439.0,6447.190559099437,606.844255,1096373,,,,,75943166.0,773122381.0
,3560133.0,,0.9691763826803153,0.0023272567076261,25281.0,30909539.0,65.0,0.897108836470326,0.00271455418082,0.9954,0.0034,,1025.0,,65.0,,,1.0,412072550.0,1025.0,0.897108836470326,0.00271455418082,0.9423,0.0045,3503.0,26148.38984553236,1.0003621598894212,287487.77416046115,283311.060133063,1898.0,198042.8336735644,166596.30796369314,1605.0,12142,246211.0,4024.371917448405,378.795919,862000,,,,,59612661.0,606456599.0
