COINTRIG_cut,COINTRIG_scaler,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_eLT,HMS_eLT_uncern,HMS_track,HMS_track_uncern,PS1,PS4,PS5,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_eLT,SHMS_eLT_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,coin_int_etotnorm_evts,coin_int_etotnorm_evts_rand,coin_int_etottracknorm_evts,coin_int_etottracknorm_evts_rand,coin_int_noct,coin_int_noct_notrack,h_int_etotnorm_evts,h_int_etottracknorm_evts,p_int_etotnorm_evts,p_int_etottracknorm_evts,run number,sent_edtm,time,tot_events
560350,746737.0,0.9827559813587609,0.0018833142030949496,583762,17713352.0,0.9680470265717296,0.001462437544232022,0.9973694935786152,6.387011913154379e-05,513,17,1,998880,643535582.0,0.9680470265717296,0.001462437544232022,0.9829871452300908,0.0002459968137854256,11742,65821.95313741363,19320.58628716721,14816.051214343544,9101.801101296993,7514.459457972767,65155.11782965293,65155.11782965293,601073.291754697,89703.70474335432,53363.60118598323,3870.7815642158016,12221,12014.0,1205.6691790000002,2990678
683135,1054527.0,0.9760361956473677,0.002360798534957659,889935,21072617.0,0.960512556956435,0.0015626488206796053,0.9968629101875348,6.190021217241747e-05,1025,17,1,585128,760461393.0,0.960512556956435,0.0015626488206796053,0.9793694721176346,0.00027810512675543444,11260,78931.98971376657,22779.301990590287,21496.054780041573,10767.974748392538,10684.17590371533,89969.36796931559,89969.36796931559,706399.5321323038,122616.30661543939,39086.24097295065,5137.9214036101785,12218,11556.0,1159.5754899999995,2969297
22,512688.0,0.9815559245503716,0.0022390346122667134,232162,12385700.0,0.9687811446178721,0.0015797533481780295,0.9971317436391316,8.045726568659594e-05,513,17,1,386187,450810776.0,0.9687811446178721,0.0015797533481780295,0.9830784376449268,0.00029449753528928144,7271,46186.791919448864,13318.018247652995,10154.062310540761,6207.690283832879,5068.510160399951,44522.369046404776,44522.369046404776,420296.41187969147,60645.08624066407,37412.028858607766,2565.7036336366355,12233,8592.0,862.0535610000003,2076534
7,414972.0,0.9868676886423212,0.0021129449745295697,256274,12697915.0,0.977195726681232,0.001336032028349574,0.9973728769827224,7.878256900878066e-05,513,17,1,434132,465642595.0,0.977195726681232,0.001336032028349574,0.9869650785056022,0.0002659622859653873,10880,46996.04815806441,13660.809818285416,7884.7073049080545,6493.520355239547,3971.3189649769342,37604.59556170687,37604.59556170687,438511.64573532616,49249.94472996191,37084.30721012037,2070.950199467437,12234,12071.0,1211.286685,2049864
2,191066.0,0.9897564872622304,0.0016954201248597768,341600,7990637.0,0.9857659340497212,0.0011804249648166144,0.9974221626130544,8.09314564363153e-05,257,9,1,516124,294761766.0,0.9857659340497212,0.0011804249648166144,0.9905812448877644,0.00022593942831635992,11223,29470.689757130487,8345.93562326455,3277.1725796559003,3886.1652640321777,1691.2112120793604,18120.950622902885,18120.950622902885,527593.2483497972,39755.223120199735,44274.109157123654,1637.3365511625077,12243,12123.0,1216.4366300000002,2206694
1,113642.0,0.9895933201701133,0.0014098656156287883,427582,5603614.0,0.9896927537156225,0.0010957552378564842,0.9977153251930536,7.112340370366589e-05,129,5,1,803742,207205542.0,0.9896927537156225,0.0010957552378564842,0.9919611271513775,0.00018560323958969707,10897,20511.571360266327,6113.910774102014,1638.5379832157691,2975.1845927348877,804.3308873951722,11140.209762634602,11140.209762634602,663550.0773448374,37716.89450705831,59972.67687657865,1569.1851659177908,12250,11747.0,1178.712546,2815742
