COINTRIG_cut,COINTRIG_scaler,COIN_scaler_accp,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_eLT,HMS_eLT_uncern,HMS_scaler_accp,HMS_track,HMS_track_uncern,PS1,PS4,PS5,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_eLT,SHMS_eLT_uncern,SHMS_scaler_accp,SHMS_track,SHMS_track_uncern,TLT,accp_edtm,charge,coin_int_etotnorm_evts,coin_int_etotnorm_evts_rand,coin_int_etottracknorm_evts,coin_int_etottracknorm_evts_rand,coin_int_noct,coin_int_noct_notrack,current,h_int_etotnorm_evts,h_int_etottracknorm_evts,max_yield_COIN_notrack,max_yield_COIN_scaler,max_yield_COIN_track,max_yield_HMS_notrack,max_yield_HMS_scaler,max_yield_HMS_track,max_yield_SHMS_notrack,max_yield_SHMS_scaler,max_yield_SHMS_track,p_int_etotnorm_evts,p_int_etottracknorm_evts,rate_COIN,rate_HMS,rate_SHMS,run number,sent_edtm,sent_edtm_PS,time,tot_events,uncern_COIN_evts_notrack,uncern_COIN_evts_scaler,uncern_COIN_evts_track,uncern_HMS_evts_notrack,uncern_HMS_evts_scaler,uncern_HMS_evts_track,uncern_SHMS_evts_notrack,uncern_SHMS_evts_scaler,uncern_SHMS_evts_track,yieldRel_COIN_notrack,yieldRel_COIN_scaler,yieldRel_COIN_track,yieldRel_HMS_notrack,yieldRel_HMS_scaler,yieldRel_HMS_track,yieldRel_SHMS_notrack,yieldRel_SHMS_scaler,yieldRel_SHMS_track,yield_COIN_notrack,yield_COIN_scaler,yield_COIN_track,yield_HMS_notrack,yield_HMS_scaler,yield_HMS_track,yield_SHMS_notrack,yield_SHMS_scaler,yield_SHMS_track
560350,746737.0,734723.0,0.9827559813587609,0.0018833142030949496,583762,17713352.0,0.9680470265717296,0.001462437544232022,17701338.0,0.9973694935786152,6.387011913154379e-05,513,17,1,998880,643535582.0,0.9680470265717296,0.001462437544232022,643523568.0,0.9829871452300908,0.0002459968137854256,0.9773597469618778,11742,65821.95313741363,19320.58628716721,14816.051214343544,9101.801101296993,7514.459457972767,65155.11782965293,65155.11782965293,54.5937096874346,601073.291754697,89703.70474335432,0.25565777209885077,13.213539957400755,0.11969122297522036,157.3102439805544,266.82541611296455,28.36151311444236,522.0811985046566,9634.24132291156,1669.7536603642568,53363.60118598323,3870.7815642158016,619.3548056186977,14691.718349051367,533758.0102476849,12221,12014.0,12014.0,1205.6691790000002,2990678,0.009766317749036699,0.0011572206229742497,0.014369987046822241,0.0012898413174822379,0.00023760174369389652,0.00333883386778156,0.004328898819983595,3.941973656735484e-05,0.01607313779907116,1.0450663052934968,0.8447606739984526,1.039787367526584,1.0161423609914233,1.0078783921206822,0.8738133785879764,0.8170180333272692,1.014789982303241,0.43643216914032085,0.2671793233069128,11.162278920319347,0.12445342165344178,159.84960272653737,268.92757136886667,24.78266959639808,426.5497540394182,9776.731581582573,728.7342119227632
683135,1054527.0,1042971.0,0.9760361956473677,0.002360798534957659,889935,21072617.0,0.960512556956435,0.0015626488206796053,21061061.0,0.9968629101875348,6.190021217241747e-05,1025,17,1,585128,760461393.0,0.960512556956435,0.0015626488206796053,760449837.0,0.9793694721176346,0.00027810512675543444,0.9743856005538248,11260,78931.98971376657,22779.301990590287,21496.054780041573,10767.974748392538,10684.17590371533,89969.36796931559,89969.36796931559,68.06972930565013,706399.5321323038,122616.30661543939,0.25565777209885077,13.213539957400755,0.11969122297522036,157.3102439805544,266.82541611296455,28.36151311444236,522.0811985046566,9634.24132291156,1669.7536603642568,39086.24097295065,5137.9214036101785,909.4078040576733,18172.699562664962,655810.1646318864,12218,11556.0,11556.0,1159.5754899999995,2969297,0.009253294627166668,0.0009738030895345148,0.013555673143855324,0.001189802284701445,0.00021784157238559143,0.0028557874768379713,0.005058107409538604,3.626280667225258e-05,0.013951029973184405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25565777209885077,13.213539957400755,0.11969122297522036,157.3102439805544,266.82541611296455,28.36151311444236,522.0811985046566,9634.24132291156,1669.7536603642568
22,512688.0,504096.0,0.9815559245503716,0.0022390346122667134,232162,12385700.0,0.968781144617872,0.0015797533481780295,12377108.0,0.9971317436391316,8.045726568659594e-05,513,17,1,386187,450810776.0,0.968781144617872,0.0015797533481780295,450802184.0,0.9830784376449268,0.00029449753528928144,0.8462523277467412,7271,46186.791919448864,13318.018247652995,10154.062310540761,6207.690283832879,5068.510160399951,44522.369046404776,44522.369046404776,53.5776360181973,420296.41187969147,60645.08624066407,0.25565777209885077,13.213539957400755,0.11969122297522036,157.3102439805544,266.82541611296455,28.36151311444236,522.0811985046566,9634.24132291156,1669.7536603642568,37412.028858607766,2565.7036336366355,594.7287073500063,14367.66873932094,522949.8448762859,12233,8592.0,8592.0,862.0535610000003,2076534,0.011754137968363373,0.0013966044573307953,0.01737417693486683,0.0015424892954406825,0.0002841448059488632,0.004060712019841313,0.005170045553061443,4.709804232610643e-05,0.019742254919048786,1.1868634985916824,0.8259928182471761,1.1694512775680403,1.169304757369101,1.0043248011197556,0.9729853312216525,0.9427123700874196,1.0130962158664685,0.48559678431594916,0.303430877835397,10.91428910843512,0.13997305362205265,183.94361666935626,267.97938297134914,27.595336231602943,492.17240402040545,9760.41342698606,810.8270080726686
7,414972.0,402901.0,0.9868676886423212,0.0021129449745295697,256274,12697915.0,0.977195726681232,0.001336032028349574,12685844.0,0.9973728769827224,7.878256900878066e-05,513,17,1,434132,465642595.0,0.977195726681232,0.001336032028349574,465630524.0,0.9869650785056022,0.0002659622859653873,0.9013337751636152,10880,46996.04815806441,13660.809818285416,7884.7073049080545,6493.520355239547,3971.3189649769342,37604.59556170687,37604.59556170687,38.79845187769435,438511.64573532616,49249.94472996191,0.25565777209885077,13.213539957400755,0.11969122297522036,157.3102439805544,266.82541611296455,28.36151311444236,522.0811985046566,9634.24132291156,1669.7536603642568,37084.30721012037,2070.950199467437,342.58776649559223,10482.997260058217,384419.8080985262,12234,12071.0,12071.0,1211.286685,2049864,0.011209454856621535,0.0015523534208451576,0.016371633782230822,0.001510112958075719,0.00028062980352911386,0.004506061619022438,0.005192839682564784,4.634188013573366e-05,0.02197430621984387,1.158204602511067,0.6488104300204304,1.1684809027263479,1.1243753544612716,1.011651269749694,0.7301321541126508,0.8619460906096967,1.0284012164583256,0.36246648554475297,0.2961040083126144,8.573082541853323,0.13985690827050606,176.87576133602496,269.93427101217105,20.707652664141996,450.00584803191384,9907.865496135315,605.2297409977192
2,191066.0,178943.0,0.9897564872622304,0.0016954201248597768,341600,7990637.0,0.9857659340497212,0.0011804249648166144,7978514.0,0.9974221626130544,8.09314564363153e-05,257,9,1,516124,294761766.0,0.9857659340497212,0.0011804249648166144,294749643.0,0.9905812448877644,0.00022593942831635992,0.9257609502598366,11223,29470.689757130487,8345.93562326455,3277.1725796559003,3886.1652640321777,1691.2112120793604,18120.950622902885,18120.950622902885,24.22706537300712,527593.2483497972,39755.223120199735,0.25565777209885077,13.213539957400755,0.11969122297522036,157.3102439805544,266.82541611296455,28.36151311444236,522.0811985046566,9634.24132291156,1669.7536603642568,44274.109157123654,1637.3365511625077,157.07024541015338,6568.888837226151,242315.75959694662,12243,12123.0,12123.0,1216.4366300000004,2206694,0.01374644161373926,0.0022877485784602485,0.02036147475178201,0.0013767351014502985,0.00035376046740391175,0.005015369128706988,0.00475253237753728,5.8245774578175094e-05,0.02471331595259836,1.1317822106603035,0.459520860152244,1.1171203413304829,1.1105798941169012,1.014622562156962,0.4870746243772382,0.8001047274333066,1.0381150008051883,0.2268115851737391,0.2893489184785254,6.071897246880841,0.1337094998643411,174.70559410342798,270.7270873451336,13.814173346987127,417.71963502762236,10001.45043869171,378.71947455687024
1,113642.0,101895.0,0.9895933201701133,0.0014098656156287886,427582,5603614.0,0.9896927537156224,0.0010957552378564842,5591867.0,0.9977153251930536,7.112340370366589e-05,129,5,1,803742,207205542.0,0.9896927537156224,0.0010957552378564842,207193795.0,0.9919611271513776,0.00018560323958969707,0.9276410998552822,10897,20511.571360266327,6113.910774102014,1638.5379832157694,2975.1845927348877,804.3308873951722,11140.209762634602,11140.209762634602,17.401673910974324,663550.0773448374,37716.894507058314,0.25565777209885077,13.213539957400755,0.11969122297522036,157.3102439805544,266.82541611296455,28.36151311444236,522.0811985046566,9634.24132291156,1669.7536603642568,59972.676876578655,1569.1851659177908,96.4119711677354,4754.012349334915,175789.7145518293,12250,11747.0,11747.0,1178.7125460000002,2815742,0.01549203593610367,0.0029664058288859153,0.022224997921616592,0.0012276177180846855,0.00042244083674402937,0.005149108420081129,0.004083412773772874,6.947032273832124e-05,0.02524427502864967,1.2132064040111021,0.3759540425211434,1.2605164148646852,1.11215060723788,1.0217172027579964,0.37095120334883946,0.7799218597875203,1.0484803420536266,0.154736549396458,0.3101656463455366,4.967683762999471,0.1508727512754944,174.9526833677126,272.62011777567653,10.520737418596285,407.18253929784936,10101.312637673496,258.3719197468704
