Physics Setting,Run Type,Run Number,Charge,Charge Error,HMS Tracking Eff,HMS Tracking Eff Error,SHMS Tracking Eff,SHMS Tracking Eff Error,HMS Cer Detector Eff,HMS Cer Detector Eff Error,HMS Cal Detector Eff,HMS Cal Detector Eff Error,HMS Hodo 3/4 Eff,HMS Hodo 3/4 Eff Error,SHMS Hodo 3/4 Eff,SHMS Hodo 3/4 Eff Error,EDTM Live Time,EDTM Live Time Error,Boiling Factor,Boiling Factor Error,Dummy Target Correction,Dummy Target Correction Error,Effective Charge,Effective Charge Error
Q3p85_W2p62_t0p21_higheps_right,data,15055.0,83.745945,16.279173,0.996,0.0002,0.9959,0.0005,0.9981,0.0001,0.9981,0.0001,0.998223,0.0002,0.991975,0.0005,0.9962,0.0002,0.9941,0.06513,NA,NA,76.02978911514748,15.596307641704716
Q3p85_W2p62_t0p21_higheps_right,data,15056.0,112.132924,20.819369,0.9951,0.0002,0.995,0.0005,0.9981,0.0001,0.9981,0.0001,0.998277,0.0002,0.992166,0.0005,0.9954,0.0003,0.99175,0.07756,NA,NA,101.2585304585396,20.40035530765207
Q3p85_W2p62_t0p21_higheps_right,data,15057.0,93.835448,16.23218,0.9952,0.0002,0.9951,0.0005,0.9981,0.0001,0.9981,0.0001,0.998095,0.0002,0.991871,0.0005,0.9957,0.0003,0.99259,0.07288,NA,NA,84.76594788345425,15.929736673167262
Q3p85_W2p62_t0p21_higheps_right,data,15058.0,106.290736,15.488743,0.9815,0.0004,0.9946,0.0005,0.9981,0.0001,0.9981,0.0001,0.998273,0.0004,0.992215,0.0005,0.9946,0.0004,0.99004,0.08752,NA,NA,94.34993485190847,16.081214476442657
Q3p85_W2p62_t0p21_higheps_right,data,15059.0,91.528831,11.733416,0.975,0.0005,0.9942,0.0006,0.9981,0.0001,0.9981,0.0001,0.99827,0.0005,0.992156,0.0006,0.9954,0.0004,0.99025,0.08627,NA,NA,80.77780703530324,12.52062726293772
Q3p85_W2p62_t0p21_higheps_right,dummy,15061.0,39.291478,2.354432,0.9704,0.0008,0.9956,0.0005,0.9981,0.0001,0.9981,0.0001,0.998809,0.0008,0.994913,0.0005,0.9995,0.0002,NA,NA,3.527,0.227,36.60565040850681,0.18956978896689033


Variable,Value
Total Data Effective Charge,437.18200934435305
Total Data Effective Charge Error,36.449243960668966
Total Dummy Effective Charge,129.10813
Total Dummy Effective Charge Error,8.33633880428453
Normalization Data Factor (Data),0.0022873768330488064
Normalization Dummy Factor (Dummy),0.007745445680428308
Normalization SIMC Factor,79.54777777777778
