Physics Setting,Run Type,Run Number,Charge,Charge Error,HMS Tracking Eff,HMS Tracking Eff Error,SHMS Tracking Eff,SHMS Tracking Eff Error,HMS Cer Detector Eff,HMS Cer Detector Eff Error,HMS Cal Detector Eff,HMS Cal Detector Eff Error,HMS Hodo 3/4 Eff,HMS Hodo 3/4 Eff Error,SHMS Hodo 3/4 Eff,SHMS Hodo 3/4 Eff Error,EDTM Live Time,EDTM Live Time Error,Boiling Factor,Boiling Factor Error,Dummy Target Correction,Dummy Target Correction Error,Effective Charge,Effective Charge Error
Q3p85_W2p62_t0p21_loweps_center,data,16373.0,209.416854,36.436338,0.997,0.0004,0.9882,0.0006,0.9981,0.0001,0.9981,0.0001,0.997159,0.0004,0.96755,0.0006,0.9881,0.0005,0.98358,0.12894,NA,NA,183.32197692251336,39.93758664222312
Q3p85_W2p62_t0p21_loweps_center,data,16374.0,215.370955,31.32518,0.9963,0.0004,0.9872,0.0006,0.9981,0.0001,0.9981,0.0001,0.997084,0.0004,0.969,0.0006,0.9857,0.0007,0.9798,0.15424,NA,NA,187.08615204140307,40.09918795246342
Q3p85_W2p62_t0p21_loweps_center,data,16375.0,233.9714,41.038163,0.9966,0.0003,0.9877,0.0006,0.9981,0.0001,0.9981,0.0001,0.997108,0.0003,0.968397,0.0006,0.9868,0.0006,0.9818,0.14078,NA,NA,203.7618798171864,46.16375943414808
Q3p85_W2p62_t0p21_loweps_center,data,16376.0,249.656049,46.751237,0.9962,0.0003,0.9873,0.0006,0.9981,0.0001,0.9981,0.0001,0.997123,0.0003,0.968754,0.0006,0.9876,0.0005,0.98181,0.14071,NA,NA,217.9564712433279,51.39789473980712
Q3p85_W2p62_t0p21_loweps_center,data,16377.0,241.585704,42.030881,0.9961,0.0003,0.9883,0.0006,0.9981,0.0001,0.9981,0.0001,0.997138,0.0003,0.969673,0.0006,0.9872,0.0006,0.98106,0.14578,NA,NA,210.9066014237671,48.25668153080892
Q3p85_W2p62_t0p21_loweps_center,data,16378.0,218.921704,31.677584,0.9963,0.0003,0.9872,0.0006,0.9981,0.0001,0.9981,0.0001,0.997093,0.0003,0.967722,0.0006,0.9868,0.0006,0.97936,0.1572,NA,NA,190.2058187857817,41.10607469586784
Q3p85_W2p62_t0p21_loweps_center,data,16379.0,273.599132,51.3221,0.9963,0.0003,0.9885,0.0005,0.9981,0.0001,0.9981,0.0001,0.997034,0.0003,0.96756,0.0005,0.9863,0.0006,0.9801,0.1522,NA,NA,238.22543806978877,58.01382923986812
Q3p85_W2p62_t0p21_loweps_center,data,16380.0,229.224199,39.547288,0.9961,0.0003,0.987,0.0006,0.9981,0.0001,0.9981,0.0001,0.997103,0.0003,0.968501,0.0006,0.9877,0.0005,0.98187,0.1403,NA,NA,199.86969428107855,44.77535235765035
Q3p85_W2p62_t0p21_loweps_center,data,16381.0,207.615898,35.725217,0.9963,0.0003,0.9881,0.0006,0.9981,0.0001,0.9981,0.0001,0.997106,0.0003,0.967482,0.0006,0.9884,0.0005,0.98354,0.1292,NA,NA,181.43823040315812,39.27985916734164
Q3p85_W2p62_t0p21_loweps_center,data,16387.0,257.655292,47.841357,0.9965,0.0003,0.9869,0.0006,0.9981,0.0001,0.9981,0.0001,0.997088,0.0003,0.96913,0.0006,0.9871,0.0006,0.98107,0.1457,NA,NA,224.08912131763628,53.282192335727196
Q3p85_W2p62_t0p21_loweps_center,data,16388.0,246.875605,41.952886,0.9973,0.0003,0.988,0.0006,0.9981,0.0001,0.9981,0.0001,0.997102,0.0003,0.969279,0.0006,0.9866,0.0006,0.98018,0.15166,NA,NA,215.60922953764378,49.55314296028851
Q3p85_W2p62_t0p21_loweps_center,data,16389.0,248.175501,43.326126,0.9964,0.0003,0.9871,0.0006,0.9981,0.0001,0.9981,0.0001,0.997134,0.0003,0.968175,0.0006,0.9873,0.0006,0.98061,0.14881,NA,NA,216.16152887737107,50.0026814741857
Q3p85_W2p62_t0p21_loweps_center,data,16390.0,272.69962,48.732972,0.9971,0.0003,0.9883,0.0005,0.9981,0.0001,0.9981,0.0001,0.99701,0.0003,0.969081,0.0005,0.9877,0.0006,0.97918,0.1584,NA,NA,237.8705801382867,57.33971546735632
Q3p85_W2p62_t0p21_loweps_center,data,16392.0,250.475645,41.078035,0.9969,0.0004,0.9879,0.0006,0.9981,0.0001,0.9981,0.0001,0.997103,0.0004,0.967915,0.0006,0.9862,0.0006,0.97916,0.15853,NA,NA,217.9773848588066,50.235146178593176
Q3p85_W2p62_t0p21_loweps_center,data,16393.0,244.11331,45.850495,0.9967,0.0004,0.9877,0.0006,0.9981,0.0001,0.9981,0.0001,0.996855,0.0004,0.968933,0.0006,0.9879,0.0005,0.98227,0.13765,NA,NA,213.30423169869675,49.98739866101421
Q3p85_W2p62_t0p21_loweps_center,dummy,16370.0,115.095197,20.522318,0.997,0.0004,0.9954,0.0003,0.9981,0.0001,0.9981,0.0001,0.99723,0.0004,0.982889,0.0003,0.9988,0.0002,NA,NA,3.527,0.227,109.13241209310979,3.575458082423836
Q3p85_W2p62_t0p21_loweps_center,dummy,16371.0,104.910217,18.740347,0.9965,0.0005,0.9954,0.0003,0.9981,0.0001,0.9981,0.0001,0.997186,0.0005,0.987961,0.0003,0.9985,0.0002,NA,NA,3.527,0.227,99.47538956180959,3.3003427043812605
Q3p85_W2p62_t0p21_loweps_center,dummy,16372.0,24.252092,0.82994,0.9967,0.0009,0.9952,0.0006,0.9981,0.0001,0.9981,0.0001,0.997257,0.0009,0.981231,0.0006,0.9984,0.0005,NA,NA,3.527,0.227,22.616235998656535,0.38527882136646646


Variable,Value
Total Data Effective Charge,3137.7843394164456
Total Data Effective Charge Error,187.11621954186444
Total Dummy Effective Charge,815.52718
Total Dummy Effective Charge Error,55.23899601080427
Normalization Data Factor (Data),0.0003186962174035124
Normalization Dummy Factor (Dummy),0.001226200700035449
Normalization SIMC Factor,22.515888888888888
