Physics Setting,Run Type,Run Number,Charge,Charge Error,HMS Tracking Eff,HMS Tracking Eff Error,SHMS Tracking Eff,SHMS Tracking Eff Error,HMS Cer Detector Eff,HMS Cer Detector Eff Error,HMS Cal Detector Eff,HMS Cal Detector Eff Error,HMS Hodo 3/4 Eff,HMS Hodo 3/4 Eff Error,SHMS Hodo 3/4 Eff,SHMS Hodo 3/4 Eff Error,EDTM Live Time,EDTM Live Time Error,Boiling Factor,Boiling Factor Error,Dummy Target Correction,Dummy Target Correction Error,Effective Charge,Effective Charge Error
Q3p85_W2p62_t0p21_loweps_left,data,16319.0,217.467067,39.829739,0.9962,0.0006,0.9914,0.0006,0.9981,0.0001,0.9981,0.0001,0.997032,0.0006,0.97583,0.0006,0.9952,0.0003,0.9838,0.12746,NA,NA,188.8658093176031,42.37341305976572
Q3p85_W2p62_t0p21_loweps_left,data,16320.0,40.865323,1.556274,0.9949,0.0017,0.9917,0.0013,0.9981,0.0001,0.9981,0.0001,0.997115,0.0017,0.973098,0.0013,0.9943,0.0007,0.98536,0.1172,NA,NA,35.73894093672274,4.467121238059418
Q3p85_W2p62_t0p21_loweps_left,data,16321.0,211.513938,36.756962,0.9965,0.0004,0.9924,0.0005,0.9981,0.0001,0.9981,0.0001,0.997048,0.0004,0.974413,0.0005,0.9946,0.0004,0.98339,0.13016,NA,NA,184.1456678403804,40.22774186319669
Q3p85_W2p62_t0p21_loweps_left,data,16323.0,248.008234,45.433997,0.9963,0.0004,0.9912,0.0005,0.9981,0.0001,0.9981,0.0001,0.997262,0.0004,0.975189,0.0005,0.9945,0.0004,0.98153,0.1426,NA,NA,214.5066808585478,50.15487595184222
Q3p85_W2p62_t0p21_loweps_left,data,16325.0,237.607151,41.539162,0.9959,0.0004,0.9906,0.0006,0.9981,0.0001,0.9981,0.0001,0.997182,0.0004,0.974796,0.0006,0.9932,0.0004,0.98146,0.14308,NA,NA,204.8582614551724,46.63288451740552
Q3p85_W2p62_t0p21_loweps_left,data,16326.0,257.094571,45.116275,0.9963,0.0004,0.9926,0.0005,0.9981,0.0001,0.9981,0.0001,0.997262,0.0004,0.974814,0.0005,0.9942,0.0004,0.98001,0.1528,NA,NA,221.86355259663674,52.08204276929945
Q3p85_W2p62_t0p21_loweps_left,data,16327.0,257.631148,47.869598,0.9964,0.0004,0.9924,0.0005,0.9981,0.0001,0.9981,0.0001,0.997126,0.0004,0.974868,0.0005,0.9943,0.0004,0.98108,0.14559,NA,NA,222.34453752662736,52.8730245683436
Q3p85_W2p62_t0p21_loweps_left,data,16328.0,235.44616,41.1314,0.9961,0.0004,0.9922,0.0005,0.9981,0.0001,0.9981,0.0001,0.997204,0.0004,0.975251,0.0005,0.9959,0.0003,0.98161,0.14204,NA,NA,203.83852214594359,46.23972980240373
Q3p85_W2p62_t0p21_loweps_left,data,16330.0,235.290762,41.848813,0.9959,0.0004,0.9926,0.0005,0.9981,0.0001,0.9981,0.0001,0.99719,0.0004,0.975215,0.0005,0.9949,0.0004,0.98195,0.13977,NA,NA,203.78941998153886,46.42481126348511
Q3p85_W2p62_t0p21_loweps_left,data,16331.0,235.028848,42.780603,0.9969,0.0004,0.993,0.0005,0.9981,0.0001,0.9981,0.0001,0.996965,0.0004,0.975305,0.0005,0.9939,0.0004,0.98238,0.13688,NA,NA,203.49635325708056,46.64831643911438
Q3p85_W2p62_t0p21_loweps_left,data,16332.0,274.130558,58.139498,0.9961,0.0004,0.9917,0.0005,0.9981,0.0001,0.9981,0.0001,0.997385,0.0004,0.975325,0.0005,0.9942,0.0003,0.98236,0.137,NA,NA,237.1195330284153,60.188896614854976
