Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,DummySub_Counts,physics_yield,physics_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,1,0,24,314.1666666666666,0.09437680611650714,0.0059666066899143845,6.322111263808476
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,2,24,48,323.9999999999999,0.09827988458323046,0.005907919844500599,6.011321512590247
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,3,48,72,369.33333333333337,0.11126275757408809,0.006469456721484185,5.81457521145499
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,4,72,96,353.9999999999999,0.10656938133814416,0.006331218600355799,5.94093586812414
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,5,96,120,328.8333333333332,0.09990818437683927,0.006002756376034308,6.00827290924713
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,6,120,144,221.5,0.06437496308334521,0.005366175427995181,8.335811270365594
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,7,144,168,169.33333333333337,0.050193672650576095,0.00449275703678517,8.95084340223828
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,8,168,192,182.8333333333334,0.05447475031667502,0.004665117402365971,8.56381603448663
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,9,192,216,208.00000000000006,0.06366666893976147,0.006160134726988293,9.67560393777902
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,10,216,240,242.6666666666667,0.07338458454909288,0.005154520641288713,7.0239828609242005
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,11,240,264,340.99999999999983,0.10169701864878025,0.006351498835761326,6.2455113435496035
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,12,264,288,326.83333333333337,0.1001892007484319,0.005825454215769054,5.814453226746826
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,13,288,312,313.33333333333326,0.0932285354404466,0.006070397149973147,6.511308068172809
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,14,312,336,351.83333333333326,0.10411979510876404,0.006534855029001264,6.276284948673711
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,15,336,360,338.9999999999999,0.1028712309010017,0.0060539908421247636,5.885018375983886
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,1,0,24,218.6666666666668,0.06603843044065888,0.004849190703068941,7.342982973264863
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,2,24,48,255.50000000000006,0.07731273639874166,0.005233815483957956,6.769667881064861
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,3,48,72,390.4999999999999,0.1177416573780542,0.006656209017669999,5.653231970650556
