COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMS3of4ELT,HMS3of4ELT_err,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMS3of4ELT,SHMS3of4ELT_err,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events,CoinBlocking_Corr
480825,1511704,1,0.997971924606003,3.18726289180129E-05,0.999580581995766,4.05843548319375E-41,2075,83855922,169018715,513,0.987011123176776,0.000925010026369,0.995,0.0003,2049,,,513,1,,0.992082651574779,1.03387804546385E-41,,649919870,649919870,2049,0.987011123176776,0.000925010026369,0.9914,0.0004,28448,39447,87803,101074,160741,116902.655208951,0.99916450764815,909741,909741,2471,397317,328600,4828,15816,29497,29497,2959.735586,1989930,0.986467956242876
176733,553152,1,0.997992667396595,5.24108793887578E-05,0.999580580557464,2.29222218371559E-39,718,30776568,61916026,513,0.987044342719004,0.001187571571136,0.9954,0.0005,2049,,,513,1,,0.992116122310147,5.70468604283896E-40,,237992640,237992640,2049,0.987044342719004,0.001187571571136,0.9919,0.0006,10470,14404,32059,37106,58831,42810.4195650065,0.999162567765458,331969,331969,855,145287,120390,1685,15817,10829,10829,1086.388646,727833,0.986703007014879
11130,34734,1,0.997063084664955,0.000252325298493,0.999578780830148,1.40878467305857E-34,187,1949214,3916760,257,0.987064153867536,0.002366199502879,0.9945,0.0015,4097,,,257,1,,0.992083761355547,3.58550681545712E-35,,15054785,15054785,4097,0.987064153867536,0.002366199502879,0.9902,0.004,661,893,1999,2305,3654,2706.74692390852,0.999163898699575,22561,22561,114,8564,7052,56,15818,683,683,68.579231,45859,0.986664622930717
77429,239404,1,0.996676681681037,0.000102297094887,0.999580152556684,6.34016554213604E-38,1183,13349098,26834205,257,0.987046128793258,0.001463586615939,0.995,0.0005,4097,,,257,1,,0.992122250297559,1.61468757727179E-38,,103133279,103133279,4097,0.987046128793258,0.001463586615939,0.9925,0.0013,4548,6360,13886,16247,25644,18548.0779312824,0.999161963153347,157829,157829,722,58412,48271,356,15819,4693,4693,471.029477,316862,0.986044293297943
191919,596510,1,0.996722987486846,6.44003312690838E-05,0.99957593836127,1.75160328022207E-39,4024,33078906,66432830,257,0.98697090289701,0.001170187886236,0.9951,0.0003,4097,,,257,1,,0.992041425591869,4.36939291778932E-40,,255345952,255345952,4097,0.98697090289701,0.001170187886236,0.9914,0.0009,11159,15716,34568,40074,63215,45903.0331068514,0.999166092427468,388845,388845,2487,144592,120020,1151,15820,11560,11560,1159.96627,784029,0.986351692858697
129147,477642,1,0.996226712398466,7.88675973201241E-05,0.999345304462945,1.87514383770664E-38,1671,21815938,43743802,257,0.9833579075797,0.001462821899783,0.995,0.0004,4097,,,257,1,,0.987718889882063,4.63759153823562E-39,,171297323,171297323,4097,0.9833579075797,0.001462821899783,0.9905,0.001,5801,12447,22367,32003,41154,30162.9880659852,0.999330270281883,296437,296437,787,111116,91783,398,15828,6098,6098,612.153015,599061,0.983604708005866
54471,102129,1,0.997042730781569,0.000137396115845,0.999761771032592,3.42003028854131E-37,820,7149002,14274167,257,0.990492788150617,0.001474093356824,0.9957,0.0006,2049,,,257,1,,0.99551820206625,8.34482053954638E-38,,53775534,53775534,2049,0.990492788150617,0.001474093356824,0.9928,0.0011,3229,2636,7389,6760,13714,9859.29594538668,0.998884480106904,70846,70846,670,28369,23625,622,15830,3322,3322,333.280023,156008,0.991030645295241
259582,494388,1,0.996864901370408,6.43144386564468E-05,0.999759877566164,6.20469423573471E-40,3453,34514476,68888610,257,0.990435134469629,0.000997144739052,0.9952,0.0003,2049,,,257,1,,0.995471631139398,1.55709233707761E-40,,259971366,259971366,2049,0.990435134469629,0.000997144739052,0.9926,0.0006,15496,12477,35664,31809,64720,47641.8106600256,0.998890563656298,339354,339354,2744,138158,114246,2627,15831,15965,15965,1601.683522,752263,0.989576025847504
656050,482103,1,0.996160273430934,5.78339440611752E-05,0.999892466106091,6.9058918476735E-41,15082,44298400,88211605,129,0.993766848059749,0.00075992401873,0.9957,0.0002,1025,,,129,1,,0.997978140631474,1.67149772509082E-41,,326023347,326023347,1025,0.993766848059749,0.00075992401873,0.9928,0.0003,30036,10968,45940,27918,83318,60959.0997347301,0.99833441154243,441515,441515,8981,178989,147987,8401,15833,30662,30662,3076.750694,1137709,0.993133638286361
607680,350899,1,0.996786160410224,5.7699849565899E-05,0.99996084024489,1.96130963729973E-41,15940,41316504,82014022,129,0.996320490183917,0.00059652152347,0.9957,0.0002,1025,,,129,1,,0.999265620804358,4.75902616887738E-42,,298319548,298319548,1025,0.996320490183917,0.00059652152347,0.9937,0.0003,46928,6173,43128,15799,77072,56686.3923795677,0.997230320960969,354092,354092,15611,139628,115649,14268,15834,47415,47415,4757.670084,960512,0.996548395202137
