COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_phys,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_scaler_accp,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_scaler_accp,SHMS_track,SHMS_track_uncern,TLT,TLT_ELT,accp_edtm,c_int_Track_events,c_int_noTrack_events,charge,curr_corr,current,hTLT,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,min_yield_COIN_notrack,min_yield_COIN_scaler,min_yield_COIN_track,min_yield_HMS_CPULT_notrack,min_yield_HMS_CPULT_track,min_yield_HMS_notrack,min_yield_HMS_scaler,min_yield_HMS_track,min_yield_SHMS_CPULT_notrack,min_yield_SHMS_CPULT_track,min_yield_SHMS_notrack,min_yield_SHMS_scaler,min_yield_SHMS_track,pTLT,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,rate_COIN,rate_HMS,rate_SHMS,rate_TOTAL,run number,sent_edtm,sent_edtm_HMS,sent_edtm_PS,sent_edtm_SHMS,time,tot_events,uncern_COIN_evts_notrack,uncern_COIN_evts_scaler,uncern_COIN_evts_track,uncern_CPULT_phys,uncern_HMS_evts_notrack,uncern_HMS_evts_scaler,uncern_HMS_evts_track,uncern_SHMS_evts_notrack,uncern_SHMS_evts_scaler,uncern_SHMS_evts_track,uncern_TLT,uncern_TLT_ELT,uncern_charge,uncern_yieldRel_COIN_notrack,uncern_yieldRel_COIN_scaler,uncern_yieldRel_COIN_track,uncern_yieldRel_HMS_CPULT_notrack,uncern_yieldRel_HMS_CPULT_track,uncern_yieldRel_HMS_notrack,uncern_yieldRel_HMS_scaler,uncern_yieldRel_HMS_track,uncern_yieldRel_SHMS_CPULT_notrack,uncern_yieldRel_SHMS_CPULT_track,uncern_yieldRel_SHMS_notrack,uncern_yieldRel_SHMS_scaler,uncern_yieldRel_SHMS_track,yieldRel_COIN_notrack,yieldRel_COIN_scaler,yieldRel_COIN_track,yieldRel_HMS_CPULT_notrack,yieldRel_HMS_CPULT_track,yieldRel_HMS_notrack,yieldRel_HMS_scaler,yieldRel_HMS_track,yieldRel_SHMS_CPULT_notrack,yieldRel_SHMS_CPULT_track,yieldRel_SHMS_notrack,yieldRel_SHMS_scaler,yieldRel_SHMS_track,yield_COIN_notrack,yield_COIN_scaler,yield_COIN_track,yield_HMS_CPULT_notrack,yield_HMS_CPULT_track,yield_HMS_notrack,yield_HMS_scaler,yield_HMS_track,yield_SHMS_CPULT_notrack,yield_SHMS_CPULT_track,yield_SHMS_notrack,yield_SHMS_scaler,yield_SHMS_track
13898,2183547,1,0.996549059129258,0.996549059129258,0.015211097639935,3918,153066135,513,0.990392723761708,0.001043220742107,153052838,0.9945,0.0002,1025,,,513.0,1.0,,,218949826,1025,0.990392723761708,0.001043220742107,218936529,0.9942,0.0009,0.9407385124464165,0.981179555857755,12509,2019243.63193788,13547552.6744765,105882.371646192,0.999584094146407,79.34487989261135,60.300744528841086,1905660.64829506,1881618.81281115,1563,131.2644031271322,7.707559304772446,18.25827449076821,2767.5474955203345,2794.6130497512895,2792.997500361147,1491.2428178691468,2820.3119458892934,0.7176591194679343,0.9863195413918004,0.7242586188781795,2118.7722615253765,0.9953896069077998,87.10611416108897,437.5874570219,611.012672880576,1130,1636.2806363442728,114702.89065477333,164074.03212055788,280413.20341167547,16220,13297,25.920077972709553,13297,12.972682926829268,1334.45752,2680359,0.00027168744890687077,0.0006767351394739362,0.0007037293091386262,0.015211097639935,0.0007243979573694582,8.082774113915087e-05,0.0007290111599708124,0.0478043665235333,6.758147991165993e-05,0.04045525015985069,0.008411491099738225,0.09044669159355502,145.94447315169586,0.009046987629115206,0.0013783642251552113,0.009094388775511308,0.01593549559730446,0.01613549559730446,0.008554403711469552,0.015273634553457191,0.008556741369166423,0.06439382838862348,0.06529382838862348,0.04855832090563341,0.015273570198393394,0.048566660675554735,1.0365779328362834,2.660418092247951,1.1234106139627755,3.349084980159802,3.2929175809932665,3.515446257212531,0.96972819879544,3.4564888182860503,5.925552382554019,6.055374479712941,6.219896201072918,0.9763172274698243,6.356167035723113,136.06578364851126,20.505330221490656,20.511539355574797,9268.75174912603,9202.43044359923,9818.632609048549,1446.1002117388841,9748.376705044915,4.252526705224837,5.97253417978608,4.504813432154707,2068.593860012425,6.326862607128744
1698,199706,1,0.932811954830836,0.932811954830836,0.04964739585734,641,14630315,513,0.990332017419807,0.001967633905328,14629258,0.9938,0.0008,1025,,513.0,,,1.0,,17521768,1025,0.990332017419807,0.001967633905328,17520711,0.9913,0.0043,0.8874172185430463,0.9171609387516502,938,256.644867563705,2112.50456252201,8481.07476459061,0.9995873559334,79.97206956566346,54.35761589403974,142099.754746812,140079.156072572,112,131.2644031271322,7.707559304772446,18.25827449076821,2767.5474955203345,2794.6130497512895,2792.997500361147,1491.2428178691468,2820.3119458892934,0.7176591194679343,0.9863195413918004,0.7242586188781795,2118.7722615253765,0.9953896069077998,64.00189214758751,34.9047375343348,46.1049470595825,66,1883.1224305863454,137956.1672811226,165221.0466602408,305060.3363719497,16222,1057,2.060428849902534,1057,1.031219512195122,106.05046,228838,0.0217571082336141,0.0022377133016555084,0.062421429224514165,0.04964739585734,0.002652792834641137,0.0002614406782703945,0.00267185719114029,0.16926135438290543,0.00023889718764297767,0.14727405209814215,0.02898735999080193,0.09661666882545546,11.69011245400566,0.03269393160732752,0.0013783763000415213,0.03299115333726557,0.052300188691981137,0.05310018869198114,0.029141109626852894,0.049667214416233035,0.02915208860929622,0.2202871265402414,0.2245871265402414,0.17173110681526582,0.04966710086673145,0.17178493254065164,0.0021391990187195394,3.0401699529874597,0.0018965716583206815,3.3308100137185224,3.2719334189823996,3.4692903625850438,1.1571836489180127,3.4079659394391486,6.304117295754006,6.111993732378247,6.566214611066466,0.9754293111363537,6.366103399649487,0.2808006823623672,23.432290209238104,0.03462812592903046,9218.174911520748,9143.787830605568,9689.719310727045,1725.641805404599,9611.527050184059,4.524207267493395,6.028378855108871,4.755637525468722,2066.712567514512,6.336753160511511
20581,2220874,1,0.994966598864603,0.994966598864603,0.015729634216149,7553,163714396,513,0.990385137687806,0.00107281076399,163702485,0.9929,0.0002,1025,,513.0,,,1.0,,196083921,1025,0.990385137687806,0.00107281076399,196072010,0.9958,0.0008,0.9363613466543531,0.9783945025747995,11153,5489.30300033546,29391.8495410122,94884.5724347968,0.999584239073511,79.37253815234665,55.68877508185711,1691949.04810044,1669821.46258996,1293,131.2644031271322,7.707559304772446,18.25827449076821,2767.5474955203345,2794.6130497512895,2792.997500361147,1491.2428178691468,2820.3119458892934,0.7176591194679343,0.9863195413918004,0.7242586188781795,2118.7722615253765,0.9953896069077998,66.52044328771723,470.741592040078,643.58566451303,773,1857.7983941244936,136949.84136149165,164027.49257609126,302835.1323317074,16223,11911,23.21832358674464,11911,11.62048780487805,1195.433265,2720795,0.005832927012200713,0.0006710239792576374,0.01349712898139546,0.015729634216149,0.0007687875821879509,7.815496355644105e-05,0.000773864600041423,0.04609021288782519,7.141328460999017e-05,0.03941820275609362,0.00886675475312787,0.09027985902210263,130.78550185682258,0.00956916459224998,0.0013783642430037768,0.009604941497289621,0.01649842179833695,0.01669842179833695,0.009006123593701863,0.015790104140206457,0.00900834403123201,0.06319821134697794,0.06399821134697793,0.046955584884905366,0.01579007221064728,0.04696239934121289,0.0025212822443671946,3.0217363000626736,0.0034239022469398227,3.323426330580238,3.271423010987583,3.4992551966722827,1.1574224509995155,3.4445005945755245,7.124669497242216,7.117327683421424,7.501606559891644,0.9757000283949779,7.49387632079201,0.33095460892189604,23.290211736116724,0.06251454705418531,9197.740217743672,9142.361437762554,9773.41101743144,1725.997917293532,9714.566174504125,5.113084037890899,7.0199593766473845,5.433103206434613,2067.2861557328015,7.459326605168828
10169,1570212,1,0.995922765361966,0.995922765361966,0.017949093811473,3368,109959850,513,0.990372181575008,0.001134338310955,109950305,0.9939,0.0002,1025,,,513.0,1.0,,,157302748,1025,0.990372181575008,0.001134338310955,157293203,0.994,0.0011,0.9407019381875328,0.9805469540188985,8979,1462871.98576354,9748600.76100346,76140.8731666594,0.999584923002855,79.50332161742989,77.66212676794133,1390098.63958375,1372063.97319629,1445,131.2644031271322,7.707559304772446,18.25827449076821,2767.5474955203345,2794.6130497512895,2792.997500361147,1491.2428178691468,2820.3119458892934,0.7176591194679343,0.9863195413918004,0.7242586188781795,2118.7722615253765,0.9953896069077998,111.3593504452593,290.807414346521,405.345362158948,1037,1639.5539537654206,114815.77444507657,164249.3767857879,280704.7051846299,16224,9545,18.606237816764132,9545,9.31219512195122,957.706818,1930123,0.0003202792903462042,0.0007980330063509156,0.00082679309018282,0.017949093811473,0.0008481588359568261,9.536366438170181e-05,0.0008537148178084631,0.05864044569782372,7.97318507629118e-05,0.0496692263940138,0.009927947063670508,0.09087547115023183,104.94986062776107,0.010643394239765104,0.0013783642905966004,0.010702662527530188,0.018797252647429825,0.018997252647429824,0.010058995696770483,0.01800219294972516,0.010060983770369928,0.07796790379989324,0.07906790379989324,0.05949088915671078,0.01800211692936906,0.059501057912074544,1.0373032249593777,2.6604544183282077,1.1327339770810567,3.3994189493711637,3.3432137413899343,3.566176614420627,0.9687473412013385,3.507214273709904,5.479588213051806,5.590901513431914,5.748388072513115,0.9754120753041392,5.865161819615676,136.16098868614205,20.505610206908543,20.681767878565477,9408.053399556531,9342.988749796143,9960.32236992319,1444.637514896328,9891.438312937484,3.9324764520256306,5.514415416694889,4.1633196061741495,2066.676048711312,5.838121118077884
8378,1497223,1,0.996054597273079,0.996054597273079,0.018209249934666,2544,105707655,513,0.990478788953606,0.001139646199841,105698401,0.9943,0.0002,1025,,,513.0,1.0,,,150974761,1025,0.990478788953606,0.001139646199841,150965507,0.9921,0.0013,0.9408904257618327,0.98082341021859,8707,1413880.10073048,9354977.76103736,73029.7806439712,0.999580387888519,78.6440598283496,52.49740652690728,1330853.63058282,1313839.8151376,947,131.2644031271322,7.707559304772446,18.25827449076821,2767.5474955203345,2794.6130497512895,2792.997500361147,1491.2428178691468,2820.3119458892934,0.7176591194679343,0.9863195413918004,0.7242586188781795,2118.7722615253765,0.9953896069077998,75.54030689431598,307.001333242375,412.921952662425,682,1612.3243716479853,113834.0971426815,162581.1830729489,278027.6045872784,16225,9254,18.03898635477583,9254,9.028292682926828,928.611529,1842501,0.000326947951248447,0.0008172534356512013,0.0008409955715288196,0.018209249934666,0.0008668318358877934,9.726280286983788e-05,0.0008724263830687242,0.05707289062533686,8.138564779170192e-05,0.04921143325498843,0.0100838610835509,0.09095079582726738,100.66164577920195,0.010805632148209288,0.0013783643452244124,0.010886650900801827,0.019076081770553796,0.019276081770553795,0.010214476983783681,0.018261602654316554,0.010216434801448427,0.07666050490522716,0.07796050490522716,0.057973260965312294,0.018261524993137507,0.05798783481862555,1.0376216370101874,2.644595688560024,1.1429393606313591,3.3927488269815624,3.3359520129136806,3.558937324173231,0.9709622149347065,3.4993584069622714,6.030385169080847,5.948642690883516,6.325774158907156,0.976058231857517,6.240027653208495,136.20278485394007,20.383378106721906,20.86810057271047,9389.593519042375,9322.695028632654,9940.103050357824,1447.9404294437,9869.282318103822,4.3277609104950505,5.867262530775915,4.581496455665374,2068.0451072932115,6.211258672821004
779,138367,1,0.987655656690291,0.987655656690291,0.059587091796826,233,9746758,513,0.990474112202639,0.002068749645767,9745905,0.9943,0.0007,1025,,,513.0,1.0,,,13918145,1025,0.990474112202639,0.002068749645767,13917292,0.9954,0.0032,0.9460726846424384,0.9725476087404372,807,134045.158096728,881091.617066983,6732.68781412355,0.999580509648899,78.6668868864065,52.92379835873388,125166.960932339,123570.682126738,88,131.2644031271322,7.707559304772446,18.25827449076821,2767.5474955203345,2794.6130497512895,2792.997500361147,1491.2428178691468,2820.3119458892934,0.7176591194679343,0.9863195413918004,0.7242586188781795,2118.7722615253765,0.9953896069077998,75.70339976553342,27.6023244472852,39.1267368803682,63,1616.724469977283,113884.251024788,162624.07653697752,278125.0520317428,16226,853,1.6627680311890838,853,0.8321951219512195,85.584775,172753,0.0010653430214390379,0.0026883371745853187,0.002731331631942935,0.059587091796826,0.002826540067605632,0.00032030956555632,0.002844738025344119,0.19033873199668516,0.00026804599440937614,0.15986860490271024,0.033321799232237076,0.10611200753260613,9.28022586931813,0.03524814432872504,0.0013783835113774883,0.03540144311733721,0.062413631864431635,0.06311363186443164,0.03346986067989162,0.059603892894048584,0.03347717989812396,0.2513042073047517,0.2545042073047517,0.19323838941391414,0.05960363494420912,0.1932648833680954,1.054249347506653,2.651085798442514,1.1650526802041665,3.4906007510829333,3.4322734024602135,3.6108193860889295,0.9711080449541274,3.5504832043927714,5.931158114655904,6.145686591631668,6.135431184936845,0.9760323312401953,6.357348166789297,138.38541134762937,20.43340101353569,21.271851631372865,9660.40336652097,9591.876040829573,10085.009519601952,1448.157897412791,10013.47019502823,4.2565497099890495,6.061610780595884,4.443638916224472,2067.990229783674,6.328038292716419
4500,600053,1,0.998175312911173,0.998175312911173,0.03034994243215,625,57549628,1025,0.993911922348346,0.00106012936773,57541755,0.9953,0.0004,1025,,,1025.0,1.0,,,82104078,1025,0.993911922348346,0.00106012936773,82096205,0.9952,0.0014,0.9613870189254414,0.9884286272218676,7569,752342.378735052,5093917.12283957,38984.2026392578,0.999331267628448,49.34709519659082,75.120665565858,507332.476937483,506296.904697895,577,131.2644031271322,7.707559304772446,18.25827449076821,2767.5474955203345,2794.6130497512895,2792.997500361147,1491.2428178691468,2820.3119458892934,0.7176591194679343,0.9863195413918004,0.7242586188781795,2118.7722615253765,0.9953896069077998,107.53842245649689,122.871126927777,167.864216596654,826,759.5608094900786,72847.63517478105,103929.21949913849,177536.41548340963,16236,7873,7.680975609756097,7873,7.680975609756097,789.999948,734804,0.00044307175209962755,0.0012909374335915453,0.0011529015871184628,0.03034994243215,0.0014039565511240928,0.0001318192206503342,0.0014053916337111872,0.09021423677071544,0.00011036151044742877,0.07718287221774647,0.011051100178542658,0.09474980383023676,53.73456682632125,0.011577300198127333,0.0013783677281698464,0.011669376456995227,0.0317538989832741,0.032153898983274094,0.011224874464673773,0.030381512133792934,0.011231999232001634,0.12194254693103361,0.12334254693103361,0.09089903865758399,0.030381426610543865,0.09090981921042934,1.0361163357105685,1.9721444817116958,1.1106955628997277,4.831883901620004,4.797870198558199,4.971066778916201,0.9904592371288302,4.9360733078889325,4.51284630033294,4.5076380052535026,4.642839269051673,0.9945821744439135,4.637480948535011,136.0051923773191,15.200420550372614,20.279384463101533,13372.468190573463,13408.190667903553,13884.177087641288,1477.0152237605223,13921.266516024436,3.2386853021910627,4.445971450101885,3.362616356676741,2107.293123019357,4.616100338404674
13547,363935,1,0.997041367802516,0.997041367802516,0.007036983333538,9465,55161604,257,0.997565245146149,0.000677470666989,55142958,0.9968,0.0002,513,,,257.0,1.0,,,78399401,513,0.997565245146149,0.000677470666989,78380755,0.9949,0.0011,0.982891773034431,0.9931154811240612,18327,670334.167374617,4839495.58446292,37137.4944102943,0.998337732519298,19.852400641354865,73.79480853802424,441535.906017611,443681.18084006,5354,131.2644031271322,7.707559304772446,18.25827449076821,2767.5474955203345,2794.6130497512895,2792.997500361147,1491.2428178691468,2820.3119458892934,0.7176591194679343,0.9863195413918004,0.7242586188781795,2118.7722615253765,0.9953896069077998,105.51083342271801,86.1750150303388,132.18330537629,3835,194.54687350713567,29487.45681464742,41909.567228714484,71591.57091686904,16237,18646,72.55252918287938,18646,36.346978557504876,1870.680281,729106,0.00045456914232566774,0.001657631869782866,0.0012213898929848194,0.007036983333538,0.0015049323807479723,0.00013464231089018353,0.0015012896686730339,0.10772321738904891,0.00011293891930793882,0.08697845643470006,0.007260582361690717,0.09055490462879345,51.190068329228815,0.007514462589113599,0.0013783931614761468,0.0075980156817227005,0.008541915714285973,0.008741915714285974,0.007541939101391735,0.0071719753691683085,0.007544590473253109,0.11613859388405554,0.11723859388405554,0.10797642144740105,0.007171600751824483,0.107982024377147,1.0117130330515585,1.2083028027921254,1.01589396187131,1.109176868752858,1.1073149321457385,1.1148920474901671,0.9973592244904054,1.1130205170114054,1.6663923455635767,1.8693629945954227,1.6749786498489234,0.9977806529841187,1.8789951316693205,132.80190741945339,9.313065510643073,18.548470809360392,3069.699665206059,3094.5167595589446,3113.8907018125583,1487.304780356859,3139.0650601471443,1.1959016634052622,1.84378925152416,1.2131177235900192,2114.069970629428,1.8703322254939945
3920,650641,1,0.998076814451742,0.998076814451742,0.03635194862718,486,52675803,1025,0.992132936772502,0.001232248855992,52670222,0.9946,0.0005,1025,,,1025.0,1.0,,,75264035,1025,0.992132936772502,0.001232248855992,75258454,0.9959,0.0014,0.9501881383264648,0.9854732278817137,5303,691681.874699698,4652891.9097349,35924.6792923447,0.999485527267353,64.14334114504376,62.26034760795556,541579.044716966,539039.021959223,339,131.2644031271322,7.707559304772446,18.25827449076821,2767.5474955203345,2794.6130497512895,2792.997500361147,1491.2428178691468,2820.3119458892934,0.7176591194679343,0.9863195413918004,0.7242586188781795,2118.7722615253765,0.9953896069077998,89.07453861315176,133.639675260275,211.58993227064,485,1161.7163590057633,94052.39151677323,134383.57051627905,229597.67839205806,16238,5581,5.444878048780488,5581,5.444878048780488,560.068725,773970,0.0004635947596508599,0.0012397362112067135,0.0012023940053272665,0.03635194862718,0.0013588423510334487,0.00013778261327301947,0.0013620401103214262,0.08650322402588943,0.00011526733469290086,0.0687468019990048,0.013049256207715468,0.09651111455179036,49.51735041715538,0.013802336893964975,0.0013783658307495177,0.013882845426963707,0.03771079097821345,0.03821079097821345,0.013192021546106457,0.03637833208662855,0.013201493569779784,0.12423353848381763,0.12563353848381764,0.08749280397159066,0.0363782537777029,0.08750400417587294,1.0389555833395712,2.330847326451521,1.1209944486965981,5.597025143654199,5.546775094570801,5.8255395629456945,0.9836653517198223,5.773237913147463,5.326080087395844,6.161012903405872,5.543532406624956,0.9892398531983573,6.412553721918263,136.37788452267026,17.965143998995398,20.467424346929867,15490.03291868452,15501.090063323005,16270.717437562294,1466.8838909389133,16282.331852910766,3.8223099457361993,6.076727421396245,4.014951124528621,2095.973960952115,6.382989328535368
10673,523461,1,0.997407269277102,0.997407269277102,0.009992267548517,3064,66962790,513,0.996354823673494,0.000789749607567,66947626,0.9965,0.0002,513,,,513.0,1.0,,,95294622,513,0.996354823673494,0.000789749607567,95279458,0.9964,0.0008,0.9746109206014244,0.9915387562684284,14779,856737.6968981,5895241.48930181,45247.2496087764,0.998890231803454,29.73593954368754,78.68886837246109,506280.640953097,507934.659247846,2326,131.2644031271322,7.707559304772446,18.25827449076821,2767.5474955203345,2794.6130497512895,2792.997500361147,1491.2428178691468,2820.3119458892934,0.7176591194679343,0.9863195413918004,0.7242586188781795,2118.7722615253765,0.9953896069077998,111.97771036665787,123.135627459898,165.252635122808,3310,344.0121727632929,44007.12733554572,62626.46112485303,106977.60063316204,16239,15164,29.55945419103314,15164,29.55945419103314,1521.635109,836754,0.0004118596062935877,0.0013821584549154765,0.0010803788204017334,0.009992267548517,0.0014054142069101821,0.00012220338330716146,0.0014031240734518114,0.09011729268598306,0.00010243911177492646,0.07779036392744279,0.008017199758392256,0.09068557299368275,62.36773078841704,0.008340734164520448,0.001378376173751659,0.008381692005989573,0.011397681755427182,0.011597681755427183,0.008255337784446443,0.010087629320330766,0.008257760104005753,0.10148793640824919,0.10228793640824918,0.09048371043394197,0.01008740925159312,0.09048724691299576,1.0195614515402682,1.4591190241935135,1.0728423228528736,2.0817622211304676,2.0756004056618997,2.111042197092563,0.9932918331285925,2.104793715718076,1.952542088943808,1.913515222179259,1.980004584347442,0.9949586860940034,1.940428804883285,133.83212538786583,11.246246411693207,19.588249615961132,5761.375821358474,5800.499979731815,5896.135579636432,1481.2393122010926,5936.174860072402,1.4012596362754943,1.8873374563860759,1.4340353856319423,2108.0908654597088,1.9314826653253447
