COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_TLT_HMS,CPULT_TLT_SHMS,CPULT_phys,CPULT_scaler,CPULT_scaler_uncern,ELT2_HMS,ELT2_SHMS,HMSTRIG_cut,HMSTRIG_scaler,HMS_3-4Trig_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_scaler_accp,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_3-4Trig_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_scaler_accp,SHMS_track,SHMS_track_uncern,TLT,TLT_ELT,TLT_ELT_HMS,TLT_ELT_SHMS,accp_edtm,boilingCorr,c_int_Track_Rand_events,c_int_Track_events,c_int_noTrack_Rand_events,c_int_noTrack_events,charge,curr_corr,current,hTLT,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,min_yield_COIN_notrack,min_yield_COIN_scaler,min_yield_COIN_track,min_yield_HMS_CPULT_notrack,min_yield_HMS_CPULT_track,min_yield_HMS_notrack,min_yield_HMS_scaler,min_yield_HMS_track,min_yield_SHMS_CPULT_notrack,min_yield_SHMS_CPULT_track,min_yield_SHMS_notrack,min_yield_SHMS_scaler,min_yield_SHMS_track,pTLT,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,rateHMSCorr,rateSHMSCorr,rate_COIN,rate_HMS,rate_HMS3-4,rate_SHMS,rate_SHMS3-4,rate_TOTAL,run number,sent_edtm,sent_edtm_HMS,sent_edtm_PS,sent_edtm_SHMS,time,tot_events,uncer_boilingCorr,uncer_rateHMSCorr,uncer_rateSHMSCorr,uncern_COIN_evts_notrack,uncern_COIN_evts_scaler,uncern_COIN_evts_track,uncern_CPULT_phys,uncern_ELT2_HMS,uncern_HMS3-4_evts_scaler,uncern_HMS_evts_notrack,uncern_HMS_evts_scaler,uncern_HMS_evts_track,uncern_SHMS3-4_evts_scaler,uncern_SHMS_evts_notrack,uncern_SHMS_evts_scaler,uncern_SHMS_evts_track,uncern_TLT,uncern_TLT_ELT,uncern_TLT_ELT_HMS,uncern_TLT_ELT_SHMS,uncern_charge,uncern_yieldRel_COIN_notrack,uncern_yieldRel_COIN_scaler,uncern_yieldRel_COIN_track,uncern_yieldRel_HMS_CPULT_notrack,uncern_yieldRel_HMS_CPULT_track,uncern_yieldRel_HMS_notrack,uncern_yieldRel_HMS_scaler,uncern_yieldRel_HMS_track,uncern_yieldRel_SHMS_CPULT_notrack,uncern_yieldRel_SHMS_CPULT_track,uncern_yieldRel_SHMS_notrack,uncern_yieldRel_SHMS_scaler,uncern_yieldRel_SHMS_track,yieldRel_COIN_notrack,yieldRel_COIN_scaler,yieldRel_COIN_track,yieldRel_HMS_CPULT_notrack,yieldRel_HMS_CPULT_track,yieldRel_HMS_notrack,yieldRel_HMS_scaler,yieldRel_HMS_track,yieldRel_SHMS_CPULT_notrack,yieldRel_SHMS_CPULT_track,yieldRel_SHMS_notrack,yieldRel_SHMS_scaler,yieldRel_SHMS_track,yield_COIN_notrack,yield_COIN_scaler,yield_COIN_track,yield_HMS_CPULT_notrack,yield_HMS_CPULT_track,yield_HMS_notrack,yield_HMS_scaler,yield_HMS_track,yield_SHMS_CPULT_notrack,yield_SHMS_CPULT_track,yield_SHMS_notrack,yield_SHMS_scaler,yield_SHMS_track
24199,4553060,1,0.8974652391096078,0.8949675132257723,0.995088278809212,0.995088278809212,0.044506326118007,0.9972169107225661,0.9668941373556319,1135,108620993,375277720,513,0.963478673811585,0.001314777012706,108599600,0.9956,0.0003,8193,,,513,1,,,1292086353,1292086353,8193,0.963478673811585,0.001314777012706,1292064960,0.9895,0.0006,0.8905716823259945,0.992318859290358,0.992318859290358,0.995088278809212,19052,0.9828170458678633,7035270.51017393,7052748.50132839,7041719.88685017,7049746.98272838,131677.678261992,1.00040754650054,61.342693329059536,18.416491375683634,1345750.82261455,1340844.72399123,768,55.79843876952224,7.9018617524077674,56.18583411972022,590.8055950801925,598.3761196377887,593.4085469548926,846.799956856531,601.0124254807887,3123.2344345677484,3046.013968547433,3136.9946781982826,8787.38724346657,3059.4339967865308,231.31734679568083,474671.784468795,436771.281206025,604,1.0,1.0,2121.065369432666,50601.62322606951,174824.96953952915,601924.7753521481,601924.7753521481,654647.4639476503,14601,21393,41.70175438596491,21393,2.611131453679971,2146.591079,4894349,2.7853290030513724e-05,,,5.946654941204592e-06,0.000468649667537267,4.0305063319073756e-06,0.044506326118007,5.581712960357424e-05,5.1620666698421124e-05,0.0008620206567455704,9.594958830481865e-05,0.0008635962667926,2.781981452714449e-05,0.0014514540497825184,2.781981452714449e-05,0.0015131185748667238,0.006452197234899386,1.004818891390843,0.004818891390842954,1.0020004157735727,181.4999653016414,0.00906880886394438,0.0013783654731557553,0.009094051474888966,0.04536834677475257,0.04566834677475257,1.0048340662800714,0.005455777055888066,1.004834111063584,0.047336145640945265,0.04793614564094527,1.0048347448193604,0.04483934678240277,1.0048349239532777,0.9133525477648289,4.353508957408,0.9213701739384823,8.91428857896569,8.8081759461726,9.055557169070646,0.9933355167418607,8.947762923449542,9.499069329197281,9.057297022381407,9.649605193002648,1.1745833943186463,9.200831929197502,50.96364621144294,34.40082591930689,51.76795175576533,5266.611568612388,5270.602143757669,5373.645021565172,841.1564727210676,5377.7166972494815,29667.82042529531,27588.653247456838,30270.76013716382,10321.519135623337,28149.338002905843
27212,4293125,1,0.9141575737422625,0.9120993283842763,0.996909878445754,0.996909878445754,0.033662439245989,0.9977484785806015,0.9741095790411781,1768,129772817,447355247,513,0.9716732173869,0.001114486444169,129741225,0.9967,0.0003,8193,,,513,1,,,1492267776,1492267776,8193,0.9716732173869,0.001114486444169,1492236184,0.9919,0.0005,0.9092808305900227,0.9946653145012233,0.9946653145012233,0.996909878445754,28726,0.9862164883429746,7053233.08547017,8508851.93321449,7058227.72557026,8505441.30674546,155973.770656206,1.00050811120945,49.20182734651894,24.048904786021776,1313408.44593146,1313008.8118891,1481,55.79843876952224,7.9018617524077674,56.18583411972022,590.8055950801925,598.3761196377887,593.4085469548926,846.799956856531,601.0124254807887,3123.2344345677484,3046.013968547433,3136.9946781982826,8787.38724346657,3059.4339967865308,287.34629020005065,472222.352215235,440965.936532399,1108,1.0,1.0,1354.2635671263715,40936.75307997271,141117.92984712048,470734.9265240349,470734.9265240349,513025.943171134,14602,31592,61.58284600389864,31592,3.8559746124740633,3170.08085,4711326,1.7922582804551105e-05,,,4.2324654298011224e-07,0.0004826287989516604,4.2206608452533307e-07,0.033662439245989,4.513204415208065e-05,4.727959331745266e-05,0.000872569638954543,8.77825381644076e-05,0.0008727024187193321,2.5886695756857563e-05,0.0014552135499229125,2.5886695756857563e-05,0.0015059046650749174,0.005364962703829842,1.0034108090836187,0.0034108090836188717,1.0011401956145205,214.98913211821048,0.00739155936247663,0.0013783672165756996,0.00741483961435994,0.03453500888494355,0.03483500888494355,1.0034210659750997,0.004453338260641972,1.0034211108216755,0.036496020012487605,0.036996020012487606,1.00342174179719,0.03395560285283122,1.0034218663709231,0.9386081987447543,3.4559244793254895,0.9434058524678555,7.330683774409811,7.259692236429705,7.417233558881895,0.9977727720446661,7.345403858664731,7.962635323158471,7.686349569837229,8.056646249322675,1.1327277571758259,7.777098525748926,52.37287210623074,27.308237462391816,53.00604473433217,4331.0089896848995,4344.026470199387,4401.449788601172,844.9139403200446,4414.678989232034,24869.17683119403,23412.72815686275,25273.656408251387,9953.717443727352,23793.51962603467
33754,2809371,1,0.9371189169060534,0.9355041689953455,0.99621927154312,0.99621927154312,0.017325727764175,0.998276901808749,0.9808679138891715,7619,112604200,387462565,257,0.979210299067191,0.000995877347269,112568379,0.997,0.0002,8193,,,257,1,,,1250278865,1250278865,8193,0.979210299067191,0.000995877347269,1250243044,0.9929,0.0005,0.9319672817620949,0.9945026879182346,0.9945026879182346,0.99621927154312,33384,0.9895008923272709,4913580.48279567,7421746.02866433,4912978.6765888,7415740.20695718,134682.745185419,1.00066716814375,37.47181311688933,29.559197119008402,956584.109044609,958994.890869713,4120,55.79843876952224,7.9018617524077674,56.18583411972022,590.8055950801925,598.3761196377887,593.4085469548926,846.799956856531,601.0124254807887,3123.2344345677484,3046.013968547433,3136.9946781982826,8787.38724346657,3059.4339967865308,335.99053627760253,330044.916532049,312677.995611546,1469,1.0,1.0,781.6311209210894,31329.05802274692,107800.92732355764,347856.1111059726,347856.1111059726,379966.80024964066,14603,35821,139.38132295719845,35821,4.372146954717442,3594.241484,3389287,1.0398857311399334e-05,,,3.6770500942295886e-07,0.0005966167643764634,3.6723591221936136e-07,0.017325727764175,3.4521447669058904e-05,5.080250478420543e-05,0.001022441382735149,9.42372719314402e-05,0.0010211554352441738,2.8281116777934208e-05,0.001740658102488498,2.8281116777934208e-05,0.001788345146362105,0.0051007863087433715,1.0020416619817911,0.0020416619817911754,1.0003024635845341,185.64276290787782,0.00650030860111185,0.001378370797627446,0.006522870622865343,0.018348169146910148,0.018548169146910147,1.0020483204401764,0.0035083950406021355,1.0020483403992937,0.02044475666429093,0.02094475666429093,1.0020493106635158,0.017677115311809845,1.002049435407868,0.9512618344720623,2.6043836583569084,0.9551756070011987,3.0992394845086184,3.0769713739575515,3.1237676713160094,0.9985429772771244,3.10132332515031,6.448443056985833,6.308793661527008,6.499477711361259,1.0876930475300663,6.358723094290334,53.07892522457277,20.57947961856627,53.667338210172424,1831.0480279411433,1841.186190985275,1853.6704348603016,845.566150077661,1863.9338538487325,20139.999404927472,19216.67361769477,20388.826991608625,9557.980010672984,19454.093610823493
39441,1840367,1,0.9563814243495619,0.9552799222167613,0.996877924865774,0.996877924865774,0.008978010657981,0.9988482606366496,0.9877020378644902,9995,109060227,374459451,257,0.986728694632542,0.000808223775513,109008322,0.9974,0.0002,4097,,,257,1,,,1164515675,1164515675,4097,0.986728694632542,0.000808223775513,1164463770,0.9957,0.0003,0.9522974665253829,0.9957297813192509,0.9957297813192509,0.996877924865774,49429,0.9930226031517666,3298890.87344217,7216997.88642702,3298875.27046285,7209298.53139176,129650.545981088,1.00100424698226,24.89427445797625,40.209941238801655,689530.185451111,693528.278140369,8121,55.79843876952224,7.9018617524077674,56.18583411972022,590.8055950801925,598.3761196377887,593.4085469548926,846.799956856531,601.0124254807887,3123.2344345677484,3046.013968547433,3136.9946781982826,8787.38724346657,3059.4339967865308,437.20803390810136,247077.447424773,237382.527071908,5539,1.0,1.0,353.369905654584,20940.715697280768,71900.17038522063,223599.31155472482,223599.31155472482,244893.39715766016,14604,51905,201.96498054474708,51905,12.669026116670734,5208.046782,2543252,4.592695892197778e-06,,,3.361416188800641e-07,0.0007371362711214549,3.3575507141167643e-07,0.008978010657981,2.3061347929190885e-05,5.1677036675049065e-05,0.0012042685882819087,9.575617755475559e-05,0.001200792351773046,2.930402867492593e-05,0.002011793714883273,2.930402867492593e-05,0.0020524643648453062,0.004283371085929078,1.0012414115315054,0.0012414115315054798,1.0000811103499772,178.7079214513243,0.005169530079793696,0.0013783815571235605,0.005182183813894516,0.010182279246262908,0.010382279246262909,1.001245378046782,0.002549967192048595,1.0012453980219052,0.012368185929987775,0.012668185929987774,1.0012466749563576,0.009332639803942557,1.0012467199003259,0.9724709319170245,1.743974055280131,0.9735889187447077,2.3184063504058443,2.3083487903691076,2.327135698466173,1.000022808468866,2.3170402693379444,2.5051990401629074,2.4785750063599727,2.514631706864392,1.041048257568442,2.4879074272793518,54.262359749712324,13.780641884609537,54.70190548938791,1369.727443489222,1381.26079195165,1380.9422133936707,846.8192710669828,1392.569992211458,7824.323907682864,7549.774091465019,7888.386282062261,9148.094178390029,7611.588563876162
23584,350150,1,0.9574497983453476,0.9568523328745145,0.996303060749809,0.996303060749809,0.005914941926933,0.9993759824568708,0.993567209586343,12655,34184981,117362983,129,0.993095981580566,0.000784520252755,34154950,0.9975,0.0002,2049,,,129,1,,,352401660,352401660,2049,0.993095981580566,0.000784520252755,352371629,0.9971,0.0003,0.953314907928474,0.9956813501616277,0.9956813501616277,0.996303060749809,28629,0.9962352267621513,574346.85879458,2245824.9582113,574691.6633491,2242635.15415481,40436.5198221933,1.00186280532564,13.420618706602449,40.717625120708604,184853.798057615,186754.440132023,9479,55.79843876952224,7.9018617524077674,56.18583411972022,590.8055950801925,598.3761196377887,593.4085469548926,846.799956856531,601.0124254807887,3123.2344345677484,3046.013968547433,3136.9946781982826,8787.38724346657,3059.4339967865308,424.9333022543372,61522.8031248367,59827.676594815,6228,1.0,1.0,116.21251435039936,11345.773511439753,38952.01298327339,116959.82570285465,116959.82570285465,128421.8117286448,14605,30031,232.7984496124031,30031,14.6564177647633,3013.014579,770475,1.3370833657290779e-06,,,1.1448041281382432e-06,0.0016899464168734668,1.1437006337458443e-06,0.005914941926933,1.2488143683324324e-05,9.230695617084508e-05,0.002325872002482369,0.00017103395109302775,0.0023140062731485714,5.326979521717861e-05,0.004031641830844127,5.326979521717861e-05,0.0040883581244432685,0.005634302866869691,1.000664296369633,0.0006642963696330068,1.0000352466658349,55.738872886343245,0.0061780155068735815,0.0013784290322653588,0.006188586319604038,0.008240813929415369,0.00844081392941537,1.0006686169054506,0.0018073623125585377,1.000668636892087,0.011325012790034037,0.011625012790034037,1.0006740354954493,0.006182760357054942,1.000674080465137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55.79843876952224,7.9018617524077674,56.18583411972022,590.8055950801925,598.3761196377887,593.4085469548926,846.799956856531,601.0124254807887,3123.2344345677484,3046.013968547433,3136.9946781982826,8787.38724346657,3059.4339967865308
24293,353371,1,0.973479109238423,0.972870608963927,0.996296366353353,0.996296366353353,0.005897955825483,0.999374922102877,0.993556074922681,12964,34434810,118210546,129,0.993084604635355,0.000783734032064,34404614,0.9974,0.0002,2049,,,129,1,,,354988293,354988293,2049,0.993084604635355,0.000783734032064,354958097,0.9973,0.0003,0.9692674526427342,0.9956736035157615,0.9956736035157615,0.996296366353353,29268,0.9962299135225893,585417.58750134,2305889.20698243,585607.060081356,2304506.63301178,40720.4346923318,1.0018601751626,13.43959456218138,41.95618624983441,188971.273417727,190555.977668062,9821,55.79843876952224,7.9018617524077674,56.18583411972022,590.8055950801925,598.3761196377887,593.4085469548926,846.799956856531,601.0124254807887,3123.2344345677484,3046.013968547433,3136.9946781982826,8787.38724346657,3059.4339967865308,436.52195655053646,62303.447740655,60605.556347251,6433,1.0,1.0,116.62849392241206,11365.05267496318,39014.853923287454,117162.27413307241,117162.27413307241,128643.955301958,14606,30196,234.07751937984497,30196,14.736944851146902,3029.885649,787472,1.3408600911168818e-06,,,1.1161950154396696e-06,0.001682226798803296,1.115761137884449e-06,0.005897955825483,1.250937727770228e-05,9.197544301394108e-05,0.0023003933590519973,0.00017041238493754207,0.0022908081077030107,5.3075364396122925e-05,0.004006304546275951,5.3075364396122925e-05,0.004062036100972413,0.005665706546528461,1.000665172734939,0.0006651727349390241,1.0000350449898174,56.13022147093412,0.006116292277402366,0.0013784288378885829,0.0061269672768869115,0.008198349184534997,0.008398349184534998,1.0006694362577502,0.0018083481461480433,1.0006694562443703,0.011282689209639315,0.011582689209639313,1.0006748119778548,0.006166816526042568,1.0006748569475077,1.0040121172733467,1.0025102264355337,1.0030375385496637,1.0151561154295021,1.013352644233876,1.0151626067129174,1.0002955076018405,1.0133591239852302,1.0056373367479319,1.0057467222505372,1.005643767164758,1.000335870129831,1.0057531533668147,56.02230864953522,7.921697214668594,56.356500756803875,599.7599128756235,606.3660230813595,602.4061673724534,847.0501926810203,609.0414249894504,3140.8411588181434,3063.518564795931,3154.699145759119,8790.338664360908,3077.0353897856903
