COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events,c_int_Track_events,c_int_noTrack_events,c_int_Track_Rand_events,c_int_noTrack_Rand_events
19339,4553060,1,0.995088278809212,0.044506326118007,1035,108620993,513,0.963478673811585,0.001314777012706,0.9956,0.0003,8193,,,513,1,,,1292086353,8193,0.963478673811585,0.001314777012706,0.9895,0.0006,18505,131677.678261992,0.997717739596972,1345750.82261455,1340844.72399123,744,474671.784468795,436771.281206025,586,14601,21393,21393,2146.591079,4894349,7052748.50132839,7049746.98272838,7035270.51017393,7041719.88685017
21861,4293125,1,0.996909878445754,0.033662439245989,1630,129772817,513,0.9716732173869,0.001114486444169,0.9967,0.0003,8193,,,513,1,,,1492267776,8193,0.9716732173869,0.001114486444169,0.9919,0.0005,28051,155973.770656206,0.997154577227101,1313408.44593146,1313008.8118891,1443,472222.352215235,440965.936532399,1080,14602,31592,31592,3170.08085,4711326,8508851.93321449,8505441.30674546,7053233.08547017,7058227.72557026
27407,2809371,1,0.99621927154312,0.017325727764175,7051,112604200,257,0.979210299067191,0.000995877347269,0.997,0.0002,8193,,,257,1,,,1250278865,8193,0.979210299067191,0.000995877347269,0.9929,0.0005,32831,134682.745185419,0.996263858395021,956584.109044609,958994.890869713,4050,330044.916532049,312677.995611546,1444,14603,35821,35821,3594.241484,3389287,7421746.02866433,7415740.20695718,4913580.48279567,4912978.6765888
33602,1840367,1,0.996877924865774,0.008978010657981,9304,109060227,257,0.986728694632542,0.000808223775513,0.9974,0.0002,4097,,,257,1,,,1164515675,4097,0.986728694632542,0.000808223775513,0.9957,0.0003,48904,129650.545981088,0.994376216899338,689530.185451111,693528.278140369,8029,247077.447424773,237382.527071908,5477,14604,51905,51905,5208.046782,2543252,7216997.88642702,7209298.53139176,3298890.87344217,3298875.27046285
21655,350150,1,0.996303060749809,0.005914941926933,11836,34184981,129,0.993095981580566,0.000784520252755,0.9975,0.0002,2049,,,129,1,,,352401660,2049,0.993095981580566,0.000784520252755,0.9971,0.0003,28464,40436.5198221933,0.989568290176434,184853.798057615,186754.440132023,9426,61522.8031248367,59827.676594815,6193,14605,30031,30031,3013.014579,770475,2245824.9582113,2242635.15415481,574346.85879458,574691.6633491
22369,353371,1,0.996296366353353,0.005897955825483,12163,34434810,129,0.993084604635355,0.000783734032064,0.9974,0.0002,2049,,,129,1,,,354988293,2049,0.993084604635355,0.000783734032064,0.9973,0.0003,29100,40720.4346923318,0.989583019089433,188971.273417727,190555.977668062,9768,62303.447740655,60605.556347251,6397,14606,30196,30196,3029.885649,787472,2305889.20698243,2304506.63301178,585417.58750134,585607.060081356
