rate_SHMS,yieldRel_COIN_track,uncern_yieldRel_COIN_track
270301.521547012,0.911807104181887,0.00589922283937997
211668.25554174,0.948892848361066,0.00479638911700453
210000.592420234,0.926184408356518,0.00476183311918518
157248.580139294,0.966511677848619,0.00374900580790831
51010.7494341283,1.01245541412965,0.00184708335730495
50982.4413891045,0.995114025412151,0.00186569696829999
51082.7348732704,0.99982252218111,0.00186173095398401
50944.2212400974,1,0.00184597504152571
270811.06805207,0.901449824191436,0.00590208909826674
212505.841825892,0.949920824982339,0.00479350113323074
158651.716879418,0.941649690240024,0.00378143856235061
