14135,0,1,279.362519,277711,277739,276992
14136,1,2,269.47305,270117,270145,269468
14137,2,3,275.637233,275993,276021,275352
14138,3,5,280.93229,168959,281612,280925
14139,4,9,281.932447,94139,282417,281640
14140,5,17,282.387881,50109,283951,283215
14141,6,33,266.418806,24037,264404,263782
14146,11,1025,277.335163,834,284919,284255
14147,0,1,283.203616,1282388,2819595,2818897
14148,1,2,274.340754,1249736,2744171,2743459
14152,5,17,286.152325,504840,2861130,2860437
14153,6,33,289.032835,262787,2890830,2890081
14154,7,65,356.403769,164697,3568526,3567641
14155,8,129,281.13551,65800,2829453,2828733
14156,9,257,270.216,32428,2778104,2777428
14157,10,513,286.304629,17183,2938307,2937555
14158,11,1025,285.07267,8554,2922827,2922061
14159,12,2049,281.646594,4225,2886228,2885514
14160,13,4097,281.415585,1693,2311302,2310621
14161,14,8193,279.179507,838,2288029,2287350
