CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_eLT,HMS_eLT_uncern,HMS_evts_scaler,HMS_evts_scaler_uncern,HMS_track,HMS_track_uncern,PS4,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_eLT,SHMS_eLT_uncern,SHMS_evts_scaler,SHMS_evts_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,h_int_goodscin_evts,p_int_goodscin_evts,run number,sent_edtm,time
0.9980573668242085,0.009685904001612889,81397,48085568.0,0.8966934224991095,0.00243577844430618,4908,70.05711955254797,0.9942,0.0001,1025,68593,641079024.0,0.8966934224991095,0.00243577844430618,663,25.748786379167466,0.9018,0.004,808,40514.13007431588,2690.4166666666665,91.99999999999999,12126,379517.0,585.757386
0.9980438656111326,0.010759129469416087,80572,39431292.0,0.9199891770607962,0.0022394464454183333,4335,65.84071688552609,0.995,0.0001,1025,69421,536160552.0,0.9199891770607962,0.0022394464454183333,639,25.278449319529077,0.9253,0.0039,970,32891.60966340718,2480.0,52.66666666666667,12128,394439.0,606.844255
0.9971520581834987,0.006670159347629699,54458,27521925.0,0.9429446215282918,0.0020582601859003885,3146,56.089214649520635,0.9959,0.0002,513,95537,381341765.0,0.9429446215282918,0.0020582601859003885,420,20.493901531919196,0.9323,0.0036,930,22732.429846934967,1615.5,35.0,12129,376391.0,579.0781809999999
0.9962023009433996,0.011016830259276125,78409,17713697.0,0.9651685318606145,0.0017840957898976593,2470,49.69909455915671,0.9962,0.0001,513,71585,251629130.0,0.9651685318606145,0.0017840957898976593,477,21.840329667841555,0.9587,0.0032,967,14571.12825020515,1510.5,32.666666666666664,12130,197217.0,597.674599
0.9962095433583719,0.015856059293687077,78062,8512609.0,0.9835374489269271,0.0014702039496142705,1291,35.93048844644336,0.9973,0.0002,513,71932,121947398.0,0.9835374489269271,0.0014702039496142705,316,17.776388834631177,0.967,0.0044,2009,6845.090736891392,787.6666666666667,11.0,12131,194638.0,589.8588689999999
0.9962018350921947,0.013249686843443978,78156,12241319.0,0.9751695181524589,0.0016501471211080832,1884,43.40506882842141,0.9969,0.0001,513,71840,175149702.0,0.9751695181524589,0.0016501471211080832,436,20.8806130178211,0.9626,0.0038,1312,9974.82017105585,1166.5,32.0,12132,188133.0,570.143273
0.996196623916827,0.019202469372027544,78211,5845541.0,0.9891099226826785,0.001315361372681199,867,29.444863728670914,0.9975,0.0002,513,71780,83373351.0,0.9891099226826785,0.001315361372681199,217,14.730919862656235,0.963,0.0061,2861,4611.210422637976,533.3333333333333,14.666666666666668,12133,197988.0,600.0102580000001
0.9925658466768438,0.010455078457299552,76569,9465025.0,0.9834721870897613,0.0014310296371046344,1349,36.72873534441391,0.9971,0.0001,257,73426,137092485.0,0.9834721870897613,0.0014310296371046344,366,19.131126469708992,0.9721,0.0027,983,7664.325964941802,808.6666666666666,18.0,12140,112237.0,660.3350849999999
0.998133788500931,0.013649609788347656,81079,22372820.0,0.8975721653807782,0.002935961667601266,4670,68.33739825307956,0.9941,0.0002,1025,68915,298521141.0,0.8975721653807782,0.002935961667601266,608,24.657656011875904,0.8984,0.0052,919,18698.808963081803,2627.083333333333,72.0,12141,178830.0,275.1274619999999
0.9980800487849972,0.01194214639637829,81304,30909539.0,0.897108836470326,0.00271455418082004,4889,69.92138442565336,0.9944,0.0002,1025,68689,412072550.0,0.897108836470326,0.00271455418082004,687,26.210684844162312,0.8882,0.0054,752,25787.27845014962,2732.0,90.66666666666666,12142,246211.0,378.795919
