Run_Start,Run_End,setcurr,threshold
12126,12126,70,4
12128,12128,55,3
12129,12129,40,2.5
12130,12130,25,2
12131,12131,12,1.5
12132,12132,18,2
12133,12133,8,1
12135,12135,5,1
12137,12137,3,0.4
12140,12140,12,1
12141,12141,70,4.5
12142,12142,70,4.5
12143,12143,70,5
12144,12144,70,10
12145,12145,55,10
12147,12147,40,10
12148,12148,25,7
12150,12150,18,5
12151,12151,12,4
12152,12152,8,3
12153,12153,5,2
12154,12154,3,1
12158,12158,40,3
12159,12159,25,2
12160,12160,18,2
12161,12161,12,1
12162,12162,8,1
12164,12164,5,0.6
12166,12166,3,0.4
12167,12167,55,3
12168,12168,40,5
12170,12170,25,1.5
12171,12171,10,1
12172,12172,18,1.5
12174,12174,5,0.6
12175,12175,18,1.5
12176,12176,70,5
12181,12181,70,10
12184,12184,55,10
12185,12185,40,8
12186,12186,25,7
12187,12187,18,6
12189,12189,10,5
12190,12190,5,2
12191,12191,70,5
12192,12192,70,4
12193,12193,55,4
12194,12194,40,4
12195,12195,25,2
12196,12196,18,1.5
12197,12197,10,1
12198,12198,5,0.6
12199,12199,70,3.5
12200,12201,40,5
12202,12202,30,5
12203,12204,20,5
12205,12207,16,2.5
12208,12211,12,2.5
12212,12216,8,2.5
12217,12217,40,5
12218,12220,70,5
12221,12223,55,5
12224,12230,30,5
12233,12233,55,5
12234,12242,40,5
12243,12248,25,5
12250,12258,18,2.5
12259,12259,40,5
13062,13062,40,5
13128,13128,40,5
13874,13874,70,5
13875,13875,55,3
13877,13877,40,3
13878,13878,25,3
13879,13879,18,2
13880,13880,10,2
13881,13881,5,1
13882,13882,40,3
13885,13885,40,3
13886,13886,25,3
13887,13888,18,2
13891,13891,10,2
13892,13892,5,1
13894,13894,5,1
13897,13897,70,5
13898,13898,55,3
13899,13899,55,3
13900,13900,55,3
13901,13901,55,3
13902,13902,55,3
13903,13903,55,3
13904,13904,40,3
13905,13905,55,3
13906,13906,25,3
13907,13907,18,2
13908,13908,10,2
13910,13910,5,1
13911,13911,10,2
13912,13912,10,2
13913,13913,10,2
13914,13914,10,2
13915,13915,10,2
13916,13916,10,2
13918,13918,10,2
13919,13919,10,2
14601,14601,65,10
14602,14602,52,7
14603,14603,40,7
14604,14604,27,5
14605,14605,15,3
14606,14606,15,3
14607,14607,15,3
14610,14612,40,7
14613,14613,70,10
14614,14615,56,7
14616,14616,43,7
14617,14619,19,3
14620,14623,15,3
14624,14624,70,10
14625,14625,56,7
14626,14626,43,7
14627,14627,15,3
15816,15821,40,5
15822,15829,55,10
15830,15831,30,5
15833,15833,20,4
15834,15834,12,3
15835,15835,65,10
15836,15836,50,10
16039,16039,10,4
16220,16226,80,15
16235,16236,50,7
16237,16237,20,4
16238,16238,65,10
16239,16241,30,5
16242,16242,12,3
16258,16265,80,15
16266,16266,40,5
16268,16269,20,4
16270,16272,12,3
16273,16275,60,10
16276,16276,30,5
16703,16703,80,10
16704,16704,60,10
16706,16706,40,7
16708,16708,25,5
16709,16709,15,4
16710,16710,8,3
16711,16711,2.5,1
16712,16712,2.5,1
16713,16713,40,6
16715,16715,80,10
16716,16716,80,10
16717,16717,60,10
16718,16718,40,7
16719,16719,25,5
16721,16721,15,4
16722,16722,8,3
16723,16723,5,2
16725,16725,2.5,1
16726,16726,1,0.5
16727,16727,80,10
16728,16728,80,10
16729,16729,60,10
16731,16731,25,6
16732,16732,15,4
16733,16733,15,4
16734,16734,8,3
16735,16735,5,2
16736,16736,2.5,1
16737,16737,1,0.5
16738,16738,1,0.5
16739,16739,2.5,1
16740,16740,5,2
16741,16741,8,3
16742,16742,15,4
16743,16743,25,5
16744,16744,40,6
16745,16745,60,7
16746,16746,80,10
16747,16747,80,10
16748,16748,60,7
16750,16750,40,6
16751,16751,25,5
16752,16752,15,4
16753,16753,8,3
16754,16754,5,2
16755,16755,1.5,0.7
16756,16756,1,0.5
16757,16757,40,6
16758,16758,40,6
16759,16759,80,10
16760,16760,40,6
16761,16761,25,5
16762,16762,15,4
16763,16763,80,10
16764,16764,60,10
