Run_Start,Run_End,noedtm,edtmLow,edtmHigh,edtmTLow,edtmTHigh,ptrigHMSLow,ptrigHMSHigh,ptrigHMSTLow,ptrigHMSTHigh,ptrigSHMSLow,ptrigSHMSHigh,ptrigSHMSTLow,ptrigSHMSTHigh,ptrigCOINLow,ptrigCOINHigh,ptrigCOINTLow,ptrigCOINTHigh,goodstarttime,goodscinhit
0,12125,0,2600,2900,174,184,4700,5100,450,520,5300,5900,415,460,0,10000,-10000,10000,1,1
12201,12201,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4766,5052,-10000,10000,1,1
12202,12202,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4767,5053,-10000,10000,1,1
12203,12203,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4764,5051,-10000,10000,1,1
12204,12204,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4764,5051,-10000,10000,1,1
12205,12205,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4765,5051,-10000,10000,1,1
12206,12206,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4769,5055,-10000,10000,1,1
12207,12207,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4770,5056,-10000,10000,1,1
12208,12208,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4758,5044,-10000,10000,1,1
12209,12209,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4766,5052,-10000,10000,1,1
12210,12210,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4752,5038,-10000,10000,1,1
12211,12211,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4743,5063,-10000,10000,1,1
12212,12212,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4741,5062,-10000,10000,1,1
12213,12213,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4738,5060,-10000,10000,1,1
12214,12214,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4762,5045,-10000,10000,1,1
12215,12215,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4768,5054,-10000,10000,1,1
12216,12216,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4767,5052,-10000,10000,1,1
12217,12217,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4768,5054,-10000,10000,1,1
12233,12233,0,3650,3950,174,184,4700,5100,450,520,5300,5900,415,460,4765,5051,-10000,10000,1,1
