Run_Start,Run_End,Bunch_Spacing,Coin_Offset,nSkip,nWindows,Pion_Prompt_Peak,Kaon_Prompt_Peak,Proton_Prompt_Peak,PiRFLow,PiRFHigh,KRFLow,KRFHigh,pRFLow,pRFHigh,Raw_InHigh,Raw_InLow,Raw_OutHigh,Raw_OutLow
8000,11699,4.008,0.0,2,6,0,0,0,0,4.008,0.75,1.75,0,0.75,135,25,250,-150
11700,11882,4.008,0.0,2,6,0,0,0,0,4.008,0,4.008,0,4.008,135,25,250,-150
11883,11904,4.008,0.0,2,6,0,0,0,0.5,3.1,1.1,2.3,0.5,1.6,135,25,250,-150
11905,12199,4.008,0.0,2,6,0,0,0,0.5,3.1,1.1,2.3,0.5,1.6,135,25,250,-150
12200,12258,4.008,0.0,2,6,0,0,0,0.5,3.1,1.1,2.3,0.5,1.6,135,25,250,-150
12259,13444,4.008,0.0,2,6,0,0,0,0.5,3.1,1.1,2.3,0.5,1.6,135,25,250,-150
13445,13588,2.004,0.0,2,6,0,0,0,0,4.008,0,4.008,0,4.008,135,25,250,-150
13589,13920,2.004,0.0,2,6,0,0,0,0,4.008,0,4.008,0,4.008,135,25,250,-150
13921,14077,2.004,0.0,2,6,0,0,0,0.3,1.7,0,2.004,0,2.004,135,25,250,-150
14078,14604,2.004,0.0,2,6,0,0,0,0,2.004,0,2.004,0,2.004,135,25,250,-150
14605,14964,2.004,0.0,2,6,0,0,0,0,2.004,0,2.004,0,2.004,135,25,250,-150
14965,14973,2.004,0.0,2,6,0,0,0,0,2.004,0,2.004,0,2.004,100,30,250,-150
14974,99999,4.008,0.0,2,6,0,0,0,0,4.008,0,4.008,0,4.008,100,30,250,-150
