Physics_Setting,simc_normfactor,simc_nevents,normfac_simc
Q3p85_W2p62_t0p21_loweps_center,20264300.0,900000,22.515888888888888
Q3p85_W2p62_t0p21_loweps_left,20699500.0,900000,22.999444444444446
Q3p85_W2p62_t0p21_higheps_right,71593000.0,900000,79.54777777777778
Q3p85_W2p62_t0p21_higheps_center,75389800.0,900000,83.76644444444445
Q3p85_W2p62_t0p21_higheps_left,77829500.0,900000,86.47722222222222
