Physics_Setting,total_tbins,tbin_number,t_min,t_max,t_central,total_phibins,phi_central,avg_Q2,avg_Q2_err,avg_W,avg_W_err,avg_eps,avg_eps_err,avg_theta,avg_theta_err
Q3p85_W2p62_t0p21_loweps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.655782,0.000923,2.664947,0.000245,0.287206,0.000067,0.025596,0.000051
Q3p85_W2p62_t0p21_loweps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.797845,0.000767,2.629804,0.000203,0.291450,0.000051,0.029827,0.000044
Q3p85_W2p62_t0p21_loweps_left,5,3,0.2720,0.3100,0.2910,15,180.0000,3.870727,0.000755,2.611811,0.000196,0.293386,0.000042,0.036160,0.000041
Q3p85_W2p62_t0p21_loweps_left,5,4,0.3100,0.3580,0.3340,15,180.0000,3.901303,0.000699,2.604557,0.000180,0.293937,0.000036,0.044465,0.000036
Q3p85_W2p62_t0p21_loweps_left,5,5,0.3580,0.5000,0.4290,15,180.0000,3.939712,0.000619,2.597454,0.000161,0.293123,0.000032,0.054183,0.000033
Q3p85_W2p62_t0p21_higheps_right,5,1,0.1600,0.2360,0.1980,15,180.0000,3.551227,0.001734,2.689304,0.000399,0.777387,0.000035,0.023236,0.000103
Q3p85_W2p62_t0p21_higheps_right,5,2,0.2360,0.2720,0.2540,15,180.0000,3.697770,0.002231,2.654818,0.000525,0.778267,0.000048,0.033247,0.000113
Q3p85_W2p62_t0p21_higheps_right,5,3,0.2720,0.3100,0.2910,15,180.0000,3.771412,0.002242,2.636538,0.000534,0.778900,0.000046,0.039808,0.000109
Q3p85_W2p62_t0p21_higheps_right,5,4,0.3100,0.3580,0.3340,15,180.0000,3.839551,0.002197,2.619815,0.000531,0.779404,0.000042,0.046790,0.000104
Q3p85_W2p62_t0p21_higheps_right,5,5,0.3580,0.5000,0.4290,15,180.0000,3.932099,0.001639,2.596958,0.000400,0.780084,0.000028,0.059547,0.000081
Q3p85_W2p62_t0p21_higheps_center,5,1,0.1600,0.2360,0.1980,15,180.0000,3.625542,0.001578,2.670332,0.000375,0.778226,0.000034,0.020292,0.000089
Q3p85_W2p62_t0p21_higheps_center,5,2,0.2360,0.2720,0.2540,15,180.0000,3.795900,0.002043,2.630131,0.000492,0.779179,0.000041,0.027214,0.000113
Q3p85_W2p62_t0p21_higheps_center,5,3,0.2720,0.3100,0.2910,15,180.0000,3.873051,0.002462,2.611365,0.000599,0.779673,0.000041,0.032830,0.000133
Q3p85_W2p62_t0p21_higheps_center,5,4,0.3100,0.3580,0.3340,15,180.0000,3.922434,0.002694,2.599342,0.000660,0.779971,0.000041,0.039862,0.000149
Q3p85_W2p62_t0p21_higheps_center,5,5,0.3580,0.5000,0.4290,15,180.0000,3.950652,0.002220,2.592742,0.000545,0.780079,0.000033,0.055490,0.000136
Q3p85_W2p62_t0p21_higheps_left,5,1,0.1600,0.2360,0.1980,15,180.0000,3.622514,0.003763,2.667452,0.000956,0.779131,0.000087,0.027914,0.000197
Q3p85_W2p62_t0p21_higheps_left,5,2,0.2360,0.2720,0.2540,15,180.0000,3.759381,0.002862,2.637113,0.000697,0.779396,0.000058,0.031749,0.000150
