Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,1,0,24,4069.0,0.007886733292691857,0.00012515698249524517,1.586930581400798
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,2,24,48,4713.0,0.009023367346051287,0.0001330636978129325,1.4746567740164367
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,3,48,72,6898.0,0.012817923910682065,0.00015629281452780947,1.21933017871607
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,4,72,96,9076.0,0.016144134733802842,0.0001717456733393505,1.0638270565206986
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,5,96,120,9713.0,0.016493544506599882,0.00016988717752666388,1.0300222457257968
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,6,120,144,9829.0,0.01594445228368195,0.00016360118900830123,1.0260696704880592
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,7,144,168,9746.0,0.01541516474611214,0.00015911219481720094,1.0321796583934053
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,8,168,192,9281.0,0.014639820536834639,0.00015483109825108893,1.057602433455553
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,9,192,216,9780.0,0.015513493392221992,0.00015977426783474904,1.0299051528578027
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,10,216,240,10147.0,0.016500711008113497,0.0001666809601676894,1.0101441088552572
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,11,240,264,9672.0,0.016364078521750106,0.00016896388151073073,1.0325291539401658
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,12,264,288,9155.0,0.0162951193098179,0.0001726390375267914,1.0594524301689243
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,13,288,312,6991.0,0.013064943717337773,0.00015821299023555642,1.2109733777543994
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,14,312,336,4837.0,0.009276537511311795,0.00013503468574071792,1.455658273100894
Q3p85_W2p62_t0p21_loweps_center,1,0.16,0.236,15,336,360,3933.0,0.007647378935688762,0.00012341103637417922,1.613769075810341
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,1,0,24,3844.0,0.007020053927100692,0.00011440707458717218,1.6297178878570624
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,2,24,48,4741.0,0.00847375941137852,0.0001243791613627379,1.4678155860281117
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,3,48,72,7158.0,0.012201064389431082,0.00014583081673032837,1.1952302854548598
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,4,72,96,9850.0,0.015589838617176143,0.00015908177788616132,1.02041965791033
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,5,96,120,10713.0,0.015597078090886264,0.00015296031083113085,0.980698499679303
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,6,120,144,9944.0,0.013454189187853318,0.0001373950368454587,1.0212063687160087
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,7,144,168,6415.0,0.008607492094905102,0.00010977654095154236,1.275360345861028
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,8,168,192,5057.0,0.006878746966407088,9.878635672060581e-05,1.4361097624761734
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,9,192,216,6374.0,0.008601865194885488,0.00011002094990812485,1.2790359697050506
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,10,216,240,9918.0,0.013395789920162975,0.00013694763036732632,1.0223184387297424
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,11,240,264,10918.0,0.0158929213241647,0.00015436618301312141,0.9712889145081991
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,12,264,288,9925.0,0.015646604387850805,0.00015902470596723344,1.016352826628071
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,13,288,312,6958.0,0.011874706289678072,0.00014394054162296816,1.212160857806534
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,14,312,336,4722.0,0.008455776878654592,0.00012432220134335882,1.470263503016412
Q3p85_W2p62_t0p21_loweps_center,2,0.236,0.272,15,336,360,3842.0,0.006984665065195567,0.00011383356066637758,1.6297640560262183
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,1,0,24,3637.0,0.006469595367324705,0.00010832712128563434,1.6744033457293257
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,2,24,48,4896.0,0.008474310154349815,0.00012235349571553545,1.4438165878638758
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,3,48,72,7677.0,0.012491543835590887,0.00014411154673815753,1.1536728256723172
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,4,72,96,10671.0,0.01567913251562765,0.00015373653292515934,0.980516828797305
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,5,96,120,11154.0,0.014661426705600876,0.0001412604438609581,0.9634836138218019
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,6,120,144,6030.0,0.007547088396508999,9.96612440621687e-05,1.3205257289455927
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,7,144,168,2360.0,0.0032319321385195212,6.813422175691254e-05,2.108157561381328
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,8,168,192,1808.0,0.002527921173142244,6.0811695163584206e-05,2.405600926550821
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,9,192,216,2422.0,0.00332154929325665,6.917399896374607e-05,2.082582339036241
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,10,216,240,6163.0,0.007712455188933868,0.00010072902490601322,1.3060565337292742
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,11,240,264,11293.0,0.01478622038081488,0.00014163314504025363,0.9578725420867027
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,12,264,288,10797.0,0.015862746994873982,0.00015471139692339934,0.975312768799717
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,13,288,312,7539.0,0.012301476854068022,0.00014320848090214938,1.164156813047949
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,14,312,336,4733.0,0.008196522659221111,0.00012031098542160008,1.467829595837814
Q3p85_W2p62_t0p21_loweps_center,3,0.272,0.31,15,336,360,3636.0,0.006411375291848106,0.00010735811964243239,1.6744943909138401
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,1,0,24,2642.0,0.0046776954103270665,9.182455618991485e-05,1.9630298284747538
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,2,24,48,3935.0,0.0067658667786175755,0.0001088590512466779,1.6089446453588074
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,3,48,72,7473.0,0.011781438213632107,0.00013767513846267175,1.1685766709141685
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,4,72,96,10185.0,0.01417982819832861,0.0001426064344107983,1.005699310430344
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,5,96,120,7953.0,0.009791748033536316,0.00011235381646057142,1.1474336969840773
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,6,120,144,2214.0,0.002964934590817652,6.479064310368166e-05,2.1852300993194618
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,7,144,168,974.0,0.0014268684242711267,4.663549840355834e-05,3.2683811352389203
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,8,168,192,783.0,0.0011674156985328613,4.2425347032137654e-05,3.634125109458037
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,9,192,216,933.0,0.0013705916515525706,4.579067142987571e-05,3.340941948537716
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,10,216,240,2356.0,0.0031147389950560655,6.583830036082443e-05,2.113766208511456
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,11,240,264,8418.0,0.010324286557155761,0.00011518287363107555,1.1156497157785912
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,12,264,288,10191.0,0.014145855540330423,0.00014216663065719963,1.0050055314920803
