13899,751.227,0,17,101398384,13277468,780969,319250,0,18831
13900,625.153705,129,0,86113539,12797423,667482,2012383,15227,0
13901,721.131263,129,33,122661997,18466183,1509024,599087,4537,18354
13902,646.160823,129,17,87546800,11687088,1362492,549142,4172,31744
13903,815.474738,129,17,110421730,14746535,1721509,693106,5172,40083
13905,409.522158,129,17,55815902,7746938,885442,693024,5555,42425
13912,508.674738,33,5,15849861,2407965,960812,114183,3103,22460
13913,678.133083,17,0,16906424,2281849,992937,152526,8991,0
13914,253.232964,0,2,6367364,860119,430000,56957,0,28629
13915,628.660923,0,2,15728934,2124304,1625285,141398,8234,44267
13916,619.112376,17,3,15438674,2048651,1586667,92991,5385,29135
13918,126.690797,17,3,3137867,433790,325084,37704,2201,12110
13919,547.38466,17,3,13704280,1887376,1426434,164207,9644,51661
