,CPULT_scaler,CPULT_scaler_uncern,HMS event scalar uncertainty,HMS relative yield no track,HMS relative yield track,HMS scalar rate,HMS yield no track,HMS yield scalar,HMS yield track,HMS_eLT,HMS_eLT_uncern,HMS_evts_scalar,HMS_evts_scalar_uncern,HMS_track,HMS_track_uncern,HMScpuLT,Ktrack,Ktrack_uncern,SHMS event scalar uncertainty,SHMS relative yield no track,SHMS relative yield track,SHMS scalar rate,SHMS yield no track,SHMS yield scalar,SHMS yield track,SHMS_eLT,SHMS_eLT_uncern,SHMS_evts_scalar,SHMS_evts_scalar_uncern,SHMS_track,SHMS_track_uncern,SHMScpuLT,TRIG1_cut,TRIG1_scaler,TRIG3_cut,TRIG3_scaler,accp_edtm,charge,current,etrack,etrack_uncern,h_int_goodscin_evts,hadtrack,hadtrack_uncern,p_int_goodscin_evts,pitrack,pitrack_uncern,ps1,ps3,ptrack,ptrack_uncern,run number,sent_edtm,time
0,[0.9851836951284328],[0.0018317755066619352],[0.0001481348901607627],[1.0],[1.0],[8.899735091355282],[0.14387525991050476],[1068.4689006441251],[0.14539452680674594],[0.9783030993051935],[0.0016170163192102153],[5974],[77.29165543575841],[1.0],[0.006784379175110879],[0.9851836951284328],[1.0],[0.06305666611194316],[7.198345375563673e-05],[1.0],[1.0],[2.14374268437567],[0.02414240769930066],[5122.022725566757],[0.14387525991050476],[0.9783030993051935],[0.0016170163192102153],[1439],[37.93415347678132],[1.0],[0.009960732507328358],[0.9851836951284328],[744440],[192989926.0],[614243],[45570656.0],[0],[36367.90736405572],[54.17889878926094],[0.010449271575817569],[8.815149625334155e-05],[5154.916666666667],[1.0],[0.03192754284070505],[865.0],[1.0],[0.03192754284070505],[257],[65],[1.0],[0.043831833031891775],[5154],[6712678.0],[671.2559349999999]
0,"[0.9851836951284328, 0.990559119951884, 0.9930355694696515, 0.9852548851786468, 0.9683428806788484]","[0.0018317755066619352, 0.0016668985432649387, 0.001675675289650988, 0.001646728080936206, 0.0016156244948223376]","[0.0001481348901607627, 0.00015455486450248528, 0.00018271961238584307, 0.00024147774838359544, 0.0003021188434485341]","[0.8205705773552809, 1.2642988632137733, 0.9785456465097265, 1.1863238431929695, 1.0]","[0.8216874067437112, 1.2701442266844651, 0.9793983620335109, 1.187051567799789, 1.0]","[8.899735091355282, 11.305616938967507, 5.871225746253129, 3.5438481147010052, 0.9606756139213175]","[0.14387525991050476, 0.22167663887695044, 0.17157391833331953, 0.20800483954412763, 0.17533563093892332]","[1068.4689006441251, 1064.636378488085, 1061.9145879067598, 1064.6272969444376, 1082.312389719951]","[0.14539452680674594, 0.22474729112248434, 0.17330089305796, 0.210044354555002, 0.17694627617932485]","[0.9783030993051935, 0.98303250920962, 0.9883855037502134, 0.9940432712390572, 0.9979357828454741]","[0.0016170163192102153, 0.0014772018193656804, 0.0013603971840946937, 0.0011723216614248446, 0.0008455904075517291]","[5974, 8239, 4229, 2356, 690]","[77.29165543575841, 90.76893741803967, 65.03076195155643, 48.53864439804639, 26.2678510731274]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.006784379175110879, 0.005417806548226252, 0.006922694956511246, 0.007450042679554252, 0.009669172381337243]","[0.9851836951284328, 0.990559119951884, 0.9930355694696515, 0.9852548851786468, 0.9683428806788484]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.06305666611194316, 0.06622661785325219, 0.06160411036336974, 0.07216878364870323, 0.10369516947304253]","[7.198345375563673e-05, 7.689292533834625e-05, 9.537519234317298e-05, 0.00013826083649354288, 0.0002077444541306421]","[0.8858968153865514, 1.1906467018622382, 1.0330643262583707, 1.273735977796049, 1.0]","[0.8205705773552809, 1.2642988632137733, 0.9785456465097265, 1.1863238431929695, 1.0]","[2.14374268437567, 2.368430008090535, 1.291142100736678, 0.7776610676147792, 0.19352740628270018]","[0.02414240769930066, 0.03244743360957138, 0.028153008015104283, 0.03471177765076591, 0.02725194094841213]","[5122.022725566757, 4983.433095808262, 4795.362244533101, 4629.542367634525, 4586.054848327597]","[0.14387525991050476, 0.22167663887695044, 0.17157391833331953, 0.20800483954412763, 0.17533563093892332]","[0.9783030993051935, 0.98303250920962, 0.9883855037502134, 0.9940432712390572, 0.9979357828454741]","[0.0016170163192102153, 0.0014772018193656804, 0.0013603971840946937, 0.0011723216614248446, 0.0008455904075517291]","[1439, 1726, 930, 517, 139]","[37.93415347678132, 41.54515615568198, 30.49590136395381, 22.737634001804146, 11.789826122551597]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.009960732507328358, 0.01028906780844193, 0.00991192733442046, 0.011245186684580532, 0.01569992205008053]","[0.9851836951284328, 0.990559119951884, 0.9930355694696515, 0.9852548851786468, 0.9683428806788484]","[744440, 639105, 792049, 735549, 486071]","[192989926.0, 169132564.0, 109933270.0, 52312038.0, 23170805.0]","[614243, 1062948, 685208, 646026, 418683]","[45570656.0, 41863414.0, 29952265.0, 17149275.0, 10955807.0]","[0, 0, 0, 0, 0]","[36367.90736405572, 32476.588907380607, 21422.82746566569, 9863.562610256877, 3486.271649330677]","[54.17889878926094, 44.56461629702226, 29.741843502945162, 14.83657375237443, 4.853878488430771]","[0.010449271575817569, 0.01366268856989438, 0.00996518075681764, 0.00970992538787953, 0.009102453440552778]","[8.815149625334155e-05, 9.02018386542022e-05, 8.253819642973198e-05, 8.423695908669309e-05, 0.00010075530644263408]","[5154.916666666667, 7131.333333333334, 3650.0, 2021.4166666666665, 591.9166666666666]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.03192754284070505, 0.03213291960680524, 0.031622776601683784, 0.035555906726738896, 0.0490880693673816]","[865.0, 1043.833333333333, 598.9166666666667, 337.3333333333333, 92.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.03192754284070505, 0.03213291960680524, 0.031622776601683784, 0.035555906726738896, 0.0490880693673816]","[257, 257, 129, 65, 33]","[65, 33, 33, 17, 9]","[1.0, 1.0, 1.0, 1.0, 1.0]","[0.043831833031891775, 0.044609973674547054, 0.04258211628582912, 0.04703604341917986, 0.0657951694959769]","[5154, 5155, 5156, 5157, 5158]","[6712678.0, 7287656.0, 7203052.0, 6648257.0, 7182572.0]","[671.2559349999999, 728.7528, 720.2925220000002, 664.8140450000002, 718.244525]"
