COINTRIG_cut,COINTRIG_scaler,COIN_PS,CPULT_scaler,CPULT_scaler_uncern,HMSTRIG_cut,HMSTRIG_scaler,HMS_PS,HMS_eLT_scaler,HMS_eLT_scaler_uncern,HMS_track,HMS_track_uncern,PS1,PS2,PS3,PS4,PS5,PS6,SHMSTRIG_cut,SHMSTRIG_scaler,SHMS_PS,SHMS_eLT_scaler,SHMS_eLT_scaler_uncern,SHMS_track,SHMS_track_uncern,accp_edtm,charge,curr_corr,h_int_etotnorm_evts,h_int_etottracknorm_evts,haccp_edtm,p_int_etotnorm_evts,p_int_etottracknorm_evts,paccp_edtm,run number,sent_edtm,sent_edtm_PS,time,tot_events
,8527922,,0.791503279261325,0.000885912998543,257696,184484899,129,0.99057915613334,0.001016864910754,0.9948,0.0001,,,,129,,,,839874824,,0.99057915613334,0.001016864910754,1E+038,1E+038,31,120779.448339941,0.999584531390881,943939.751577724,944237.014301094,31,-1,-1,-1,16703,1961587,15206.1007751938,1520.608164,1430016
,4966229,,0.794369689799232,0.001092814666708,125572,122307982,129,0.992885551745214,0.000979551425772,0.9955,0.0001,,,,129,,,,552830580,,0.992885551745214,0.000979551425772,1E+038,1E+038,10,78463.1025809542,0.999441897840124,690153.678519724,685515.112310728,10,-1,-1,-1,16704,1711809,13269.8372093023,1326.982637,948123
,1491713,,0.795009242829537,0.001076107463983,130455,63685346,65,0.995274891443855,0.000939336346492,0.9962,0.0001,,,,65,,,,288598487,,0.995274891443855,0.000939336346492,1E+038,1E+038,2,41050.7072919188,0.999164108055971,726288.667146373,723388.40947105,2,-1,-1,-1,16706,345082,5308.95384615385,1039.816834,979716
,389247,,0.796120200347685,0.000885814058973,199225,24679941,17,0.997003724669351,0.000948060024997,0.9968,0.0001,,,,17,,,,111538718,,0.997003724669351,0.000948060024997,1E+038,1E+038,3,15864.0936936981,0.998666575675016,1085348.29392132,1083786.92544377,3,-1,-1,-1,16708,109832,6460.70588235294,641.017225,1450801
,239631,,0.797800207906866,0.001066941388705,145055,17089943,17,0.99819040789936,0.000807725828082,0.9972,0.0001,,,,17,,,,76906468,,0.99819040789936,0.000807725828082,1E+038,1E+038,,10927.5331325309,0.997784138736133,755757.627280707,755417.27121464,,-1,-1,-1,16709,124716,7336.23529411765,733.754466,1005192
,307154,,0.799602629786343,0.001043985145986,159903,17947235,17,0.998997686385387,0.000594016443826,0.9974,0.0001,,,,17,,,,80274266,,0.998997686385387,0.000594016443826,1E+038,1E+038,,11402.137865783,0.995849805734326,792003.952419394,792287.296634972,,-1,-1,-1,16710,243731,14337.1176470588,1433.972339,1054692
,107139,,0.804500633504104,0.00282792254876,26207,2482697,17,0.999668143959902,0.000561201872931,0.9973,0.0002,,,,17,,,,10831896,,0.999668143959902,0.000561201872931,1E+038,1E+038,,1545.62549796806,0.986878787698791,106935.469956149,107064.753175812,,-1,-1,-1,16711,104457,6144.52941176471,614.560009,146405
,13241,,0.79777923795551,0.001047422938394,154342,2088754,2,0.999635865767785,0.000612735960711,0.9978,0.0001,,,,2,,,,9368791,,0.999635865767785,0.000612735960711,1E+038,1E+038,2,1346.75727488686,0.986971059925796,792287.93169843,793591.202458474,2,-1,-1,-1,16712,10872,5436,531.721813,1042937
