Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,1,0,24,1.1738105721920151,0.1011940206548271
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,2,24,48,1.0743852834800949,0.09064521386462543
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,3,48,72,1.0068310536223795,0.08649590388548657
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,4,72,96,1.0316823719538546,0.0863842410039093
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,5,96,120,0.9459955390546927,0.09307076965188607
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,6,120,144,0.9721603705680153,0.09337055697379926
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,7,144,168,1.0184964550549107,0.09271235454123254
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,8,168,192,0.8508171447891079,0.07310581458972905
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,9,192,216,0.8845428488726232,0.0754216138637019
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,10,216,240,0.9257536650687458,0.08618701590819904
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,11,240,264,0.8854346924891231,0.0888400279582316
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,12,264,288,1.0231125544025672,0.08933652977082888
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,13,288,312,0.9645809398950788,0.08143973188847807
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,14,312,336,1.0686569774635684,0.09222089504253754
Q3p85_W2p62_t0p21_higheps,1,0.16,0.236,15,336,360,1.0990737958719141,0.09497270023910943
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,1,0,24,0.961466054828158,0.09104479344092888
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,2,24,48,0.9099246544031689,0.08601264710715308
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,3,48,72,0.8667464462650248,0.079305839010325
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,4,72,96,0.9642742760896368,0.08970073311199159
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,5,96,120,1.0021316383845094,0.09457134171615462
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,6,120,144,0.8367460941756507,0.07458826011315992
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,7,144,168,0.70064910598432,0.06425269335031321
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,8,168,192,0.685957663943167,0.07211007004103635
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,9,192,216,0.5756214528263555,0.06218732619583498
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,10,216,240,0.8184225714442828,0.07027362943608997
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,11,240,264,0.8978603589162586,0.08744026846789689
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,12,264,288,0.8266217582539721,0.08111290021389708
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,13,288,312,0.9404959947316839,0.08195107104999086
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,14,312,336,0.9628479627197648,0.08726615030037992
Q3p85_W2p62_t0p21_higheps,2,0.236,0.272,15,336,360,0.9565661134460072,0.08953293844609202
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,1,0,24,0.8981864298658048,0.08543096473395319
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,2,24,48,0.9353322152096667,0.0827525072664008
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,3,48,72,0.960244509944639,0.08346016542482085
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,4,72,96,0.890766859826037,0.08431239442210296
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,5,96,120,0.8769704715944412,0.0750244901208603
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,6,120,144,0.7486102798314421,0.07330672954338673
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,7,144,168,0.7876848705989696,0.0801470047563803
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,8,168,192,0.7613386452153249,0.07450741690583619
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,9,192,216,0.8245129228365238,0.08632440710991385
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,10,216,240,0.878330025306795,0.0753478074373388
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,11,240,264,0.8693121783539688,0.07348357378620587
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,12,264,288,0.9256129693410452,0.08492539342245356
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,13,288,312,1.0014633087382452,0.08412578940800752
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,14,312,336,1.0277647578167632,0.0921009590081677
Q3p85_W2p62_t0p21_higheps,3,0.272,0.31,15,336,360,0.9215200198038358,0.0872818368411764
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,1,0,24,0.9497331287964232,0.09161858942380698
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,2,24,48,0.9965752648122799,0.08832685114971355
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,3,48,72,0.9653151543927484,0.0875289783965439
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,4,72,96,1.0503924941278528,0.0913440066859255
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,5,96,120,0.9012479542345636,0.0731500902588496
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,6,120,144,0.8137841005118877,0.07364482937635168
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,7,144,168,0.7756662072375694,0.0743219422850174
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,8,168,192,0.6997884420230077,0.06764211416886873
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,9,192,216,0.7256720702505762,0.07169044969785966
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,10,216,240,0.7757905716533442,0.06961243944205753
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,11,240,264,0.8221683458818665,0.06832431590986882
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,12,264,288,0.8830407119714767,0.07964530590567041
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,13,288,312,0.8831766598729784,0.07573521418545781
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,14,312,336,0.922925846949477,0.08448715349291204
Q3p85_W2p62_t0p21_higheps,4,0.31,0.358,15,336,360,0.8962597710172446,0.09113117598829112
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,1,0,24,1.0361195725426684,0.09914227929632995
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,2,24,48,1.0891926276469166,0.0907970675305012
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,3,48,72,0.9730316475753268,0.07285982423201393
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,4,72,96,1.0729391482977673,0.07642689243646886
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,5,96,120,0.8949985178145694,0.06395266537435278
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,6,120,144,0.9135879019254916,0.07452390064874957
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,7,144,168,0.8071681571366116,0.07488347025365397
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,8,168,192,0.6895947608006049,0.08318903423955
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,9,192,216,0.6720174700778864,0.06971304468209236
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,10,216,240,0.8891708082142806,0.07151829311114723
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,11,240,264,0.9087943922131847,0.06494150395837488
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,12,264,288,0.9810016812982298,0.07002236355234101
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,13,288,312,1.036841830773138,0.07719084877548497
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,14,312,336,1.0070020870115965,0.08621507841720003
Q3p85_W2p62_t0p21_higheps,5,0.358,0.5,15,336,360,0.9064687721643837,0.09464175426362566
