Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,avg_ratio,avg_ratio_error
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,1,0,24,1.1832237005260862,0.11335314099333517
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,2,24,48,1.2175337354872582,0.13823425854622792
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,3,48,72,1.046409513344776,0.09549758316537263
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,4,72,96,1.0013216099610653,0.08267553889175626
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,5,96,120,0.8578921588853118,0.0710815976843564
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,6,120,144,1.004875488695025,0.06998431479492719
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,7,144,168,1.023897927624037,0.07111668908276324
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,8,168,192,0.9474661965042082,0.062046804164390894
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,9,192,216,1.0519303350278815,0.06667251833808198
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,10,216,240,0.9736981727629286,0.06860458086008243
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,11,240,264,1.0194503931327599,0.08167614801260466
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,12,264,288,1.0126357865705273,0.08332196956411397
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,13,288,312,0.9460804823818182,0.08901780641867285
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,14,312,336,0.9619391162424861,0.10297461046812204
Q3p85_W2p62_t0p21_loweps,1,0.16,0.236,15,336,360,1.020833212895686,0.1163855181921282
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,1,0,24,1.074460482773805,0.13222094011402777
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,2,24,48,1.2256317739843527,0.12108758499144869
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,3,48,72,1.0913247602859357,0.11842252502839173
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,4,72,96,1.042603395232746,0.08852512164266342
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,5,96,120,0.9541425897047073,0.07876088211626148
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,6,120,144,1.0505968416888167,0.06362591296343953
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,7,144,168,1.032944132856097,0.06812699394518801
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,8,168,192,1.1204871230105231,0.0758077063981283
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,9,192,216,1.0887978388804018,0.06734895873341873
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,10,216,240,1.070845534523946,0.06554171405429417
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,11,240,264,1.1962886074535661,0.08176150178333799
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,12,264,288,0.9186111287634365,0.08020758838211459
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,13,288,312,1.08021634609178,0.09613480363973206
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,14,312,336,0.9644927261402595,0.10812025977505973
Q3p85_W2p62_t0p21_loweps,2,0.236,0.272,15,336,360,1.0961998500260643,0.11760471507511899
Q3p85_W2p62_t0p21_loweps,3,0.272,0.31,1,0,24,1.0977215269314893,0.12378161362432188
