Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_higheps_center,2,0.236,0.272,1,0,24,424.0,0.21773133546212453,0.010733430200538789,4.929667187204629
Q3p85_W2p62_t0p21_higheps_center,2,0.236,0.272,2,24,48,771.0,0.388103048460032,0.014134115672299342,3.641846084018821
Q3p85_W2p62_t0p21_higheps_center,2,0.236,0.272,3,48,72,1048.0,0.5480211278397599,0.01705481211818009,3.1120720081374085
Q3p85_W2p62_t0p21_higheps_center,2,0.236,0.272,4,72,96,1075.0,0.5952106030272892,0.01825640432882246,3.0672175925578125
Q3p85_W2p62_t0p21_higheps_center,2,0.236,0.272,5,96,120,847.0,0.4756195793860404,0.01642931836843104,3.454298157708107
Q3p85_W2p62_t0p21_higheps_center,2,0.236,0.272,6,120,144,499.0,0.2778568645563191,0.012486443125876687,4.493840073310767
Q3p85_W2p62_t0p21_higheps_center,2,0.236,0.272,7,144,168,320.0,0.17732775971446568,0.009952832331200371,5.6126758423083265
Q3p85_W2p62_t0p21_higheps_center,2,0.236,0.272,8,168,192,284.0,0.15791924935534768,0.009407000549752239,5.956842239406001
Q3p85_W2p62_t0p21_higheps_center,2,0.236,0.272,9,192,216,349.0,0.19334169915297073,0.010388025053366851,5.3728839142703055
Q3p85_W2p62_t0p21_higheps_center,2,0.236,0.272,10,216,240,545.0,0.3047868983863594,0.013115258167171358,4.303091188173699
Q3p85_W2p62_t0p21_higheps_center,2,0.236,0.272,11,240,264,869.0,0.48823272616850055,0.016641043820237934,3.408424492727413
Q3p85_W2p62_t0p21_higheps_center,2,0.236,0.272,12,264,288,1030.0,0.5728699651887954,0.017952561732536218,3.133793499999561
Q3p85_W2p62_t0p21_higheps_center,2,0.236,0.272,13,288,312,963.0,0.5083351827173997,0.016505778231361762,3.247026527482727
Q3p85_W2p62_t0p21_higheps_center,2,0.236,0.272,14,312,336,749.0,0.3771513257080619,0.013932358012089802,3.6941028871987305
Q3p85_W2p62_t0p21_higheps_center,2,0.236,0.272,15,336,360,415.0,0.21489970737820555,0.010713661833910194,4.985424114633643
Q3p85_W2p62_t0p21_higheps_center,3,0.272,0.308,1,0,24,122.0,0.0681115606616702,0.006286698828468543,9.230002612473369
Q3p85_W2p62_t0p21_higheps_center,3,0.272,0.308,2,24,48,286.0,0.14309357872340592,0.008626107111562758,6.02829783734508
Q3p85_W2p62_t0p21_higheps_center,3,0.272,0.308,3,48,72,973.0,0.4549120178502581,0.014745381476279311,3.24136995675788
Q3p85_W2p62_t0p21_higheps_center,3,0.272,0.308,4,72,96,1119.0,0.5457372179070457,0.016432301654458463,3.0110282229747694
